test/episodes,train_1/q_grads,train_0/q_grads,test_1/n_subgoals,train_0/fw_loss,train_0/reward_-0.0_frac,train_0/reward_-1.0_frac,train_1/subgoal_succ_rate,train_0/reward,test_1/subgoal_succ_rate,train_1/avg_q,epoch,train_0/q_loss,train_1/fw_loss,train_0/q_grads_std,train_0/mu_loss,train_1/q_loss,train_1/q_grads_std,test/success_rate,test_0/avg_q,train_1/reward_-0.0_frac,train_0/avg_q,train_1/fw_bonus,train_0/fw_bonus,train_1/n_subgoals,train_1/mu_grads,train_1/reward_-27.0_frac,train_0/mu_grads_std,train_0/mu_grads,train_1/target_q,train_1/next_q,train/episodes,train_0/current_q,train_1/mu_grads_std,train_0/target_q,train/success_rate,policy/steps,train_1/reward_-1.0_frac,train_0/next_q,train_1/mu_loss,train_1/reward,test_1/avg_q,train_1/current_q
25.0,0.017821823619306086,-0.0028035697294399144,676.0,0.029486463451758028,0.0,0.0002685546875,0.0014814814814814814,-0.7182116805561236,0.0014792899408284023,-6.920903153696193,0,0.2444858679963752,0.063260892406106,0.11191075835376978,6.0882932561891865,1.5368309272545482,0.109865996055305,0.0,-14.045993060628776,0.0,-6.462801542151963,-0.9888451918959618,-0.9938208237290382,2700.0,-0.01158533412963152,0.0,0.152187467738986,-0.0005330625601345674,-5.980570671900412,-5.081597520129838,100.0,-6.237643967065814,0.13372812382876872,-6.353142919413011,0.0,91034.0,0.0045166015625,-6.077803174396797,4.626260059286338,-2.1161755231354618,-7.773105468590419,-6.013244820287429
50.0,0.009069431805983186,-0.0014654757222160697,675.0,0.017720269877463578,0.0,0.0015869140625,0.003703703703703704,-0.7165886584116379,0.0,-11.75441930474679,1,0.31598864040809466,0.07260858491063119,0.12805283591151237,8.138607212671184,0.8381473574138528,0.12254650015383958,0.0,-25.897282494961726,0.0,-19.914741079272172,-0.9865525662899017,-0.9963364973664284,2700.0,-0.02321584546007216,0.0,0.19701174162328244,-0.010509287472814322,-6.604539461579376,-5.818351991738444,200.0,-8.240169792459092,0.15565636157989501,-8.324245695112056,0.0,181999.0,0.0024658203125,-8.134918444932287,5.209130048228256,-2.1747826331666147,-9.839608626873684,-6.623340021629244
75.0,-0.0004936467055813409,-0.003467475844081491,675.0,0.013401769567281008,0.0,0.00546875,0.0011111111111111111,-0.7151948488237394,0.0,-13.206669378901463,2,0.294468536567854,0.08132188823074102,0.13853755220770836,7.034750631809364,0.786821791352752,0.13357595093548297,0.0,-26.904393521821966,0.0,-22.88292838206293,-0.9844155535101891,-0.9972598269581795,2700.0,-0.03314443388953805,0.0,0.23097399696707727,-0.009325070632621646,-7.587644936861014,-7.1505905898331275,300.0,-7.123315678883758,0.18122028075158597,-7.270169549204842,0.0,273062.0,0.001806640625,-7.039825108338422,6.024205312601059,-2.1016193938710783,-12.137602125443001,-7.583889161287397
100.0,-0.006318218575324863,-0.0007266817294294015,675.0,0.010732928104698659,0.0,0.0233154296875,0.0,-0.7091202918483759,0.0,-13.29590212402496,3,0.24020125368130354,0.08581479210406542,0.1520645823329687,8.827979907025286,0.40860163557481516,0.14528644755482673,0.0,-26.999999985812796,0.0,-26.73962899512755,-0.9833136051893234,-0.9978304296731949,2700.0,-0.03930192403495312,0.0,0.24921258129179477,-0.011206770176067948,-7.276367577277417,-6.754625983746922,400.0,-8.87437482579313,0.20368259251117707,-9.009059643309199,0.0,364187.0,0.0012939453125,-8.832187117913186,5.749649626365564,-2.090033273069275,-13.292026693774392,-7.2756544255766915
125.0,-0.03363671144470572,-0.0006603476052987389,675.0,0.009546575602144003,0.0,0.0283447265625,0.0,-0.7051699675823329,0.0,-12.251237489635312,4,0.19359913744090718,0.09142516143620014,0.1572927739471197,8.693989733608921,15.209495190940197,0.17460935637354852,0.0,-27.0,0.0,-26.913105166251626,-0.9819376230239868,-0.9980840757489204,2700.0,-0.04513242095708847,0.0,0.26475696712732316,-0.009727422008290887,-5.118322971080998,-4.180078776230614,500.0,-8.735883349008068,0.2127980377525091,-8.85204569854504,0.0,455312.0,0.0013671875,-8.689215284719433,11.200141746448308,-2.098427305057703,-10.2660122063856,-3.192512949583404
150.0,-0.03983096927404404,-0.0016665018163621425,675.0,0.008103753870818764,0.0,0.0495361328125,0.0,-0.699904287289246,0.0,-18.232588740577015,5,0.15545396822540714,0.09765738882124424,0.16035147830843927,9.102719073513565,61.35967352859173,0.20232378803193568,0.0,-27.0,0.0,-27.0,-0.9804091066122055,-0.9983925670385361,2700.0,-0.044165775179862976,0.0,0.2761270999908447,-0.009533321508206427,-20.206242133628827,-25.096811488161343,600.0,-9.137066544672907,0.21337169408798218,-9.265562544536582,0.0,546437.0,0.00146484375,-9.101818934525475,26.999226569611245,-2.1104560153980856,-26.999999982065503,-22.47148565518478
175.0,-0.03673357646912336,-0.0015297852078219876,675.0,0.007381495891604572,0.0,0.0468017578125,0.0,-0.6988096233850228,0.0,-25.582685306913206,6,0.14832487623876495,0.09196202531456947,0.16436331048607827,9.309084441249242,20.686676456180386,0.21585394032299518,0.0,-27.0,0.0,-27.0,-0.981805944442749,-0.9985469788312912,2700.0,-0.04416188597679138,0.0,0.28544820174574853,-0.014563356526196003,-21.37080805147961,-26.99987354201367,700.0,-9.33524920188828,0.21337299048900604,-9.486567560605554,0.0,637562.0,0.0010009765625,-9.307704195196042,27.0,-2.0717745550173277,-27.0,-22.212958701746306
200.0,-0.0363738258369267,-0.003942466911394149,675.0,0.006943098956253379,0.0,0.0590576171875,0.0077777777777777776,-0.7001870555453934,0.0,-24.52210062350874,7,0.16778970810004584,0.08666309975087642,0.16711458303034304,9.366525553505321,2.2065258328524537,0.22283474318683147,0.0,-23.08976393289857,0.0,-25.820001893884857,-0.9831055641174317,-0.9986407101154328,2700.0,-0.0536325647495687,0.0,0.2966943718492985,-0.019274961855262517,-5.56365790807161,-4.589305485564175,800.0,-9.386611067395654,0.21558546349406243,-9.533320600746178,0.0,728193.0,0.00166015625,-9.365860146642785,3.8449266492190235,-2.0877563934314822,-4.606947957724318,-5.607244760960343
225.0,-0.03648690516129136,-0.0037501580372918397,698.0,0.007230306859128177,0.0,0.0358642578125,0.02925925925925926,-0.7024878953408915,0.03581661891117478,-10.665436059244863,8,0.18412623225226551,0.08449688851833344,0.1717089582234621,9.243598417204547,1.7197221515318493,0.22333268821239471,0.0,-24.430119686148384,0.0,-24.28647766871095,-0.9836368441581727,-0.9985793024301529,2700.0,-0.050669058412313464,0.0,0.3117763355374336,-0.02150923372246325,-6.679230422132084,-5.828660972410805,900.0,-9.263511590154755,0.2395270373672247,-9.424383966992803,0.0,817653.0,0.001220703125,-9.24139260539562,4.267625985746017,-2.1025361961932503,-9.777109247179256,-6.686622702592203
250.0,-0.04006552193313837,-0.004330920311622322,675.0,0.00768920686095953,0.0,0.044189453125,0.016666666666666666,-0.7057713573194633,0.0,-11.119907178293598,9,0.19565307906866347,0.08341893516480922,0.17578954584896564,9.150254671890163,5.329358994309088,0.22614422850310803,0.0,-27.0,0.0,-26.225736110836817,-0.983901233971119,-0.9984811887145042,2700.0,-0.05314690219238401,0.0,0.324005164206028,-0.01941222567111254,-2.1885589381259525,-0.050247007576999105,1000.0,-9.194156060700536,0.2485022831708193,-9.324975784301165,0.0,907825.0,0.0016357421875,-9.148202275658207,0.15402023751037702,-2.151826099806203,-0.5084423225018037,-1.5518092496190001
275.0,-0.042732886224985125,-0.005151213239878416,675.0,0.007887567579746246,0.0,0.051806640625,0.0,-0.7077398979214194,0.0,-8.189562488075753,10,0.18534930401334004,0.07891327496618032,0.18049854524433612,9.092247373840449,0.7667426399396036,0.23343471772968769,0.0,-27.0,0.0,-27.0,-0.9850062847137451,-0.9984387859702111,2700.0,-0.05181652596220374,0.0,0.3321733847260475,-0.020621465146541597,-2.135089059232178,-0.01942429701226005,1100.0,-9.143250364477703,0.25533509999513626,-9.286377702332114,0.0,998950.0,0.0013916015625,-9.090054734677201,2.844505045046659,-2.1200788245303555,-7.853333723369383,-2.1048994123790257
300.0,-0.04464053837582469,-0.0056931838858872656,675.0,0.007535902946256101,0.0,0.0496826171875,0.0,-0.7116593277438369,0.0,-11.186928723281973,11,0.22013177454547037,0.07995515074580908,0.18618786782026292,9.275214003035796,0.6036128473295612,0.24270244911313058,0.0,-27.0,0.0,-27.0,-0.9847507581114769,-0.9985139667987823,2700.0,-0.0540378843434155,0.0,0.34193616807460786,-0.02258610804565251,-2.1107503740156304,-0.00932014214702179,1200.0,-9.320431258262392,0.260252483189106,-9.453074899349351,0.0,1090075.0,0.001318359375,-9.26790520004548,2.081490911988552,-2.104350473793602,-2.639376908337492,-2.1002265174102783
