train_0/current_q,train_0/target_q,test/episodes,train_1/q_grads,train_1/q_grads_std,train_1/current_q,test_1/avg_q,train_0/avg_q,train/episodes,test_1/n_subgoals,train_0/reward,train_1/q_loss,policy/steps,train_1/reward,train_1/avg_q,train_0/reward_-1.0_frac,train_0/mu_loss,train_0/mu_grads,train_1/reward_-27.0_frac,test/success_rate,train_1/fw_bonus,train_1/target_q,train/success_rate,train_0/q_grads_std,train_1/mu_grads_std,train_0/q_loss,train_0/q_grads,train_1/subgoal_succ_rate,test_0/avg_q,train_1/mu_loss,train_0/fw_loss,train_0/next_q,train_1/reward_-0.0_frac,test_1/subgoal_succ_rate,train_0/reward_-0.0_frac,epoch,train_1/mu_grads,train_1/next_q,train_1/reward_-1.0_frac,train_1/n_subgoals,train_0/fw_bonus,train_0/mu_grads_std,train_1/fw_loss
-7.716040754180142,-7.8060061942553105,25.0,0.01800180240534246,0.10810889322310686,-5.257300016496363,-5.296244643917149,-11.462042534944628,100.0,675.0,-0.8568487939905026,0.7556989310527442,91103.0,-1.5473630735446933,-4.154072437178086,2.44140625e-05,7.5801578872336135,-0.0068588001769967375,0.0,0.0,-0.9895504876971245,-5.233741510098223,0.0,0.1041764035820961,0.16178482621908188,0.22443339657465203,0.015158360893838107,0.00037037037037037035,-24.236548718647093,3.326637398907809,0.02920060884207487,-7.573127711639179,0.0,0.0,0.0,0,-0.01476435805670917,-4.816867789381325,0.0022216796875,2700.0,-0.9937183067202568,0.15570086874067784,0.06067241607233882
-8.580395841332923,-8.744087352835276,50.0,0.0038735636102501304,0.12528702281415463,-5.748010874395857,-4.984953547405573,-21.022956939814225,200.0,675.0,-0.8553933628689265,1.105545221056281,182228.0,-1.5139169827423757,-6.805789657511642,0.0004638671875,8.627930608513104,-0.011043694149702788,0.0,0.0,-0.9860364466905593,-5.734911042193746,0.0,0.13433312848210335,0.18503627069294454,0.5220661026959466,0.007835215365048498,0.0,-26.94382599934534,3.2984657943167717,0.015558395511470735,-8.583661860247933,0.0,0.0,0.0,1,-0.029255914594978095,-5.496898256692239,0.0006591796875,2700.0,-0.9967012524604797,0.18126497231423855,0.07669616360217332
-9.038585532044285,-9.182468244706715,75.0,-0.010187956737354398,0.1459510713815689,-6.277668758927705,-6.014549658020662,-26.92592861676367,300.0,675.0,-0.8555964815968764,0.963220752059532,273353.0,-1.5329438415923504,-6.668127835922317,0.0112060546875,9.028609048384563,-0.00928534718696028,0.0,0.0,-0.9857789680361748,-6.239319149843729,0.0,0.13653358183801173,0.20503602437675,0.23815806943505818,0.007569472619798035,0.0,-26.999999801578305,3.1909432256697574,0.01141674113459885,-9.026800486600179,0.0,0.0,0.0,2,-0.0297820336651057,-6.1746593038137245,0.00087890625,2700.0,-0.9976068332791328,0.1894965495914221,0.07787025552242995
-9.520908112700301,-9.667666872461838,100.0,-0.019887543562799693,0.1756832215934992,-6.376920239543852,-7.146521316303206,-26.93393527885215,400.0,677.0,-0.8551426509584417,0.5939492252895564,364478.0,-1.533761308901012,-7.069534976914195,0.01630859375,9.517596475273447,-0.007795708661433309,0.0,0.0,-0.9848344132304192,-6.3760301570787545,0.0,0.13918466903269291,0.2222076579928398,0.20933405986850756,0.008511084783822297,0.0,-26.303558364192963,3.041096768125223,0.010201760684140027,-9.515667719722902,0.0,0.0029542097488921715,0.0,3,-0.03075753739103675,-6.302703549658516,0.00087890625,2700.0,-0.9978724956512451,0.20368332006037235,0.08217729702591896
-9.591506829755124,-9.753110728676097,125.0,-0.04183657467365265,0.20438676178455353,-7.730868925063405,-4.875560346671099,-26.792616329432075,500.0,675.0,-0.8559106880711624,1.4794558896574124,455514.0,-1.5392127935716418,-7.703208870322797,0.019482421875,9.578261382206808,-0.0017783926508855076,0.0,0.0,-0.9838104233145714,-7.644582343846724,0.0,0.14320868887007238,0.23068994730710984,0.19800045130585658,0.007684025296475739,0.0014814814814814814,-26.679876291899753,3.4865023187937147,0.010207893373444677,-9.578839491999153,0.0,0.0,0.0,4,-0.032640075869858266,-8.068715873974366,0.0010498046875,2700.0,-0.997871159017086,0.22069469429552555,0.08684662021696568
-9.573627311023635,-9.719548001345924,150.0,-0.04634061185643077,0.22678819186985494,-6.855670479147099,-6.641757725252734,-26.817874099993716,600.0,675.0,-0.8557831183425151,0.6134194617817276,546639.0,-1.5557093698269455,-7.2604233726384555,0.02880859375,9.550048635373702,-0.003739100164966658,0.0,0.0,-0.9834832608699798,-6.87432943233223,0.0,0.14459716118872165,0.23510973602533342,0.20388581664034439,0.006656022032257169,0.0,-26.99074226381694,3.0834125000110566,0.009534273063763976,-9.549144197841477,0.0,0.0,0.0,5,-0.03187961988151074,-6.987606199003156,0.0009765625,2700.0,-0.9980184346437454,0.23250345848500728,0.08833842016756535
-9.652164828710607,-9.803614400891236,175.0,-0.053265906684100625,0.25059966221451757,-7.00113966679167,-7.370440035099728,-26.991084491644145,700.0,675.0,-0.8569585741046467,0.6938510452000353,637764.0,-1.5605341984410188,-7.63707522742271,0.03466796875,9.617371957908697,-0.008056408283300698,0.0,0.0,-0.9842034742236138,-7.007183878204211,0.0,0.14960978776216508,0.24066777266561984,0.18872771351595713,0.007328908145427704,0.0,-26.999999545879653,3.155989853722914,0.009140251902863383,-9.618384264241167,0.0,0.0,0.0,6,-0.03199694901704788,-7.146198378302577,0.0013671875,2700.0,-0.9981045827269555,0.2451316736638546,0.08505431711673736
-9.720213864982224,-9.84456326636595,200.0,-0.06542600803077221,0.2827878683805466,-6.981975510107185,-7.212035200880152,-26.25529257835814,800.0,675.0,-0.8575963827548548,0.6140074235155693,728803.0,-1.544082160385733,-7.601080790964191,0.0397705078125,9.688247182331006,-0.00908978849183768,0.0,0.0,-0.9844353944063187,-6.973345284798159,0.0,0.15297629795968531,0.24379100166261197,0.23835574776134463,0.006474470510147512,0.0022222222222222222,-26.66099316297556,3.1425998215567756,0.009084475203417241,-9.687476758942065,0.0,0.0,0.0,7,-0.035479473602026704,-7.142869071714176,0.0010498046875,2700.0,-0.9981167957186698,0.2583035431802273,0.08399679660797119
-9.502259900668832,-9.646426181859962,225.0,-0.0812297185882926,0.3128100298345089,-6.800243524079673,-7.466569508903391,-26.832788961617457,900.0,675.0,-0.8556957845008583,0.6072999193437176,819835.0,-1.5370663761459582,-7.45577640284025,0.028466796875,9.45878331041019,-0.012408313993364572,0.0,0.0,-0.9850826352834702,-6.80179675787317,0.0,0.15746037773787974,0.24798107370734215,0.20054430580453073,0.006452991219703108,0.0022222222222222222,-26.999999998982293,2.8528558647858397,0.009285234892740846,-9.45707962708688,0.0,0.0,0.0,8,-0.03754447679966688,-6.939649174637831,0.0009521484375,2700.0,-0.9980729043483734,0.2716009236872196,0.08104540780186653
-9.6107188174913,-9.770320710303977,250.0,-0.09862482380121947,0.3375691257417202,-6.979613247731164,-6.965082735956348,-26.975154971327143,1000.0,675.0,-0.856043430774298,0.7892862662671115,910960.0,-1.5585674174079032,-7.501004494098018,0.0399658203125,9.578032268279788,-0.013034182996489108,0.0,0.0,-0.9856256976723671,-6.981153710498106,0.0,0.1613627176731825,0.25131009295582774,0.2178602149526144,0.0060600652126595374,0.0,-26.97592818136433,2.8725520505172333,0.00887737920274958,-9.576991171309038,0.0,0.0,0.0,9,-0.03893779339268803,-7.164064806083853,0.000927734375,2700.0,-0.9981620818376541,0.2844952143728733,0.07856912780553102
