train_1/current_q,test/episodes,train_0/reward,train_0/q_grads,train_0/current_q,epoch,test_1/subgoal_succ_rate,train_0/reward_-0.0_frac,test_0/avg_q,train_1/q_grads,train_1/target_q,test_1/n_subgoals,train_1/reward_-10.0_frac,train_1/n_subgoals,train_0/target_q,train_0/next_q,policy/steps,train_1/reward_-0.0_frac,train/episodes,train_1/mu_loss,train_1/avg_q,train_1/subgoal_succ_rate,train_0/reward_-1.0_frac,train_1/next_q,train_0/mu_loss,train_1/q_loss,train_1/q_grads_std,train_0/q_loss,test_1/avg_q,train_0/fw_loss,train/success_rate,train_0/mu_grads_std,train_0/q_grads_std,train_1/mu_grads_std,train_1/reward,train_1/reward_-1.0_frac,train_1/fw_loss,train_0/mu_grads,train_1/fw_bonus,train_0/fw_bonus,test/success_rate,train_0/avg_q,train_1/mu_grads
-2.5676955271528223,25.0,-0.9164839920631493,-0.0016758031997596845,-8.460859697219135,0,0.0,0.0,-20.852108303730482,0.01568695467431098,-2.5667349201325522,250.0,0.0,1000.0,-8.536148397713347,-8.222965593329805,31250.0,0.0,100.0,1.7795210785712274,-1.954016177264622,0.0,0.02890625,-1.7533646373158895,8.249270321941605,0.20226431894597696,0.11547720320522785,0.9446744628081103,-2.2632174434113006,0.037262948835268615,0.0,0.17299544624984264,0.11928730625659227,0.18446896821260453,-1.1909116932045436,0.0222412109375,0.0008764324331423268,-0.02027765568345785,-0.9998044520616531,-0.9987608894705773,0.0,-13.552007189887627,-0.02540176738984883
-2.6870994033337774,50.0,-0.9253065116688959,-0.006878839153796434,-8.977627579092694,1,0.0,0.0,-20.962136024383238,0.009985662112012506,-2.713294196196967,250.0,0.0,1000.0,-9.041272515264874,-8.691126675243092,62447.0,0.0,200.0,1.9372538109240467,-2.850224096969073,0.004,0.0259765625,-1.919204095129036,8.756902883967696,0.29333735901111063,0.1367058042436838,0.8162814186999711,-2.1611282916090717,0.02564355656504631,0.0,0.21828569769859313,0.13729985170066356,0.22233715020120143,-1.175177115801489,0.0266845703125,0.002409711241489276,-0.029049756564199926,-0.9990398645401001,-0.9991472944617271,0.0,-21.020287972646027,-0.0336932604201138
-1.8723262628181208,75.0,-0.9380409145174781,-0.006356067780870944,-9.689930436229705,2,0.0,0.0,-20.29343906151491,-0.016073005553334952,-1.8814188788709543,250.0,0.0,1000.0,-9.788566518155434,-9.352512181081744,93678.0,0.0,300.0,0.8536731067849967,-2.910875392971695,0.002,0.0178466796875,-0.8772887273671979,9.411429169099497,0.148750889442627,0.15828028991818427,0.6598279343989599,-1.3941508675591234,0.02407625801861286,0.0,0.2546000063419342,0.1594216987490654,0.21681939773261547,-1.180206311987422,0.0171142578125,0.0057554977713152764,-0.03665833380073309,-0.9973714426159859,-0.9991994023323059,0.0,-21.438944265817394,-0.034737242572009566
-1.8996327318354318,100.0,-0.9451226424556808,-0.0007609749576658942,-9.855413691809094,3,0.0234375,0.0,-21.715066200297283,-0.028660801984369755,-1.9057776449837605,256.0,0.0,1000.0,-9.902003291008914,-9.482325200668399,124829.0,0.0,400.0,0.8805607430676801,-2.9056072159045843,0.013,0.0173583984375,-0.8993205394714409,9.61527126076569,0.06554359367166747,0.1759309984743595,0.6852935398662505,-1.0864916876263497,0.02352069285698235,0.0,0.2810829132795334,0.18000963181257248,0.21802560612559319,-1.1803563697321806,0.0128662109375,0.009254659351427108,-0.0415041234344244,-0.9956265389919281,-0.9992178797721862,0.0,-21.411730182123552,-0.03223285637795925
-1.7684436155263277,125.0,-0.9520844813465373,-0.0014491223671939224,-10.321833926700549,4,0.0,0.0,-15.393666351208878,-0.03392416946589947,-1.769708992200988,250.0,0.0,1000.0,-10.404740803693949,-9.93601241266953,155840.0,0.0,500.0,0.7045367140392385,-2.73603984730277,0.023,0.0255859375,-0.7257607053578526,10.00826205144696,0.060641244215141034,0.20584998577833175,0.598537947287683,-0.6935006117961655,0.01798338829539716,0.0,0.30093863755464556,0.1907879773527384,0.22777604572474958,-1.1865313524278462,0.0072265625,0.010760807886254043,-0.048845740780234334,-0.9948754623532295,-0.9994020253419876,0.0,-21.56711307403116,-0.032256408222019674
-1.8379117493484487,150.0,-0.9569058563211001,0.00039448951647500505,-10.131776595081107,5,0.053231939163498096,0.0,-20.747877112350857,-0.0400476953946054,-1.8380692068292888,263.0,0.0,991.0,-10.222134257333334,-9.70164109267124,186716.0,0.0,600.0,0.8145576249947354,-2.900686814613325,0.016145307769929364,0.022705078125,-0.8209298770804242,9.801737210362656,0.051501276360900836,0.2328186087310314,0.4940300246644006,-0.918816470708551,0.015797098632901907,0.01,0.3207655280828476,0.20226999782025815,0.2396444793790579,-1.1808231570503267,0.00458984375,0.014811835694126784,-0.05329954847693443,-0.9928553462028503,-0.9994747385382652,0.0,-20.679367577855686,-0.03411498023197055
-2.06657222706284,175.0,-0.9602208124648314,0.00031472838982153916,-10.805809815808756,6,0.07142857142857142,0.0,-21.160270671988698,-0.04902733508497477,-2.064611131215198,266.0,0.0,991.0,-10.896581846549278,-10.399688904816571,217513.0,0.0,700.0,1.0912382692686837,-2.9303146841125782,0.029263370332996974,0.0326171875,-1.1092780740491814,10.523657252218948,0.03698149015451852,0.25880548283457755,0.568130180375023,-1.9772546146770176,0.01576714471448213,0.01,0.34055797681212424,0.21008460521697997,0.25311894416809083,-1.1812088058555674,0.00244140625,0.018317534658126532,-0.06522769015282393,-0.9911071762442589,-0.9994757264852524,0.0,-21.53700334540872,-0.034575813077390195
-2.1245478377948666,200.0,-0.9630185766669456,0.0009291561727877706,-11.037200947269877,7,0.03488372093023256,0.0,-21.6013329231428,-0.05904186414554715,-2.1266209123312025,258.0,0.0,1000.0,-11.137633926494908,-10.616962679500812,248633.0,0.0,800.0,1.1643312147590366,-2.970619158754094,0.021,0.0225830078125,-1.183669387087778,10.724270480953242,0.052011474456964704,0.2767663337290287,0.4967253192842911,-1.6828820376851705,0.01738575447816402,0.0,0.3630417473614216,0.21946142427623272,0.2671169966459274,-1.1841337018930063,0.0020751953125,0.01695949980057776,-0.06793259922415018,-0.9917843922972679,-0.9994219079613685,0.0,-22.297087317046465,-0.03913620291277766
-2.169390836232582,225.0,-0.9621564066270366,0.0008927488379413262,-11.017775689471174,8,0.07806691449814127,0.0,-21.923376776029897,-0.06544222068041564,-2.1822373931546992,269.0,0.0,986.0,-11.106331612890747,-10.615713718703697,279219.0,0.0,900.0,1.2170174760563355,-2.940851278198099,0.04056795131845842,0.0205322265625,-1.2422124944904902,10.726589724608662,0.2869971011995201,0.30214789882302284,0.5828410862800611,-1.2940323056283443,0.01720415907911956,0.02,0.37990112155675887,0.2284933567047119,0.28001019805669786,-1.1698598934875917,0.0013916015625,0.014684886089526117,-0.07394050769507884,-0.9929186686873436,-0.9994279354810714,0.0,-22.294906211027115,-0.04341253461316228
-2.0559059939824107,250.0,-0.9630027739505749,0.00040441299788653853,-11.519443523409803,9,0.1223021582733813,0.0,-22.490219655179345,-0.07206203397363424,-2.065118154264579,278.0,0.0,1000.0,-11.62205366181924,-11.14205009695109,309987.0,0.0,1000.0,1.106809077381806,-2.7830411266938073,0.056,0.0534912109375,-1.112546966476091,11.252138376998127,0.037408091875336245,0.3212926536798477,0.636241050759936,-2.2728698280124378,0.014838070864789188,0.0,0.3998511105775833,0.23638904169201852,0.28413415774703027,-1.173634245400899,0.0017822265625,0.013862544693984092,-0.08143288679420949,-0.9933287352323532,-0.99950662702322,0.0,-22.14792852459121,-0.045948174223303793
