test/success_rate,train_0/mu_loss,train_1/mu_loss,train_1/q_grads,test_1/n_subgoals,train_1/next_q,train_1/avg_q,train_0/mu_grads,train_0/reward_-0.0_frac,train_1/current_q,train_1/reward_-27.0_frac,train_0/reward,policy/steps,test/episodes,test_1/subgoal_succ_rate,train_0/q_grads,train/success_rate,train_0/target_q,train_0/next_q,train_0/reward_-1.0_frac,train_1/n_subgoals,train_1/q_loss,train_0/current_q,train_1/reward_-0.0_frac,train_1/reward_-1.0_frac,train_1/subgoal_succ_rate,epoch,train_0/q_loss,train_1/mu_grads_std,train_0/fw_bonus,train_0/avg_q,train_1/reward,train_1/target_q,test_0/avg_q,train_1/q_grads_std,train_0/fw_loss,train_0/mu_grads_std,train_1/fw_loss,train_1/mu_grads,train/episodes,train_0/q_grads_std,train_1/fw_bonus,test_1/avg_q
0.0,8.567201437155076,6.636384565788117,0.010249623539857566,675.0,-7.789474860085346,-7.176832800417026,0.003173432528274134,0.0,-8.088175622224192,0.0,-0.7186258182227903,91054.0,25.0,0.0,0.007034952635876834,0.0,-8.669960176253129,-8.54899717118421,0.00048828125,2700.0,3.0729746301392042,-8.549303824749583,0.0,0.0036376953125,0.0011111111111111111,0,0.36281931372093024,0.14455053955316544,-0.9937457725405693,-12.729780144388714,-2.098245777779084,-8.107622234481148,-24.683832883792334,0.1149663170799613,0.03280116468667984,0.1527279183268547,0.0676804631948471,-0.019229442672804,100.0,0.10356566440314055,-0.9903147980570793,-9.8954042357665
0.0,8.947258338129737,4.4516545966690995,-0.010703874356113374,675.0,-7.1666929577258,-12.363187363020698,-0.0029039523797109723,0.0,-7.453375682430277,0.0,-0.7130454173522593,181980.0,50.0,0.0,-0.0016236772673437372,0.0,-9.13295792134808,-8.942082467630033,0.0087646484375,2700.0,4.088942846860646,-8.984529016328974,0.0,0.002783203125,0.002962962962962963,1,0.3138589129010031,0.1788270477205515,-0.996842785179615,-20.57734824131512,-2.0468913389013323,-7.600521343601261,-26.929022535314164,0.15774708539247512,0.016857160883955658,0.17524981312453747,0.07714589443057776,-0.028424057317897676,200.0,0.12775748893618583,-0.9885336384177208,-13.445362893579235
0.0,8.547139418448745,26.999999536325152,-0.011239034635946155,675.0,-27.0,-21.93562446464839,-0.005342255020514131,0.0,-26.999997006128048,0.0,-0.7141956931671303,273105.0,75.0,0.0,-0.00029613254737341775,0.0,-8.766262092232589,-8.544158403970917,0.0236572265625,2700.0,120.22131075486436,-8.63704222011347,0.0,0.0020263671875,0.0,2,0.20795523048491438,0.18355463445186615,-0.9975808516144753,-26.85021013061044,-2.101652581453527,-22.212802972078542,-27.0,0.16959308236837387,0.013057528506033122,0.20136064775288104,0.08103285152465105,-0.03474177597090602,300.0,0.1389382265508175,-0.9878022387623787,-26.99999999996878
0.0,8.858972227604886,26.99999929654515,-0.011341022117994726,675.0,-27.0,-26.999999998242355,-0.008551042596809565,0.0,-26.999995719291782,0.0,-0.7116351966033108,364230.0,100.0,0.0,4.3264196690984136e-05,0.0,-9.046558115375834,-8.859280575149313,0.0309814453125,2700.0,120.55116048321256,-8.915690203920063,0.0,0.001953125,0.0,3,0.21705315537794814,0.1835544180124998,-0.9979285955429077,-27.0,-2.0697146802842328,-22.2163948560655,-27.0,0.16954082250595093,0.011267211684025825,0.22307632602751254,0.08432218655943871,-0.03474216014146805,400.0,0.1457060117274523,-0.9871832668781281,-26.999999999972275
0.0,9.087680305231576,2.524579273370763e-07,-0.025474328082054853,675.0,-2.3409297399641347e-12,-21.91987578092159,-0.008690923149697483,0.0,-0.0005497413830589384,0.0,-0.7132394235624815,455355.0,125.0,0.0,-0.0019004963542101905,0.0,-9.280199991090722,-9.080579167038639,0.0515869140625,2700.0,18.57450203653496,-9.130666797197264,0.0,0.00244140625,0.0,4,0.21737273506428734,0.18634448945522308,-0.9982073664665222,-26.999911394231834,-2.1003466882022623,-2.100346688204107,-27.0,0.18136249408125876,0.009832066111266613,0.24016281068325043,0.08738747611641884,-0.04222029447555542,500.0,0.15229489281773567,-0.9866064682602882,-9.840073149046118e-08
0.0,9.011545917803755,5.948773616204164e-08,-0.02296370631083846,675.0,-8.928236158739989e-26,-6.225800606389495,-0.007594297779724002,0.0,-2.465790469781853e-07,0.0,-0.7066352565932903,546434.0,150.0,0.0,-0.003237093280768022,0.01,-9.223262848450512,-9.016319632836224,0.055908203125,2699.0,18.09326789306681,-9.07331509738491,0.0,0.0022216796875,0.0,5,0.1734328082241475,0.19080783426761627,-0.9984023496508598,-26.999999999843922,-2.062959206859523,-2.062959206859523,-27.0,0.20148642361164093,0.008828240353614092,0.2518259987235069,0.09202997907996177,-0.04534284397959709,600.0,0.15438382029533387,-0.985732863843441,-1.1355700539895923e-08
0.0,9.345813082745655,4.465243615243374e-08,-0.022963897697627543,675.0,-3.4465736610279416e-28,-2.425332176475755e-08,-0.007587511942256242,0.0,-1.515746426606759e-07,0.0,-0.7050964861431567,637559.0,175.0,0.0,-0.0029035835526883603,0.0,-9.5395597903678,-9.344471961335753,0.046728515625,2700.0,18.946658421093705,-9.393853061291006,0.0,0.00283203125,0.0,6,0.14732867693806662,0.19080783426761627,-0.9985230460762977,-27.0,-2.1169834903339506,-2.1169834903339506,-27.0,0.20148637890815735,0.008206846157554537,0.2568249344825745,0.08779138624668122,-0.04534284397959709,700.0,0.158040102571249,-0.9865304604172707,-9.70267359181073e-09
0.0,9.425756472225775,3.780107495966509e-08,-0.02296461621299386,675.0,-6.622960974790169e-28,-6.454969443744078e-08,-0.009830513875931502,0.0,-1.3235959455131451e-07,0.0,-0.7048869686295802,728684.0,200.0,0.0,-0.003346282464917749,0.0,-9.62433590569342,-9.42152283857924,0.0489990234375,2700.0,19.07835434152123,-9.473491443610747,0.0,0.00244140625,0.0,7,0.15306685143921722,0.1908079285174608,-0.99866553992033,-27.0,-2.124151123732736,-2.124151123732736,-27.0,0.20148613452911376,0.007473289570771158,0.26911490336060523,0.08828796483576298,-0.04534293711185455,800.0,0.16375523060560226,-0.9864370107650757,-9.737508536243171e-09
0.0,9.483549151807797,1.9509391712762755e-08,-0.022965998342260718,675.0,-1.9240819228181086e-27,-8.187397493179499e-08,-0.007786453329026699,0.0,-7.224894908815515e-08,0.0,-0.7008340148706338,819809.0,225.0,0.0,-0.003766871668631211,0.0,-9.679664909941405,-9.479835854210124,0.0364990234375,2700.0,19.018931339776547,-9.524070597863119,0.0,0.0021728515625,0.0,8,0.15381284834765951,0.19080810248851776,-0.9988115891814232,-27.0,-2.1185648688682703,-2.1185648688682703,-27.0,0.20148520730435848,0.006721417629159987,0.2791721738874912,0.08408769350498915,-0.04534308239817619,900.0,0.16933490633964537,-0.9872273951768875,-5.267220980377341e-10
0.0,9.375774776053857,1.2723975274039567e-08,-0.02296916232444346,675.0,-9.136281452982859e-28,-6.950527649569271e-08,-0.00891490604262799,0.0,-6.839707120475507e-08,0.0,-0.6987155372902635,910934.0,250.0,0.0,-0.004426513682119548,0.0,-9.577765529047506,-9.372244917086705,0.0485595703125,2700.0,18.307882252485165,-9.424489753248341,0.0,0.0018798828125,0.0,9,0.12838722426809748,0.190808642283082,-0.9988226786255836,-27.0,-2.070077432178368,-2.070077432178368,-27.0,0.2014830756932497,0.00666431630961597,0.29429879114031793,0.08163436222821474,-0.04534321250393987,1000.0,0.1732543557882309,-0.9876890420913697,-7.049127132019457e-08
