train_0/avg_q,policy/steps,train_0/reward_-0.0_frac,train_1/mu_grads_std,train/episodes,test_1/subgoal_succ_rate,train_1/fw_bonus,train_1/subgoal_succ_rate,train_1/mu_loss,train_0/target_q,train_0/mu_grads,train_1/q_grads_std,test_0/avg_q,train_1/fw_loss,train_1/avg_q,train_0/q_loss,train_0/mu_loss,test/success_rate,train_0/reward,train_1/n_subgoals,train_1/reward_-27.0_frac,epoch,train/success_rate,train_0/next_q,train_1/mu_grads,train_0/mu_grads_std,train_1/current_q,train_0/fw_bonus,train_1/reward_-0.0_frac,train_0/reward_-1.0_frac,train_0/q_grads_std,train_0/current_q,train_1/q_loss,train_1/next_q,train_0/fw_loss,train_1/reward_-1.0_frac,train_1/q_grads,train_1/target_q,test/episodes,train_0/q_grads,train_1/reward,test_1/n_subgoals,test_1/avg_q
-21.860238185526637,73432.0,0.0,0.09010760225355625,100.0,0.0,-0.9962282255291939,0.2548148148148148,2.975316915254352,-8.884582649184253,-0.0054858334362506865,0.18442476205527783,-1.3100955016938913,0.0016639559442410245,-4.450267119297715,0.2180136818273845,8.69810620022216,0.04,-0.8619008282228606,2700.0,0.0,0,0.0,-8.686439731047026,0.015025984914973377,0.15617899000644683,-2.7799738906308074,-0.9995103478431702,0.0,2.44140625e-05,0.14896652437746524,-8.75623672633451,5.656634245360628,-2.6951376774233102,0.00012641125667869346,0.0015625,0.005898398690624163,-3.0214531692866813,25.0,0.03814558498561382,-1.341696317581227,669.0,-0.7326965940182317
-5.093105583923287,163798.0,0.0,0.09011732079088688,200.0,0.0,-0.9962737172842026,0.014814814814814815,4.611572173762589,-5.277973536735507,-0.007648890453856439,0.2286076955497265,-1.6987492357859082,0.001653245705529116,-5.310751696891841,0.35256840117710175,5.103688528964116,0.0,-0.8662956595813739,2700.0,0.0,1,0.0,-5.095282112602076,0.015031299996189773,0.19048820957541465,-3.6661065366558248,-0.9995188936591148,0.0,2.44140625e-05,0.18147292658686637,-5.189240377398475,0.6276633083575585,-3.2613504026500926,0.0001242721655216883,0.0016845703125,0.00837445657234639,-3.6412655956316335,50.0,0.046664362959563735,-1.439881068392424,675.0,-8.220891988637817
-16.837987884490833,253836.0,0.0,0.09011418856680393,300.0,0.0,-0.9965511545538902,0.002253944402704733,0.7253501581500561,-6.281361381527866,-0.012224696739576758,0.2589123897254467,-26.8829258515199,0.0015879231417784468,-6.742118539605352,0.3212865779748514,6.001076615544879,0.0,-0.874552522932936,2662.0,0.0,2,0.02,-5.992374186192866,0.015029766620136798,0.21178428456187248,-0.5881068598106923,-0.9994277849793434,0.0,7.32421875e-05,0.20666300915181637,-6.201668403940088,4.99411635046138,-0.7020369532689325,0.00014709752540511544,0.0014404296875,-0.007889654359314591,-1.9149461949624489,75.0,0.05565587487071753,-1.468720737316471,675.0,-5.969452529185723
-26.95694919721137,344961.0,0.0,0.09011433850973845,400.0,0.0,-0.9977020025253296,0.0,4.561550115406363,-7.799009487206457,-0.012970147817395628,0.2819436676800251,-27.0,0.0013169524318072945,-6.519802942325149,0.2197314479947746,7.59784157517394,0.0,-0.8709846861718689,2700.0,0.0,3,0.0,-7.577848551179665,0.015029603871516884,0.22887527234852315,-1.6072825971569376,-0.9995046481490135,0.0,0.0001953125,0.2111545938998461,-7.734095966923259,0.3301374316351067,-0.2038680729859143,0.00012783985966962063,0.0013427734375,-0.006311812461353839,-1.608074740037472,100.0,0.057042029406875375,-1.485129536394379,675.0,-7.485457853125642
-27.0,436086.0,0.0,0.09010572917759418,500.0,0.0,-0.9982153475284576,0.0,5.081472742263034,-8.238881461548853,-0.017562098149210215,0.32053704783320425,-27.0,0.0011960888281464578,-7.495141740604099,0.23503992863287046,8.037822056943423,0.0,-0.8672152203434962,2700.0,0.0,4,0.0,-8.030492659687727,0.015025004325434566,0.24248899333178997,-1.5143523990829406,-0.9995975136756897,0.0,0.000439453125,0.21994761228561402,-8.140443735847857,0.21179424612557823,-0.04391308145274031,0.00010457580447109649,0.0015869140625,-0.008598642796278,-1.5110616390294145,125.0,0.058502713404595855,-1.4852948067738907,675.0,-7.534848994171984
-27.0,527211.0,0.0,0.09010138362646103,600.0,0.0,-0.9984046071767807,0.0,5.974468648550599,-8.536871223142423,-0.021787717659026384,0.34235958084464074,-27.0,0.0011515257210703567,-7.456287492850914,0.17737275128001836,8.349035107167847,0.0,-0.8661511506157694,2700.0,0.0,5,0.0,-8.325516395030531,0.015022383071482182,0.26082432344555856,-1.6044962283033573,-0.9996191695332527,0.0,0.000244140625,0.22791275344789028,-8.4486761380281,0.11293978609065855,-0.16639776236042944,9.914683796523605e-05,0.0010009765625,-0.012362653971649706,-1.606133887480644,150.0,0.059156677965074775,-1.511163075065997,675.0,-7.60291470493631
-27.0,618336.0,0.0,0.09010138362646103,700.0,0.0,-0.9985796451568604,0.0,6.960660432178026,-9.39656547703738,-0.023522080201655627,0.3590487249195576,-27.0,0.0011103106720838697,-7.506399777873036,0.13839483888973497,9.172885903786897,0.0,-0.8622558878443669,2700.0,0.0,6,0.0,-9.157720482516046,0.015022383071482182,0.2753638617694378,-1.5332499672503648,-0.999666377902031,0.0,0.0007568359375,0.23055528923869134,-9.26581256426941,0.06614325572336578,-0.047440239808999064,8.732158166822047e-05,0.0009765625,-0.016377657372504472,-1.5331827632683894,175.0,0.05934738852083683,-1.5086698491097195,675.0,-7.497804586201452
-27.0,709165.0,0.0,0.09010138362646103,800.0,0.0,-0.9986225068569183,0.0,6.914391300516198,-9.794587897513281,-0.022478274768218398,0.371063894033432,-27.0,0.0011002214072505013,-7.3095455994764,0.10847093039139248,9.570309886743683,0.0,-0.8559799620721605,2690.0,0.0,7,0.01,-9.563287786091356,0.015022383071482182,0.2808549597859383,-1.4859879315154925,-0.9998189821839333,0.0,0.0119140625,0.23311521857976913,-9.650451557326843,0.022335706710050342,-0.0021727849752690197,4.9089439198724e-05,0.0010009765625,-0.01890168325044215,-1.4841332607552185,200.0,0.05977569874376058,-1.4831099461225676,675.0,-7.562099474551837
-27.0,800290.0,0.0,0.09010138362646103,900.0,0.0,-0.9992773219943046,0.0,7.406657392206019,-9.821206348113733,-0.025541635835543273,0.37886135205626487,-27.0,0.0009460456421948038,-7.443064924211481,0.11065808207952084,9.604689264118425,0.0,-0.8544180398355821,2700.0,0.0,8,0.0,-9.597244707708962,0.015022383071482182,0.28438395634293556,-1.5024742549739467,-0.9998116165399551,0.0,0.011376953125,0.2352351225912571,-9.662702017636267,0.0361175611209328,-1.5214558742454755e-05,5.093526824566652e-05,0.00078125,-0.02114911386743188,-1.5056608476194175,225.0,0.059976320061832664,-1.5056530563670094,675.0,-7.492816508009227
-27.0,891415.0,0.0,0.09010138362646103,1000.0,0.0,-0.9995192438364029,0.0,6.971241669461588,-9.848854524273628,-0.027124142879620193,0.3860616162419319,-27.0,0.0008890840123058297,-7.4808426292381744,0.0942282099351618,9.619411234007469,0.0,-0.854198108323908,2700.0,0.0,9,0.0,-9.615019204931361,0.015022383071482182,0.29021024852991106,-1.4706912596225814,-0.9998357519507408,0.0,0.007080078125,0.23585574068129062,-9.700260724082302,0.022903626407698913,-0.00021463088568922554,4.488736976782093e-05,0.001025390625,-0.022601715894415973,-1.4705392272307796,250.0,0.05907552558928728,-1.4704280068370281,675.0,-7.337767473084076
