train_1/reward_-27.0_frac,train_0/fw_bonus,train_1/mu_grads_std,train_0/reward_-0.0_frac,train_0/target_q,train_1/q_grads_std,test/episodes,train_1/fw_loss,train_0/avg_q,train_1/fw_bonus,train_0/next_q,train_0/mu_loss,train_1/mu_grads,train_0/q_grads_std,train_1/q_loss,train_1/n_subgoals,train_0/q_grads,policy/steps,train_0/reward_-1.0_frac,train_1/reward,train_0/reward,train/success_rate,test_1/n_subgoals,train/episodes,train_0/mu_grads_std,epoch,train_0/q_loss,train_1/target_q,train_0/mu_grads,train_1/avg_q,train_1/mu_loss,train_1/current_q,train_1/next_q,train_1/reward_-0.0_frac,train_1/subgoal_succ_rate,test/success_rate,train_1/q_grads,train_1/reward_-1.0_frac,train_0/current_q,test_1/subgoal_succ_rate,test_1/avg_q,test_0/avg_q,train_0/fw_loss
0.0,-0.9992026507854461,0.08488490525633097,0.0,-2.7296533978019104,0.21648258045315744,25.0,0.0012745709071168676,-4.369768841520083,-0.9984359309077263,-2.5681778800681174,2.5920785602272813,0.021415244741365313,0.1573342751711607,22.71553864072652,2682.0,0.0347665605135262,87672.0,0.0003173828125,-1.487327913250192,-0.8715699614258483,0.02,675.0,100.0,0.16455272436141968,0,0.60125670297782,-9.752326446682835,-0.011120435013435782,-5.59287700299723,11.808166685834745,-9.666939157968088,-11.788630807117261,0.0,0.049962714392244596,0.0,0.02567337956279516,0.002099609375,-2.763662937871641,0.0,-6.537333587272579,-1.50365612696349,0.00021819506873725912
0.0,-0.9989473193883895,0.08571872152388096,0.0,-6.178623964930862,0.290445289760828,50.0,0.0013415425171842798,-5.975440408934182,-0.99817553460598,-5.96191666842107,6.008905392223943,0.022312111034989358,0.16893710792064667,21.169321446113244,2634.0,0.03879189258441329,172023.0,0.0001953125,-1.4816943899219042,-0.8772439333770308,0.05,2322.0,200.0,0.2022893290966749,1,0.2741370095509975,-11.872984024034634,-0.014785591280087829,-7.735020611688972,16.081447228686034,-11.841496494589325,-16.08314356820535,0.0,0.10022779043280182,0.0,0.017332239635288717,0.0015625,-6.2152827476240216,0.7403100775193798,-9.158195872817508,-2.057553918985128,0.00028613211361516733
0.0,-0.9987508744001389,0.08599121440201998,0.0,-5.087424054184181,0.3155704490840435,75.0,0.001594593035406433,-7.262617217836756,-0.9971916615962982,-4.875245921350223,4.91097291947842,0.02254337500780821,0.18458339534699916,14.400595373077476,2612.0,0.04012431427836418,249387.0,0.000341796875,-1.4540277766020153,-0.8860138381831348,0.08,675.0,300.0,0.22741824798285962,2,0.42999048289871433,-12.320541465213903,-0.020250520622357725,-9.154969504118606,15.604871385483682,-12.2157022675862,-15.577980377352537,0.0,0.23392036753445636,0.0,0.015023036277852952,0.0020751953125,-5.162703260390115,0.0,-9.476988327737654,-2.7108472194437394,0.0003383980474609416
0.0,-0.9986724689602852,0.08599848449230194,0.0,-5.000543003924371,0.3308128222823143,100.0,0.0018436198501149193,-5.9752787717785605,-0.9962234333157539,-4.760295767301721,4.83337570712577,0.02255333629436791,0.19319589473307133,13.709172798223188,2530.0,0.0401347266510129,320574.0,2.44140625e-05,-1.428979098716809,-0.8882011169596808,0.12,14575.0,400.0,0.24835559278726577,3,0.386042127193661,-12.493026321837306,-0.028270098054781555,-9.921045768892885,15.382169241768372,-12.393704475297415,-15.375216357188364,0.0,0.29209486166007903,0.0,0.013983698678202927,0.00205078125,-5.075621987479476,0.99073756432247,-10.22047915658927,-1.6325424442129912,0.00035926278069382535
0.0,-0.9986910745501518,0.11875556148588658,0.0,-5.355218486690627,0.3404359586536884,125.0,0.0021863483503693714,-7.489726745714601,-0.9948908984661102,-5.139684601116153,5.216428504322214,0.01408983615692705,0.20525255240499973,10.266242979139188,2538.0,0.0389734797179699,391411.0,0.0004150390625,-1.434437212505145,-0.8903452108250349,0.12,4330.0,500.0,0.2766699083149433,4,0.43628581216594603,-8.750635468800175,-0.0343249399214983,-10.094447605908565,10.020224365192382,-8.630139716507696,-10.030220447140845,0.0,0.2986603624901497,0.0,0.0129272541962564,0.0022216796875,-5.419128521562273,0.8840646651270208,-1.682038939433154,-1.8489020175115671,0.00035430802236078305
0.0,-0.998580327630043,0.16184150762856006,0.0,-4.367773332926173,0.34012299627065656,150.0,0.0019528689183061943,-12.297884743029941,-0.9957986742258071,-4.057465966118729,4.146493966439085,0.009307474689558148,0.23449486084282398,4.091143234850292,1739.0,0.04123398680239916,448748.0,0.000244140625,-1.426817263511475,-0.8921298281420604,0.66,2070.0,600.0,0.2957421250641346,5,0.47945520346865356,-3.9855223065986136,-0.03862674469128251,-3.356773946490504,4.0055043362772995,-3.8984796740644327,-4.013053650136291,0.0,0.21564117308798159,0.0,0.00911428916733712,0.0023681640625,-4.284430036219308,0.7,-2.24218596934821,-1.530651680865624,0.00038377298624254764
0.0,-0.9985119760036468,0.19922390319406985,0.0,-5.975400143103149,0.35130511671304704,175.0,0.001952748349867761,-10.47028669675474,-0.9957991361618042,-5.628367648420538,5.728510267796443,0.005573760496918112,0.2538232631981373,4.189494333876951,2169.0,0.04276816323399544,518578.0,9.765625e-05,-1.4128039424933376,-0.8965646524462499,0.46,675.0,700.0,0.3131507493555546,6,0.47148986347030064,-5.902239457312069,-0.04702666588127613,-3.3502055294121784,5.687956970230191,-5.8546765866603865,-5.702583551671511,0.0,0.16459197786998617,0.0,0.008421280630864203,0.00224609375,-5.94991585776774,0.0,-1.6451359980162554,-1.5489750932164255,0.0004019573556433897
0.0,-0.9985453456640243,0.22650945894420146,0.0,-5.412085141590154,0.3654099673032761,200.0,0.001905071976943873,-10.511751188900263,-0.9959845125675202,-5.12316633584841,5.217938511937804,0.001946970823337324,0.270059734582901,3.7657431358573676,1956.0,0.043713312689214946,583887.0,7.32421875e-05,-1.4143467761794455,-0.8994217074432527,0.53,4504.0,800.0,0.3309398084878922,7,0.5965053726445546,-7.783647726070333,-0.052527740225195886,-3.8784416099506527,7.7191090196158285,-7.704188515776941,-7.712304348871763,0.0,0.1278118609406953,0.12,0.005460203508846462,0.0025146484375,-5.421559692678048,0.8878774422735346,-3.974198841466103,-1.3876415649922669,0.00039308027262450194
0.0,-0.9985491648316384,0.24441151767969133,0.0,-6.0730519420451285,0.37708049044013026,225.0,0.0018018096801824869,-10.215430850858457,-0.996385994553566,-5.7799877867692855,5.934007514249146,-0.0011919699318241328,0.2855941288173199,3.9994056866705043,2120.0,0.044013125170022246,652947.0,0.000244140625,-1.4241632725141244,-0.9039228595211171,0.47,667.0,900.0,0.3503554828464985,8,0.4966338342690193,-8.857241043537003,-0.06050022579729557,-4.686787699776926,9.116607670269358,-8.768452938936596,-9.121512369607228,0.0,0.15849056603773584,0.04,0.001923096925020218,0.0022705078125,-6.111077729731669,0.004497751124437781,-1.7196804293616637,-2.39457352844377,0.000392065235064365
0.0,-0.9985851719975471,0.26072787269949915,0.0,-6.0968082838915665,0.38817533627152445,250.0,0.0017201716749696062,-13.710841926730913,-0.9967034056782722,-5.823908187240955,5.943739886790068,-0.002754378435201943,0.30188010782003405,4.24864013952489,2204.0,0.043902709428220985,724907.0,0.0011474609375,-1.4384760384593391,-0.9019601211708504,0.32,653.0,1000.0,0.37236721590161326,9,0.6565102344511865,-8.386910480696212,-0.06441291403025388,-4.426797774807404,8.44880231321889,-8.3195826413628,-8.429871516380187,0.0,0.12522686025408347,0.04,0.00015225708211801247,0.0021728515625,-6.11795434553067,0.004594180704441042,-2.8769980255461647,-2.6050647957111885,0.00038248422715696505
