train_0/target_q,train_1/q_grads,train_1/q_grads_std,test/success_rate,train_0/q_loss,train_1/reward_-27.0_frac,train/episodes,train_1/mu_grads,train_1/mu_grads_std,train_0/reward,test_0/avg_q,train_1/n_subgoals,train_0/fw_bonus,train_1/fw_loss,test_1/avg_q,train_0/mu_grads_std,train/success_rate,train_0/q_grads,train_1/avg_q,train_0/avg_q,test_1/n_subgoals,train_1/fw_bonus,train_1/reward_-0.0_frac,train_0/q_grads_std,train_0/reward_-0.0_frac,train_0/fw_loss,train_1/target_q,train_0/mu_loss,epoch,train_1/current_q,train_0/mu_grads,train_1/subgoal_succ_rate,train_0/next_q,policy/steps,train_0/current_q,train_1/q_loss,train_1/mu_loss,train_0/reward_-1.0_frac,train_1/next_q,test/episodes,train_1/reward_-1.0_frac,test_1/subgoal_succ_rate,train_1/reward
-10.105634948983548,0.0250581125728786,0.13095604293048382,0.0,1.4348735245463191,0.0,100.0,-0.02365399864502251,0.18779688999056815,-0.857743260258576,-6.938534408777273,2700.0,-0.9967853546142578,0.015426728292368352,-1.802452126640736,0.18190879710018634,0.0,0.018755493452772498,-5.621353209656112,-11.029937456002157,679.0,-0.9949785932898522,0.0,0.1338781513273716,0.0,0.04100400758907199,-3.372179339348868,9.826612509693225,0,-3.3535889104864003,-0.02996480455622077,0.00037037037037037035,-9.797438459065923,91118.0,-10.007063465581755,2.411575458983844,1.4543009926292958,0.015673828125,-1.4630960900425747,25.0,0.0237060546875,0.005891016200294551,-2.1600259221733724
-10.889410270858576,0.023147383285686374,0.1463821053504944,0.04,1.1941241488852425,0.0,200.0,-0.033345576748251914,0.22873580902814866,-0.8965333897838719,-7.648433737003164,2700.0,-0.9973148241639137,0.03188110426999628,-2.6655669191081155,0.2316273782402277,0.0,0.018095152406021952,-7.278997400251824,-18.740168581764056,676.0,-0.9896102979779243,0.0,0.16829473450779914,0.0,0.03425130951218307,-3.4883415086069194,10.63769681832251,1,-3.43052580940617,-0.04108793949708343,0.0011111111111111111,-10.531762346622548,181687.0,-10.837292970652566,3.154582247577004,1.5587132347401405,0.0095703125,-1.5662130832583399,50.0,0.006494140625,0.04142011834319527,-2.190154272354994
-11.639268461449012,0.018334023794159292,0.15333919376134872,0.0,1.2111081997135174,0.0,300.0,-0.040934468526393174,0.25584573298692703,-0.911851421528263,-6.474278241715174,2687.0,-0.9980680868029594,0.0436268026009202,-4.5906359560115195,0.27101216837763786,0.01,0.013911031279712915,-8.236597723389234,-19.16186173490577,727.0,-0.9857782274484634,0.0,0.1963375762104988,0.0,0.024644715199247002,-4.786722489381201,11.336911852728068,2,-4.757641043109497,-0.06115630129352212,0.003721622627465575,-11.249727350848682,272383.0,-11.584210925890721,2.5184309966295904,3.10158986936092,0.010546875,-3.1342168497554326,75.0,0.0010986328125,0.08803301237964237,-2.166241162474762
-10.807759125198718,0.014298959611915052,0.15955752432346343,0.0,0.6496699249356861,0.0,400.0,-0.04884474379941821,0.276456993073225,-0.9190563073949306,-4.006990380604279,2700.0,-0.9981956169009208,0.04923715069890022,-4.457406383995678,0.3018635161221027,0.0,0.01707518338225782,-10.060752162107251,-19.387230732068616,967.0,-0.9839478164911271,0.0,0.22148225381970404,0.0,0.02301806507166475,-5.604871198538133,10.4416394768176,3,-5.597708234348876,-0.07390011847019196,0.02666666666666667,-10.30415253755959,362919.0,-10.736262747778927,2.3223094596251648,4.0362769021941585,0.005859375,-4.054532302150184,100.0,0.0001953125,0.4074457083764219,-2.1813537961454132
-11.148367291279888,0.011611136863939464,0.16638083197176456,0.04,0.7236913549054362,0.0,500.0,-0.05484740054234862,0.29136042222380637,-0.9213721114785585,-4.167777085970355,2700.0,-0.9985059440135956,0.05662218052893877,-6.057490924199873,0.3249030336737633,0.0,0.017705185804516077,-10.340327638558506,-19.272851385860914,814.0,-0.9815384238958359,0.0,0.2374968335032463,0.0,0.019060414377599956,-6.120145549707937,10.790860352026103,4,-6.115694876350806,-0.0850663997232914,0.07481481481481482,-10.676881766347712,451969.0,-11.097329150759204,1.946628203782689,4.676666955594577,0.0125,-4.682607163094349,125.0,0.0004638671875,0.34275184275184273,-2.1569435327859536
-11.22853195639875,0.008629596210084856,0.1772231962531805,0.0,0.8224997943216834,0.0,600.0,-0.0610224605537951,0.3016471952199936,-0.9388346024294151,-4.43510541089297,2664.0,-0.9986652940511703,0.0610734592191875,-4.669497348857689,0.3513692460954189,0.04,0.017171569913625718,-11.020519285347477,-19.56958763965778,1203.0,-0.9800861820578575,0.0,0.2522317238152027,0.0,0.017028048541396855,-5.848548632963777,10.8920133706097,5,-5.847782821885813,-0.09613632243126631,0.08746246246246246,-10.730459009297743,540134.0,-11.166694230385772,1.9321665839673947,4.345781335934829,0.0079345703125,-4.363974798108356,150.0,2.44140625e-05,0.5876974231088944,-2.116324832180544
-11.45264684247508,0.006690086959861219,0.1902837123721838,0.04,0.704275651670834,0.0,700.0,-0.06426654029637575,0.306002389639616,-0.9399833538882376,-3.30570225113043,2692.0,-0.9987411290407181,0.05877041658386588,-3.9496543424766166,0.3744678422808647,0.01,0.01674563828855753,-10.609011138115434,-19.607678718772092,3783.0,-0.9808375656604766,0.0,0.26419051438570024,0.0,0.01606103719677776,-5.519031435100987,11.09673796429532,6,-5.520963898744193,-0.10543311648070812,0.09435364041604755,-10.94025535597915,628408.0,-11.38891714808047,1.895651272118635,3.973500255249977,0.01416015625,-3.9723504972591615,175.0,2.44140625e-05,0.9452815226011102,-2.074757160581794
-11.476846648499485,0.005557966593187302,0.20682976581156254,0.12,0.7887873069604219,0.0,800.0,-0.06635252516716719,0.31114677116274836,-0.941420851185103,-2.8653614580517894,2639.0,-0.9988817393779754,0.052316191326826814,-2.950885512719041,0.3928088679909706,0.03,0.01464546958450228,-10.444571414214941,-19.652329847212794,2691.0,-0.9829432755708695,0.0,0.27569743916392325,0.0,0.014267642027698457,-4.669996097174719,11.10428308443188,7,-4.6878188178923095,-0.1110121140256524,0.1273209549071618,-10.969870652435775,713199.0,-11.40248594969087,2.0618914012518617,2.9699334802034314,0.020458984375,-2.988431045779142,200.0,2.44140625e-05,0.9171311780007432,-2.0444379481967188
-11.379864084905517,0.004125695233233273,0.21671518087387084,0.0,0.7014568778290362,0.0,900.0,-0.07019408531486988,0.32155211418867113,-0.9419675491335511,-4.172671788722258,2648.0,-0.9989985823631287,0.0467995342798531,-3.6992658081522944,0.4120804503560066,0.03,0.014751849020831287,-10.293159048731201,-19.782494246746133,1182.0,-0.9847431063652039,0.0,0.28694940730929375,0.0,0.012777608539909124,-4.998344328237971,11.01527746048537,8,-5.007671258366867,-0.11556169278919697,0.07439577039274925,-10.863873606947587,801150.0,-11.303427922606929,1.5925235439651098,3.3914872398136935,0.019287109375,-3.405345029110863,225.0,4.8828125e-05,0.5524534686971235,-2.0196298549002676
-11.5762523421826,0.002557851787423715,0.2277767390012741,0.0,0.6645523412506712,0.0,1000.0,-0.07247191313654185,0.327623774856329,-0.940952574594121,-3.507557843233107,2684.0,-0.9991658926010132,0.04237141208723187,-3.989785617975771,0.4267965167760849,0.02,0.016306081460788845,-10.55455616626047,-19.675820892110472,3870.0,-0.9861878022551537,0.0,0.2982930414378643,0.0,0.010643736948259175,-5.483879361999224,11.23175319365198,9,-5.487900776915417,-0.1233097828924656,0.09687034277198212,-11.077385544526326,889614.0,-11.511560481398359,1.399578034185987,3.9912783903397795,0.045068359375,-4.00150586573218,250.0,2.44140625e-05,0.9118863049095607,-2.0109527859771332
