train_0/q_grads_std,train_0/avg_q,train_0/q_loss,train_1/reward_-0.0_frac,train_0/mu_loss,train_1/q_loss,epoch,test/episodes,train_0/fw_bonus,train_1/mu_grads,test_1/n_subgoals,train_0/mu_grads,test_0/avg_q,train_1/q_grads,train_1/target_q,train_1/next_q,train_1/reward,train_1/reward_-1.0_frac,train_1/mu_grads_std,train_1/fw_bonus,train_0/fw_loss,train_0/reward,train_0/q_grads,train_1/mu_loss,train_0/mu_grads_std,train_1/current_q,train/episodes,test_1/subgoal_succ_rate,train_0/reward_-1.0_frac,train_1/q_grads_std,test/success_rate,train_0/next_q,train_1/reward_-27.0_frac,test_1/avg_q,train_0/reward_-0.0_frac,train_1/fw_loss,policy/steps,train_1/n_subgoals,train_1/avg_q,train_1/subgoal_succ_rate,train_0/target_q,train_0/current_q,train/success_rate
0.15705337859690188,-1.708049365552305,0.35753069183828273,0.0,2.5054557797953696,6.248072465556795,0,25.0,-0.9990147203207016,0.014070666045881808,4182.0,0.005015999532770365,-1.9046954892411962,0.0018901905248640105,-7.344051739954454,-7.544020988297424,-1.6232256824638172,0.001806640625,0.18142998442053795,-0.9965246051549912,0.00022956586981308645,-0.7142046323577234,0.02909796084277332,6.914374929999552,0.17529342584311963,-7.447665305670034,100.0,0.8787661406025825,0.00029296875,0.24408817216753959,0.08,-2.4968615881683283,0.0,-10.945252490212999,0.0,0.0014766633772524073,63913.0,2681.0,-4.7803108511183785,0.39537486012681833,-2.664880544226358,-2.715415751221212,0.02
0.1877467181533575,-3.4442365671891033,0.421753761611902,0.0,3.0730458793695616,4.758510415931668,1,50.0,-0.9987274646759033,0.011556738312356174,2081.0,0.0013617079617688431,-2.777298173126632,-0.005304526514373719,-7.81829258508874,-7.66630017974888,-1.640838242881,0.00283203125,0.20816898457705973,-0.9945671036839485,0.0002951284212031169,-0.7163193008222152,0.028394500678405165,7.5893109178272935,0.20521883554756642,-7.877120060970141,200.0,0.735223450264296,0.000390625,0.2836358115077019,0.0,-3.0612381108341635,0.0,-11.820473446071171,0.0,0.0018765962595352903,127835.0,2580.0,-9.841849799301135,0.4077519379844961,-3.1811217170971227,-3.255966360899879,0.06
0.1946573991328478,-2.724542791541067,0.3906475053761384,0.0,2.811173622095075,4.676404716935574,2,75.0,-0.9987974762916565,0.008301371685229242,2175.0,-0.003738487750524655,-1.7744662442723766,-0.006978761090431362,-8.299267692681815,-8.119118281113424,-1.5517281758286117,0.0026611328125,0.24393512345850468,-0.9937883853912354,0.00027915062273677906,-0.7184172926405153,0.02677332516759634,8.048624582862566,0.234557481482625,-8.301768839533917,300.0,0.7177011494252874,0.0005126953125,0.30213832929730416,0.0,-2.7652703855592558,0.0,-13.06173761644195,0.0,0.00203569688310381,179647.0,2654.0,-12.360244367401306,0.6386586284853052,-2.9052605377543195,-2.9661701132424683,0.03
0.2024573225528002,-2.5328917827943713,0.37176304086000045,0.0,2.438056509182284,5.407635017957796,3,100.0,-0.9989506810903549,0.003115042217541486,6324.0,-0.0067587985657155515,-1.7109129009983883,-0.004010054911486804,-8.825071064997289,-8.70449903417821,-1.5330817853217014,0.0027587890625,0.2877718165516853,-0.9936293840408326,0.0002441862387058791,-0.7132082468619046,0.023434518184512854,8.481880156035142,0.2556404538452625,-8.814081459612094,400.0,0.9478178368121443,0.000927734375,0.32426201179623604,0.08,-2.399618255856342,0.0,-13.36752024568257,0.0,0.0020681801688624546,237111.0,2679.0,-14.067444006568628,0.5139977603583427,-2.547333651109815,-2.6155740735378217,0.03
0.20916955061256887,-2.2675294139303244,0.3267724947055139,0.0,2.4448823861875137,5.678522919621491,4,125.0,-0.9990682914853096,0.0004205715500575025,6097.0,-0.012305446295067668,-1.8245797505424,-0.002232304512290284,-8.794889954689282,-8.680443532096259,-1.4905092576125754,0.0024169921875,0.3161397226154804,-0.9933964505791664,0.00021734183646913153,-0.7136454748761025,0.022722408547997473,8.381995508876283,0.275389052182436,-8.781875327342195,500.0,0.9439068394292275,0.0004150390625,0.3445604518055916,0.04,-2.4104290950212026,0.0,-10.46176264795745,0.0,0.0021157729730475693,280049.0,2694.0,-14.126853656313804,0.7435040831477358,-2.585461548381596,-2.6523740984317534,0.01
0.21227376945316792,-2.043100505741937,0.41192334019455856,0.0,1.9598537608924929,4.536237221620043,5,150.0,-0.999091961979866,-0.0010835650726221501,2897.0,-0.011465302109718323,-1.3384741778722484,-0.002719385240925476,-8.485318319798518,-8.25342204429766,-1.4101009120800883,0.0018798828125,0.34048409685492514,-0.9912711530923843,0.00021193924876570236,-0.7115454942424548,0.021721070865169168,8.081786463461277,0.2942681089043617,-8.44338417204094,600.0,0.8277528477735588,0.0007080078125,0.3617593593895435,0.12,-1.9219041882111632,0.0,-11.997267876660192,0.0,0.0025499857729300857,326134.0,2697.0,-14.087871619847505,0.6722284019280682,-2.0672423458763958,-2.130668339945038,0.01
0.21278323009610176,-1.6306409695774664,0.41724839667043134,0.0,2.2671261159328155,3.9194521890457934,6,175.0,-0.9991966411471367,-0.0026999642548616977,1569.0,-0.01529028641525656,-3.202516277551381,-0.0033626743592321874,-8.544810709027308,-8.359635906321962,-1.3142741254763677,0.0023193359375,0.347079112380743,-0.9912679776549339,0.0001880487470771186,-0.7105846491576813,0.02134433975443244,8.289710746792187,0.3106231026351452,-8.508829235770648,700.0,0.6003824091778203,0.0008544921875,0.3730475425720215,0.0,-2.2064725018106106,0.0,-18.51697302860558,0.0,0.0025506357604172082,362161.0,2637.0,-16.49795209998269,0.8357982555934774,-2.3141171123299005,-2.386023730347595,0.04
0.22339132837951184,-2.5504576402337067,0.31543723274691304,0.0,2.105193135964498,3.203427415451497,7,200.0,-0.9992742523550987,-0.007389122049789876,8788.0,-0.020984010817483068,-1.7392660925890775,-0.005003149132244289,-8.450129375663904,-8.252477691348734,-1.2619669843712473,0.00244140625,0.36317744478583336,-0.9926107347011566,0.00017034081447491188,-0.7070223689079285,0.02218600632622838,8.241220268859601,0.3212453737854958,-8.414655827811515,800.0,0.9717796995903505,0.0028564453125,0.3883423015475273,0.08,-2.068160901712242,0.0,-15.31686265129984,0.0,0.002276300877565518,402791.0,2605.0,-18.981119628298348,0.7439539347408829,-2.2602191431908247,-2.3071485261780516,0.07
0.23438885770738124,-2.6135656427351956,0.3466913842900033,0.0,2.1848940938421335,2.931476000657552,8,225.0,-0.9993047952651978,-0.012619574391283094,10968.0,-0.027965917019173503,-1.7132576979170209,-0.006737047724891454,-8.799475854479144,-8.620737900189397,-1.1900281563575845,0.0019287109375,0.3920282952487469,-0.99389908015728,0.0001633636111364467,-0.7042300370856538,0.02207613275386393,8.6381803026901,0.3396904207766056,-8.753887023411973,900.0,0.9829504011670314,0.0020751953125,0.40156357660889624,0.08,-2.1229603286453873,0.0,-20.21781532688444,0.0,0.0020130786986555906,437559.0,2665.0,-19.869593903713852,0.825140712945591,-2.298497402980513,-2.359335946875899,0.02
0.24927820824086666,-3.0648046198893115,0.1723114436149172,0.0,2.0606423641262346,2.7730802344302306,9,250.0,-0.9993148759007454,-0.01740965894423425,6013.0,-0.029908248409628867,-3.465334019597961,-0.009155605337582529,-8.718567713723603,-8.52629187033828,-1.158402055073384,0.002294921875,0.42070271372795104,-0.9927318453788757,0.00016106629482237622,-0.7081657341943355,0.024873656360432504,8.524010647029542,0.35214644148945806,-8.66230814645588,1000.0,0.9687344087809746,0.0060302734375,0.41151284277439115,0.16,-2.006250986955877,0.0,-20.142508377572558,0.0,0.00225155571824871,480550.0,2626.0,-19.890324699135377,0.7098248286367098,-2.3542281094143727,-2.37439171874093,0.05
0.25894249603152275,-2.4171954559719304,0.27522443378395317,0.0,2.196780357460752,2.810181825109122,10,275.0,-0.9992682963609696,-0.023833826696500183,2004.0,-0.034085717611014844,-1.4441362076530895,-0.011659967550076544,-8.87145103265421,-8.668882379491885,-1.2204992668092018,0.0019775390625,0.4442003838717937,-0.991926272213459,0.00017169660059153103,-0.7088260393691599,0.027039668709039687,8.699362646684762,0.36556006222963333,-8.818120689201553,1100.0,0.7015968063872255,0.0042724609375,0.4210288390517235,0.04,-2.130877092081178,0.0,-17.186190038800277,0.0,0.0024161412729881704,528551.0,2558.0,-19.83719652140669,0.6563721657544958,-2.4028344510931015,-2.412847863419626,0.09
0.26329139098525045,-1.8204365712900197,0.3066746799734566,0.0,1.8530726310295897,2.7077898435731336,11,300.0,-0.9993462204933167,-0.026632788171991707,2463.0,-0.04015567405149341,-3.3001344156590697,-0.013060393976047635,-8.638396801851579,-8.445434889798985,-1.2578712890623138,0.002392578125,0.465824443846941,-0.9938187509775162,0.00015391082924907096,-0.7117214492602215,0.02696824260056019,8.423680425591366,0.37203125581145285,-8.592704345846716,1200.0,0.8656110434429557,0.008740234375,0.4292456038296223,0.24,-1.8032357651030106,0.0,-16.848400793424652,0.0,0.002029492615838535,590167.0,2538.0,-17.977119897716012,0.3806146572104019,-2.037417747040915,-2.094812473699777,0.12
0.27082561105489733,-3.553008175143373,0.4001905197170935,0.0,1.4278316961014201,2.897691256076255,12,325.0,-0.9993602067232132,-0.03116680490784347,1096.0,-0.043972510192543265,-1.6245489013581405,-0.0139460489153862,-8.646399100633818,-8.459126134240531,-1.2815939237858402,0.00224609375,0.4844283998012543,-0.9925335451960564,0.00015071718298713676,-0.7112279574852437,0.0270098190754652,8.439490437728129,0.38320447877049446,-8.624505871385987,1300.0,0.45894160583941607,0.012939453125,0.4383890345692635,0.12,-1.4068038107079572,0.0,-18.635669911102227,0.0,0.0022920687217265366,629844.0,2531.0,-18.991874031990697,0.7965231133939155,-1.623464277321715,-1.6346643273401806,0.17
0.2767358712852001,-2.1949722722638065,0.5754731500002946,0.0,0.0005941734140327234,2.9047755888460562,13,350.0,-0.9992502704262733,-0.03768881475552917,670.0,-0.046337191574275495,-0.00015892614384449848,-0.014297605026513338,-8.579736843006199,-8.388287665748155,-1.3884342140219814,0.0025390625,0.4988639779388905,-0.9893928408622742,0.00017581125066499226,-0.7170811852935003,0.02672644848935306,8.33462226678661,0.3927593544125557,-8.569478526194533,1400.0,0.01791044776119403,0.005908203125,0.44930330738425256,0.04,-0.000635617039539874,0.0,-15.988375087732738,0.0,0.0029337410465814172,701058.0,2602.0,-17.063452185159097,0.292467332820907,-0.717444250251454,-0.0005476640788156401,0.11
0.28095343708992004,-2.0237538821365577,0.26388173413720917,0.0,1.2003205776117192,3.1801954534471606,14,375.0,-0.9991857692599296,-0.04327038386836648,724.0,-0.0400034979917109,-0.8841101575978577,-0.016143531491979956,-8.657428682096121,-8.495558538924811,-1.5932103613835351,0.0025390625,0.5060062631964684,-0.9879832178354263,0.00019053007672482637,-0.7226153457479085,0.025610218476504087,8.318101582407936,0.4011607483029366,-8.655923351414435,1500.0,0.2058011049723757,0.0075927734375,0.46089979261159897,0.16,-1.1785925618322612,0.0,-14.047448892465395,0.0,0.003221738466527313,783821.0,2612.0,-15.288982787256883,0.07618683001531394,-1.5742058833149533,-1.5353939876354865,0.08
0.2808798119425774,-1.5867455778544997,0.3526650691048651,0.0,1.9196425615640351,3.081289589070809,15,400.0,-0.9991962939500809,-0.04904398042708635,685.0,-0.046619227062910794,-1.6678242503909204,-0.016948227398097516,-8.527392916542217,-8.344313847745918,-1.645030029535701,0.0021240234375,0.5136196196079255,-0.9885952264070511,0.00018812720118148717,-0.7297983443320846,0.025894402991980314,8.192072917311515,0.4030882142484188,-8.520749130323306,1600.0,0.052554744525547446,0.0131103515625,0.4729963853955269,0.04,-1.8517533412676983,0.0,-17.69280267153716,0.0,0.003096702869515866,839481.0,2443.0,-15.81983795366209,0.5341792877609497,-2.0842509354204535,-2.0975848527674836,0.2
0.2829009972512722,-2.833048500368116,0.36845217117314066,0.0,2.1192080186373006,2.859208977800743,16,425.0,-0.9992392808198929,-0.05332513200119138,4005.0,-0.05128071708604694,-3.118178388585802,-0.017704982357099653,-8.439819479612186,-8.26676842674807,-1.5802811231158558,0.0020263671875,0.5229026436805725,-0.9896638125181199,0.00017831657805800205,-0.7340190560113115,0.02542523224838078,8.069391680681498,0.4111624576151371,-8.427455359958259,1700.0,0.9328339575530586,0.0126708984375,0.486511704325676,0.2,-2.0679402510015032,0.0,-16.01961171230217,0.0,0.002878380287438631,887211.0,2554.0,-17.028930774251275,0.7012529365700861,-2.2699652134415924,-2.3170796811995453,0.07
0.2844084076583385,-3.968574659787353,0.36670414228595866,0.0,2.3176161041702144,3.123325048411113,17,450.0,-0.9992689698934555,-0.058325210213661195,3566.0,-0.05696896342560649,-3.1834058236129317,-0.017877996107563375,-8.528607469461155,-8.380429463563123,-1.5412635757384123,0.0027587890625,0.5378282055258751,-0.9903884649276733,0.00017153975568362512,-0.7445197423126956,0.024521286133676767,8.246102719515875,0.422983917593956,-8.52270367848732,1800.0,0.9049355019629838,0.0142578125,0.4997349664568901,0.16,-2.2483282941075218,0.0,-15.38647973837062,0.0,0.0027303243172354997,933500.0,2390.0,-17.493080243994548,0.7196652719665272,-2.4876609124378524,-2.5536599752170726,0.18
0.28406022787094115,-4.352617135065359,0.37711252796885886,0.0,2.3052577615544876,3.0598504064765186,18,475.0,-0.9992400839924812,-0.062264620512723926,5947.0,-0.06142766159027815,-2.063409439499309,-0.019353166129440068,-8.5373136091834,-8.418934863090445,-1.478754931325966,0.0026123046875,0.5545307561755181,-0.9907374009490013,0.00017813439590099733,-0.7534042206250888,0.023934749886393547,8.226928690146812,0.4377958387136459,-8.546292036430719,1900.0,0.9598116697494535,0.0111572265625,0.5086202770471573,0.16,-2.238759053992473,0.0,-16.051793348174364,0.0,0.0026590365858282896,976636.0,2411.0,-16.748098962481272,0.758606387391124,-2.4870727338671452,-2.5265950530626484,0.15
0.2855875097215176,-4.390563746609297,0.30159733535193717,0.0,2.4067838298990853,2.8739789042190482,19,500.0,-0.9993115589022636,-0.06611547730863095,4691.0,-0.06350441668182612,-4.006457129561327,-0.020128985960036518,-8.657856291857964,-8.50675620371842,-1.3282294526208716,0.0026611328125,0.5709668561816216,-0.992298749089241,0.00016182361432584002,-0.7546362428729481,0.02336543849669397,8.345373754402507,0.44833921268582344,-8.649917274095804,2000.0,0.9492645491366446,0.0196044921875,0.5188736543059349,0.28,-2.3065776083978022,0.0,-13.670456160814679,0.0,0.0023400409671012314,1020399.0,2467.0,-18.037976033809098,0.7430077016619375,-2.6111463133257122,-2.6571693175339615,0.16
0.28653177469968794,-4.589935749363399,0.3364682415295939,0.0,2.852538904670376,3.3831888592777957,20,525.0,-0.9993356913328171,-0.07025275658816099,3127.0,-0.07028218619525432,-4.493065087940193,-0.02032071785070002,-8.604655605422858,-8.467151385025605,-1.2350520955391402,0.0031494140625,0.5851877495646477,-0.9927360251545906,0.00015631146434316178,-0.762949100019614,0.022886663628742098,8.349954704144565,0.4603600732982159,-8.598671350304752,2100.0,0.9449952030700352,0.024365234375,0.5301872566342354,0.32,-2.7457932908349783,0.0,-17.130234860467134,0.0,0.0022507010027766226,1063725.0,2402.0,-17.938560744254954,0.7447960033305578,-3.0290690179448303,-3.113407789745694,0.18
0.2902831226587296,-3.1188930085226203,0.6448106744998441,0.0,0.003130504374151444,3.0921328190745108,21,550.0,-0.9992809504270553,-0.07181159351021052,675.0,-0.06895991303026676,-0.003356519732128478,-0.02012143824249506,-8.59049741243394,-8.450730849225012,-1.264465405111696,0.002978515625,0.5955418795347214,-0.9926759272813797,0.00016880779876373708,-0.7717229930094618,0.022786274179816247,8.322945303001342,0.4666925221681595,-8.58248123240713,2200.0,0.0,0.03125,0.5415619805455207,0.0,-0.0027440610793307944,0.0,-15.082952798280822,0.0,0.0022629806306213142,1127670.0,2298.0,-17.64148687520244,0.3951261966927763,-0.7741737778536713,-0.01113239283534525,0.29
0.2906111001968384,-0.25978735768813144,0.6441463418195147,0.0,0.002446418026942818,3.5503130404005923,22,575.0,-0.9992956176400185,-0.07517274357378483,690.0,-0.06882484965026378,-0.0013377550657085156,-0.019990470027551055,-8.615622011257702,-8.526496996207221,-1.3951933240896324,0.003173828125,0.6054556399583817,-0.9917050018906594,0.00016545744656468742,-0.7729266219321289,0.02231631730683148,8.312104243263652,0.46952851489186287,-8.612784295222568,2300.0,0.021739130434782608,0.0344970703125,0.5544142037630081,0.0,-0.00250137461710762,0.0,-15.01779019791272,0.0,0.002461346803465858,1211677.0,2543.0,-15.48809460361747,0.0526936688950059,-0.7752482403000117,-0.023254893714853647,0.1
0.2909944951534271,-0.6465635969806096,0.6553937218728516,0.0,1.536792659671549e-06,12.747817435608845,23,600.0,-0.9993864461779595,-0.07597141098231078,684.0,-0.06827588155865669,-3.9974123894542455e-07,-0.022404772555455567,-9.09341926881468,-10.335006020062341,-1.539007399768161,0.002978515625,0.6123855099081993,-0.9903194844722748,0.0001447315102268476,-0.7702864809740276,0.022372951870784162,10.0213925178725,0.47442713379859924,-9.059606667724834,2400.0,0.013157894736842105,0.0443359375,0.5688425958156585,0.0,-1.3465876907299332e-06,0.0,-12.528656548548353,0.0,0.002744420024100691,1297745.0,2626.0,-14.715147223655348,0.05635948210205636,-0.7702876986559828,-5.86098011911684e-06,0.07
0.2911425828933716,-1.6769327601547174e-06,0.6445160532665184,0.0,2.0873934007307043e-07,18.394393378777615,24,625.0,-0.9995429441332817,-0.080194085650146,675.0,-0.0682740831747651,-3.247808382031287e-08,-0.0240432717371732,-9.542265141505405,-12.934794269237978,-1.7141003057309718,0.0022705078125,0.6198352634906769,-0.9875756099820137,0.00010901074056164361,-0.7630283109516313,0.022735743131488562,12.22627245881992,0.4744168221950531,-9.55045477331694,2500.0,0.0,0.05400390625,0.5824962690472603,0.0,-1.846697810138771e-07,0.0,-13.76619524828185,0.0,0.003305016574449837,1388483.0,2700.0,-13.68794169952972,0.006296296296296296,-0.763028472480453,-1.5163417770345715e-06,0.0
0.29199478030204773,-0.18486948008639104,0.6263743022490627,0.0,3.2438469310387924e-16,14.912052743987232,25,650.0,-0.999637308716774,-0.08205956649035215,687.0,-0.06846975535154343,-1.4056626514748636e-17,-0.024636396439746022,-10.300145967896118,-15.904379043691558,-1.859809850246529,0.0024658203125,0.6242982894182205,-0.9879058241844177,8.747435449549812e-05,-0.7509294961404521,0.0232088565826416,14.957764475790265,0.4748847186565399,-10.23881923462223,2600.0,0.017467248908296942,0.0416015625,0.5955508694052696,0.0,-2.7430505882113757e-16,0.0,-13.562303172157655,0.0,0.0032375491457059978,1479421.0,2700.0,-13.296821868226703,0.0033333333333333335,-0.7509294961404522,-2.415456357401872e-16,0.0
0.29199478030204773,-1.6598349231258955e-13,0.6016238797190507,0.0,3.05031363388804e-15,14.54004959198222,26,675.0,-0.9997615113854408,-0.08015637341886758,682.0,-0.06846975535154343,-7.61792083914833e-13,-0.025587728898972272,-11.772681848308775,-19.349050028804918,-1.9584990348928841,0.0017333984375,0.6281515970826149,-0.9896299123764039,5.912883152632275e-05,-0.7344266531632456,0.0232088565826416,18.41233907333125,0.4748847186565399,-11.651677734462115,2700.0,0.010263929618768328,0.082080078125,0.6081010669469833,0.0,-3.034560361974009e-15,0.0,-14.663187266852345,0.0,0.00288530639372766,1568399.0,2700.0,-13.312635283498656,0.03259259259259259,-0.7344266531632486,-4.3788297158094575e-15,0.0
0.29199478030204773,-1.0996355062243291e-12,0.5844553401474271,0.0,4.316655111486435e-14,12.929569899120589,27,700.0,-0.9998803794384002,-0.08079751897603274,680.0,-0.06846975535154343,-9.070708136305558e-16,-0.026109857484698296,-11.8961582414879,-20.949478015792078,-1.9821462317515397,0.0014404296875,0.6332711175084114,-0.9925151169300079,3.199970637979277e-05,-0.7229748562240275,0.0232088565826416,20.62858760166257,0.4748847186565399,-11.75206876070613,2800.0,0.007352941176470588,0.130029296875,0.6193004488945008,0.0,-4.658145721359936e-14,0.0,-13.657982172161129,0.0,0.0022958343557547777,1657674.0,2700.0,-13.928656813345459,0.02851851851851852,-0.7229748562240731,-1.7496161837224293e-13,0.0
0.29199478030204773,-2.1292966753188975e-13,0.581405407298392,0.0,3.20824287234627e-14,11.806815936007885,28,725.0,-0.999937079846859,-0.0813551688566804,677.0,-0.06846975535154343,-5.831038134923717e-16,-0.0265879028942436,-11.998132701552155,-21.610722150861385,-1.9518891899679147,0.0016357421875,0.6374336361885071,-0.9951602160930634,1.9060842032558866e-05,-0.7209402140331804,0.0232088565826416,21.502321992538615,0.4748847186565399,-11.815965568967389,2900.0,0.0029542097488921715,0.24267578125,0.6308442339301109,0.0,-3.3031148702974136e-14,0.0,-14.252741737951949,0.0,0.0017554191639646889,1746881.0,2700.0,-13.830306636776138,0.02962962962962963,-0.7209402140332127,-4.983843938002506e-14,0.0
0.29199478030204773,-3.7293088585098327e-14,0.5685668443698589,0.0,4.539389157049579e-14,10.331526643473975,29,750.0,-0.9999311074614525,-0.08400935735553502,810.0,-0.06846975535154343,-4.624066847809361e-16,-0.0280416845344007,-11.879027993650926,-21.72468813244629,-1.9495336070358462,0.001611328125,0.6421137109398842,-0.9978709250688553,2.0421321073627043e-05,-0.7123801047397137,0.0232088565826416,21.623421140320012,0.4748847186565399,-11.730393411113207,3000.0,0.1728395061728395,0.1775146484375,0.6415736839175225,0.0,-4.6238556651408527e-14,0.0,-11.748226224844732,0.0,0.0012015992018859834,1835913.0,2700.0,-14.087675895325935,0.03222222222222222,-0.712380104739759,-1.1170333411249612e-13,0.0
0.29199478030204773,-1.81106870228489e-15,0.5669760191914381,0.0,5.961843271617615e-14,8.784220876051501,30,775.0,-0.9999374642968177,-0.08391103316098451,681.0,-0.06846975535154343,-3.4403915093931297e-16,-0.028328303946182132,-11.847796101857407,-21.566137742178267,-1.9334248075152574,0.001611328125,0.6478940308094024,-0.9990273550152778,1.8969427287629514e-05,-0.7113212735588604,0.0232088565826416,21.50818382560926,0.4748847186565399,-11.658392801981002,3100.0,0.00881057268722467,0.2347412109375,0.6545113697648048,0.0,-6.273307211316803e-14,0.0,-14.032986511500436,0.0,0.0009653322049416602,1922378.0,2700.0,-13.673875353091555,0.07,-0.7113212735589218,-1.4122726282858667e-13,0.0
0.29199478030204773,-1.0256067475987256e-12,0.5647772928980878,0.0,6.006300817259084e-14,9.436513323399083,31,800.0,-0.9999356970191002,-0.08665814120322465,689.0,-0.06846975535154343,-1.3161725229725628e-12,-0.030459227226674556,-11.629424161153874,-21.43389279859104,-1.9538190139297513,0.001318359375,0.6517631694674492,-0.9992151856422424,1.9374374869585153e-05,-0.7098555427626707,0.0232088565826416,21.40898777591522,0.4748847186565399,-11.40025787605655,3200.0,0.020319303338171262,0.25859375,0.669619171321392,0.0,-5.952894051736047e-14,0.0,-14.712361425198084,0.0,0.0009269575515645556,2012666.0,2700.0,-14.100996504144812,0.012962962962962963,-0.7098555427627289,-1.231738763794774e-13,0.0
0.29199478030204773,-1.9572657900513996e-12,0.565951947229693,0.0,1.369354488737601e-13,9.410829166641298,32,825.0,-0.9999394074082375,-0.08885918166488409,693.0,-0.06846991926431656,-7.858549532869966e-13,-0.032302412670105696,-11.644134396741501,-21.507403991568843,-1.948011761448288,0.001416015625,0.6544650122523308,-0.9996123909950256,1.8526633516557923e-05,-0.7106386499981454,0.02320891749113798,21.45717458042435,0.47488465905189514,-11.436090067219613,3300.0,0.027417027417027416,0.2579345703125,0.6871622234582901,0.0,-2.0918754074778663e-13,0.0,-13.740328900873175,0.0,0.0008458041105768643,2102662.0,2700.0,-14.223884159745715,0.017777777777777778,-0.7106386499983504,-2.327219862784273e-13,0.0
