test_1/n_subgoals,policy/steps,train_0/fw_bonus,epoch,train_1/current_q,train_0/q_loss,train_1/reward_-1.0_frac,train_0/next_q,train_0/avg_q,train_0/mu_grads,train_1/q_grads,train_0/current_q,test/success_rate,train_1/mu_grads_std,train_0/mu_grads_std,train_1/next_q,train_1/mu_grads,train_0/target_q,train_1/fw_loss,train_1/fw_bonus,train_1/target_q,train_1/subgoal_succ_rate,test_1/subgoal_succ_rate,train_0/reward_-1.0_frac,train_1/reward_-27.0_frac,test_0/avg_q,train_1/mu_loss,train_1/reward,train_0/mu_loss,train_1/avg_q,train/success_rate,train_1/q_loss,train_0/q_grads,train_0/reward_-0.0_frac,train_1/q_grads_std,train_1/reward_-0.0_frac,train_0/reward,train_0/q_grads_std,train/episodes,train_1/n_subgoals,test_1/avg_q,test/episodes,train_0/fw_loss
6137.0,91063.0,-0.9951434105634689,0,-5.31589845936692,0.6098569712029485,0.0060302734375,-9.179946498617614,-12.297677104043936,-0.01014575376175344,0.021550290239974856,-9.229281278853438,0.0,0.11817348767071963,0.1549884218722582,-3.4327823529679735,0.0013489010598277673,-9.372378224105685,0.08440011274069548,-0.9912352830171585,-5.291323999904945,0.0022222222222222222,0.9242300798435718,0.0025390625,0.0,-2.8898317898201045,3.4680426210611714,-2.6645446602396987,9.190763282425923,-9.719298822544149,0.0,1.3520930351398968,0.018720265291631222,0.0,0.11748228576034307,0.0,-0.6283451798644819,0.11481472067534923,100.0,2700.0,-5.092080467106321,25.0,0.0344445105176419
2284.0,181521.0,-0.9971611350774765,1,-6.308238552975461,0.5178703299977686,0.0019287109375,-9.089117135715355,-24.8304888265725,-0.017809404572471977,0.019012814620509744,-9.153648637967667,0.0,0.1341935694217682,0.20580598562955857,-4.714459896278188,-0.000326513008621987,-9.309028899975411,0.10075795147567987,-0.9890916019678115,-6.278481345511048,0.012222222222222223,0.7324868651488616,0.0095458984375,0.0,-4.233162530459949,4.738314365224746,-2.691492869827198,9.084447128345639,-18.10572502052502,0.0,0.8165473986641263,0.016508680861443283,0.0,0.12910457141697407,0.0,-0.6291975119962444,0.12438043765723705,200.0,2700.0,-9.559677267607027,50.0,0.020533978566527368
4538.0,271933.0,-0.9975417330861092,2,-6.832491494228085,0.6662502316304773,0.00048828125,-9.221218353474413,-25.20625242269886,-0.022465462004765867,0.015373942931182683,-9.293482024391519,0.0,0.13825843371450902,0.2510934993624687,-5.402162832229164,-0.0019737929105758667,-9.406695176829121,0.12394482176750898,-0.9860529690980911,-6.8088470465938995,0.014444444444444444,0.884310268840899,0.01494140625,0.0,-4.502315399743174,5.417213989702975,-2.650010553635366,9.233082921598577,-18.932302883551746,0.0,0.7363433276190111,0.013348981062881649,0.0,0.13964783400297165,0.0,-0.6461200533132796,0.1330224506556988,300.0,2700.0,-11.633734778460886,75.0,0.01791009595617652
3900.0,360760.0,-0.997412234544754,3,-6.287480261128841,0.6620598145919963,0.000244140625,-8.144691310031503,-24.647975809467077,-0.02634142842143774,0.011779989395290614,-8.277710720543135,0.04,0.1422008778899908,0.2901573941111565,-4.611211932218279,-0.003720535174943507,-8.427305888931754,0.15713665783405303,-0.9817031770944595,-6.265695943520972,0.020965930363159864,0.8733333333333333,0.0187255859375,0.0,-7.892195599833942,4.62633556821657,-2.7081943477667663,8.117917614190569,-18.169855701249936,0.02,1.174571688496423,0.009136963216587902,0.0,0.15716008208692073,0.0,-0.6742309891607874,0.14494547471404076,400.0,2671.0,-10.962186606142756,100.0,0.018802879378199577
2709.0,449316.0,-0.9973412424325943,4,-5.659081756297417,0.9721848020596443,4.8828125e-05,-9.260982070652528,-23.058309025977653,-0.030936249950900673,0.007570214394945651,-9.423361723687133,0.0,0.14949978329241276,0.3202270992100239,-3.721802424088382,-0.006085848261136562,-9.501098144552703,0.17890550568699837,-0.9788503676652909,-5.618182929214733,0.028690071725179313,0.7818383167220376,0.0308349609375,0.0,-7.226577455622211,3.734029194087627,-2.7081220160580415,9.28311442877727,-16.25900741619395,0.05,1.8328899311548146,0.008250346151180565,0.0,0.17423087321221828,0.0,-0.7072088438930223,0.1660912401974201,500.0,2649.0,-6.409759058624278,125.0,0.019292385876178743
1077.0,537650.0,-0.9972217857837677,5,-5.84076255621999,1.1555241950766315,0.0,-9.442746526764413,-23.721821963729028,-0.03592567220330238,0.0035104928188957273,-9.621538337980123,0.08,0.16164168789982797,0.34483600705862044,-3.9408732001512234,-0.008044035290367901,-9.714766102321764,0.1987998392432928,-0.9762432217597962,-5.801419537555726,0.02623688155922039,0.41875580315691735,0.025048828125,0.0,-8.745236772918004,3.9588813332019512,-2.683483413146314,9.459570203954565,-15.815336919876415,0.04,2.2208165447873207,0.007288553239777684,0.0,0.18878621459007264,0.0,-0.7371899672911241,0.17818230018019676,600.0,2668.0,-3.591461445514401,150.0,0.020115903858095408
1212.0,622038.0,-0.9968808606266976,6,-5.576190828533468,1.3549790061788396,0.0,-9.698840530307626,-23.01221252210417,-0.04157842192798853,0.0003496972614811966,-9.92748828451478,0.28,0.1697475254535675,0.36739256605505943,-3.5730281617122204,-0.010456568421795964,-10.009464352846157,0.21683975718915463,-0.9738790974020958,-5.553538317411551,0.036218070911170415,0.5668316831683168,0.0173828125,0.0,-6.70377008797739,3.598967122726278,-2.678680956079188,9.737288755228501,-15.99830266366708,0.08,2.742361037135789,0.007396571442950517,0.0,0.2014867603778839,0.0,-0.7786330550388811,0.1886281494051218,700.0,2623.0,-7.730870305873946,175.0,0.02246633330360055
1542.0,701198.0,-0.996611824631691,7,-5.534284010119679,1.2022721908021772,0.0,-9.649305287681258,-22.61587245287911,-0.046004431787878275,-0.0010232529413769953,-9.93669939490852,0.6,0.17965820245444775,0.38217876106500626,-3.475840205196062,-0.012762163300067186,-10.00716165303794,0.23316247761249542,-0.971740011870861,-5.504893252269608,0.049677664012135005,0.8093385214007782,0.0225830078125,0.0,-8.161935500440302,3.5142902547894144,-2.6850309495919644,9.696700121305877,-15.4970897401397,0.08,3.246033977919109,0.005035408667754382,0.0,0.21246423125267028,0.0,-0.8077528101479402,0.19855488501489163,800.0,2637.0,-1.8638907677145764,200.0,0.024321040650829674
1027.0,777053.0,-0.9963946744799614,8,-5.333935638971341,1.1550884922164317,2.44140625e-05,-9.495126820804355,-22.0781418639095,-0.05003179842606187,-0.0035770392743870614,-9.809067430073446,0.72,0.18843295201659202,0.39675990045070647,-3.2813633954345844,-0.014284289116039873,-9.878462819852993,0.24207072667777538,-0.9705725893378258,-5.29843136772728,0.07027027027027027,0.7643622200584226,0.0186767578125,0.0,-8.65553442494095,3.3128308376936473,-2.591922930493456,9.559560698701329,-14.708660127941458,0.11,3.6593238265542767,0.0035747296293266117,0.0,0.22274182587862015,0.0,-0.8205342144188762,0.20869951657950878,900.0,2590.0,-7.234813325645478,225.0,0.025818151934072376
755.0,847242.0,-0.9961855009198188,9,-5.067137380065748,1.240654965885478,0.0,-9.426695850362126,-21.115878463807903,-0.05306680593639612,-0.005821923341136426,-9.742031211328479,0.68,0.19554688669741155,0.41050623580813406,-2.9219740048031007,-0.016285832971334457,-9.818042891971263,0.24926097504794598,-0.9696302980184555,-5.028426693893754,0.0960735171261487,0.6410596026490066,0.015087890625,0.0,-8.56356275493618,2.957900091535772,-2.6191531818440126,9.513713607833662,-14.924997178314772,0.32,3.3653332781435368,0.003393311914987862,0.0,0.2346048943698406,0.0,-0.8206467189142131,0.2187659002840519,1000.0,2394.0,-1.9698532621490041,250.0,0.027260149596258998
294.0,911977.0,-0.9959948182106018,10,-4.74009602682937,1.0839632660628102,0.0,-9.354667236565245,-20.761359657024,-0.05514187905937433,-0.007756918692030013,-9.69711905266534,0.76,0.20103998705744744,0.4233394719660282,-2.6197584157118934,-0.017895355867221952,-9.76238658520785,0.2553222082555294,-0.9688359811902046,-4.717567610855239,0.13009198423127463,0.25510204081632654,0.0130859375,0.0,-12.590205556248081,2.64922259949582,-2.5183747661496456,9.438534825910676,-13.777916115909877,0.35,3.9244477525203463,0.0032221471425145864,0.0,0.2462532188743353,0.0,-0.8229794190880056,0.22827278189361094,1100.0,2283.0,-2.7677727758570723,275.0,0.028574750991538167
312.0,971830.0,-0.9959006637334824,11,-4.76845149082228,1.0690376258502305,0.0,-9.215676902941109,-20.177272780831178,-0.057951224781572816,-0.010666471836157144,-9.586368043834245,0.76,0.20734724029898643,0.4360727332532406,-2.5973646895957097,-0.019281926285475492,-9.646988855140227,0.25552726425230504,-0.9688091099262237,-4.71824671485097,0.12213740458015267,0.34294871794871795,0.0161376953125,0.0,-8.508291252292354,2.636329745001286,-2.5304530082339625,9.31219280823924,-12.936018514776752,0.51,3.8289731623390084,0.0022907352773472666,0.0,0.2579068996012211,0.0,-0.8306829294368072,0.23800031654536724,1200.0,2096.0,-2.379571957665572,300.0,0.02922391747124493
319.0,1023514.0,-0.9958137050271034,12,-4.527030203726672,0.9889993882090679,0.0,-9.259695190935188,-19.514530006147805,-0.06025913199409842,-0.012785854772664607,-9.628733797945966,0.84,0.21368979029357432,0.44636116698384287,-2.362730284444649,-0.021295574912801384,-9.695899628463838,0.251150643825531,-0.9693826556205749,-4.468729720798095,0.14540540540540542,0.5047021943573667,0.0124755859375,0.0,-7.532235168763118,2.415226883061058,-2.4699701763980557,9.357985056175869,-12.935164657028889,0.67,3.869531181378039,0.002851770998677239,0.0,0.2692406065762043,0.0,-0.8341768145382957,0.2466495044529438,1300.0,1850.0,-2.002499255037096,325.0,0.02982343346811831
198.0,1071418.0,-0.9956780731678009,13,-4.345333808375985,1.088014344895374,0.0,-9.335021306452205,-19.00485835708566,-0.06165239699184895,-0.014756955462507904,-9.706704585825785,0.92,0.21929280869662762,0.4563841328024864,-2.1904207112841334,-0.022459124540910126,-9.77719148669404,0.25960214287042616,-0.9682750970125198,-4.303080681166394,0.15042735042735042,0.43434343434343436,0.012939453125,0.0,-10.477462944875601,2.2380804669563146,-2.4391879134203918,9.452926257560978,-12.163164858206349,0.66,3.7082574542103437,0.002821912302169949,0.0,0.28026043996214867,0.0,-0.8410276731134217,0.25555970817804335,1400.0,1755.0,-2.9046345877074193,350.0,0.030758470203727482
2528.0,1120784.0,-0.9954925239086151,14,-4.165491478980465,1.0135255422434177,0.0,-9.551207490480609,-19.482628688129225,-0.06399112362414598,-0.01751292929984629,-9.939530772767986,0.8,0.22399497851729394,0.46625459343194964,-2.048010837945105,-0.023473250772804023,-9.998669305028077,0.25908666625618937,-0.9683426409959793,-4.116985764078832,0.13631221719457012,0.9727056962025317,0.0072998046875,0.0,-7.038357080369106,2.091104883417444,-2.358144010588876,9.683464295846974,-12.08875077404537,0.71,3.877876717679102,0.0021752807631855832,0.0,0.29122633412480353,0.0,-0.8488914410165307,0.2627036176621914,1500.0,1768.0,-1.0626074380137478,375.0,0.03203770485706627
838.0,1171173.0,-0.9953719973564148,15,-3.9387474382516054,1.0351825279375082,0.0,-9.561335549742427,-19.52022799745481,-0.06549192927777767,-0.019578874018043278,-9.981399128589377,0.8,0.22992248497903348,0.47498711571097374,-1.7869566655895561,-0.024910559644922614,-10.039391687379691,0.27749537527561186,-0.9659301832318306,-3.905913898221557,0.15593784683684794,0.8281622911694511,0.005615234375,0.0,-10.638162311950115,1.8340814017148268,-2.376821902517986,9.700381036068137,-12.131946685465799,0.72,4.0641863876426,0.0011738595028873533,0.0,0.30169247314333913,0.0,-0.8619350420562114,0.2694100372493267,1600.0,1802.0,-1.5070789954290942,400.0,0.03286857609637082
220.0,1214427.0,-0.9954073980450631,16,-3.738437850789699,1.0723521000576037,0.0,-9.670332337180072,-19.047460145539514,-0.06799729820340872,-0.02331654876470566,-10.076601222081726,0.84,0.23634163439273834,0.48269455060362815,-1.5848180100686422,-0.026229468081146477,-10.13344302901688,0.27287444695830343,-0.9665357545018196,-3.700419646325095,0.1519639407598197,0.38181818181818183,0.00478515625,0.0,-9.50887202680287,1.617888161614792,-2.3409930696056107,9.794697742581798,-12.03977765669253,0.77,3.8850777924287825,-0.0001599789673491614,0.0,0.3139200329780579,0.0,-0.8658623492319748,0.27492189183831217,1700.0,1553.0,-1.7194533171656814,425.0,0.032624520687386395
182.0,1260087.0,-0.9953898966312409,17,-3.5902739317815096,0.9894708500789605,0.0,-9.501159291917483,-19.007159427610677,-0.07048830147832633,-0.02667160644195974,-9.932579100357088,0.92,0.24305022470653057,0.48975093588232993,-1.428183274308561,-0.02821421273984015,-9.99871038124515,0.27186796739697455,-0.9666676461696625,-3.5658681088482047,0.1705014749262537,0.36813186813186816,0.004541015625,0.0,-9.739535822559265,1.4648144009175035,-2.339176680674427,9.665957495027884,-11.811493057121359,0.74,3.5456148749529506,-0.0006865576287964359,0.0,0.3259223081171513,0.0,-0.8704539191712684,0.28078492879867556,1800.0,1695.0,-1.6781584531868878,450.0,0.03274523010477424
141.0,1305074.0,-0.9953382432460784,18,-3.4704920445714316,0.9380727478391184,0.0,-9.607697277208306,-19.4662136845105,-0.07180273681879043,-0.0290981309954077,-10.043566257016582,0.96,0.2500052943825722,0.49633816480636594,-1.3017469191944575,-0.030684879701584577,-10.10840910851822,0.2817382074892521,-0.9653741553425789,-3.4514487334786255,0.1303827751196172,0.48226950354609927,0.0048828125,0.0,-12.0886149723342,1.3135903828444444,-2.3452436869887605,9.757412848707409,-12.362794293292225,0.74,3.427593698739505,-0.0019398522097617387,0.0,0.3380584746599197,0.0,-0.8729312400781055,0.28598819971084594,1900.0,1672.0,-1.586012368407244,475.0,0.03310134126804769
158.0,1348607.0,-0.9953023701906204,19,-3.361896668640843,0.9052614194737609,0.0,-9.572382596262207,-19.47068643709587,-0.07273779585957527,-0.032011127565056086,-10.00986850534284,0.92,0.2566127337515354,0.5028244525194168,-1.2111053584564626,-0.031604702956974505,-10.074127272725836,0.2812978200614452,-0.96543188393116,-3.346313945962875,0.14745972738537794,0.310126582278481,0.0032958984375,0.0,-11.442351074709125,1.1977352483898742,-2.325317930169331,9.727223637134736,-11.904723252331962,0.8,3.2224227867107245,-0.0036305657995399088,0.0,0.349968446791172,0.0,-0.8744237363222055,0.2911604464054108,2000.0,1614.0,-3.067512561172046,500.0,0.03334866631776094
185.0,1389398.0,-0.995300655066967,20,-3.3364093317323986,0.9317060568517714,0.0,-9.48438941075393,-18.535284549165254,-0.07517120670527219,-0.03443005681037903,-9.925626867736355,0.92,0.26253301873803137,0.5096023172140122,-1.2071915693135087,-0.03221940193325281,-9.998151135025214,0.276340115070343,-0.9660815820097923,-3.3296296614581875,0.15580926796507724,0.41081081081081083,0.0026611328125,0.0,-8.548465493144068,1.2040224085955284,-2.3089642433340485,9.65315906812592,-11.458313877437158,0.82,3.3190935346246726,-0.005022880982141942,0.0,0.36151200234889985,0.0,-0.8765839512798266,0.29578370302915574,2100.0,1489.0,-1.5028874360718587,525.0,0.03336051246151328
131.0,1435351.0,-0.995272408425808,21,-3.2463771975381177,0.8963218350138268,0.0,-9.462525778660908,-19.81629195962117,-0.07557051852345467,-0.03650171076878905,-9.903208661878262,0.96,0.26815572902560236,0.5158594593405723,-1.125431783419756,-0.0334452573210001,-9.987442412502812,0.2928451284766197,-0.9639186039566994,-3.2484059444978124,0.12296037296037296,0.3511450381679389,0.003076171875,0.0,-12.105421036278074,1.1011362355925,-2.299945714891874,9.637342634197369,-12.36202538875806,0.73,3.1754965395071992,-0.006386356567963958,0.0,0.3704990081489086,0.0,-0.8728232286339335,0.30083879008889197,2200.0,1716.0,-1.297293981965955,550.0,0.03355521759949624
127.0,1477724.0,-0.995279823243618,22,-3.221573882198766,0.9230678476919596,0.0,-9.972240519085373,-19.52234567086581,-0.07686750460416078,-0.038906009215861556,-10.410885407976675,0.96,0.2731457225978374,0.5214499592781067,-1.099489634042261,-0.03489590622484684,-10.471917869606283,0.3007186256349087,-0.962886793911457,-3.2323267226773793,0.12563131313131312,0.4251968503937008,0.0029296875,0.0,-7.749180118616868,1.0763851064984618,-2.3126882484310043,10.136341183933926,-12.080678226419602,0.76,3.4031773512488277,-0.007742326287552714,0.0,0.3797725006937981,0.0,-0.8763223977068264,0.3058307833969593,2300.0,1584.0,-1.0183179138572638,575.0,0.033504072297364476
160.0,1517902.0,-0.9952206924557686,23,-3.1865104224702216,0.9521185106534172,0.0,-9.903462543615474,-19.823808152092134,-0.07690069805830717,-0.04134643841534853,-10.32870513801078,0.96,0.27947214618325233,0.5266056478023529,-1.0662329729251847,-0.03745458973571658,-10.397653068905885,0.2911540687084198,-0.9641402170062066,-3.1946522273461175,0.13473256601218686,0.425,0.0032470703125,0.0,-12.820387835070216,1.029151975197976,-2.3013560978939496,10.068834606575994,-11.970172674388794,0.79,3.3617703736107294,-0.009075257368385792,0.0,0.3887217968702316,0.0,-0.8730483365543478,0.3107461430132389,2400.0,1477.0,-1.6213391062095226,600.0,0.03391175945289433
166.0,1562405.0,-0.995211911201477,24,-3.1013772267931143,0.9080888877129061,0.0,-9.790730656500916,-19.882075499839825,-0.07791526280343533,-0.0436552282422781,-10.226726421807015,0.92,0.28469125330448153,0.5315145760774612,-1.0479401244422966,-0.039142456464469434,-10.279070744641896,0.2899904936552048,-0.9642926990985871,-3.120698691870918,0.14659367396593673,0.3493975903614458,0.0027099609375,0.0,-11.146286573236969,1.0214776995485093,-2.243972345934162,9.949738414087202,-11.877363542134512,0.79,3.4100063782580357,-0.009839731501415372,0.0,0.3968322493135929,0.0,-0.8712150843246491,0.3157288581132889,2500.0,1644.0,-2.0779611946111807,625.0,0.033972359634935854
200.0,1609202.0,-0.9953152298927307,25,-3.0941311178332542,0.8839145863993852,0.0,-9.838474095934341,-19.588140640768213,-0.07798820715397596,-0.046111464779824016,-10.272261310596566,0.88,0.2896303549408913,0.5365073204040527,-0.9602632112457549,-0.04019790105521679,-10.344914093038192,0.29794362336397173,-0.9632504478096962,-3.1376599042440034,0.10825358851674641,0.34,0.0035888671875,0.0,-10.42147267307945,0.9532459083424067,-2.339530873750482,9.986187394284991,-12.024073196500677,0.73,3.345197633275255,-0.010620938939973712,0.0,0.404630745947361,0.0,-0.871991647469622,0.31975781321525576,2600.0,1672.0,-1.222083733394042,650.0,0.03326003719121218
131.0,1648827.0,-0.9951920181512832,26,-2.929966641479909,0.9104958425761904,0.0,-9.862299719335573,-19.277677243429505,-0.0781453676521778,-0.0485190711915493,-10.29009316569603,0.96,0.29421885684132576,0.5409426912665367,-0.8592377941677445,-0.04113514050841331,-10.34168617712719,0.2986314117908478,-0.9631603106856346,-2.9830433019659925,0.12865895166780122,0.37404580152671757,0.002099609375,0.0,-7.246055025016424,0.8351914414932015,-2.270733926449611,10.014244954159537,-11.529584578250002,0.84,2.9648197830944927,-0.012213618285022676,0.0,0.4130575552582741,0.0,-0.8676029390888289,0.3243397749960423,2700.0,1469.0,-1.0617511567607423,675.0,0.03410934861749411
156.0,1691679.0,-0.9952003836631775,27,-2.8917433436388427,0.9250525302910871,0.0,-9.979429591312808,-19.412590690935833,-0.07903665024787188,-0.05100328316912055,-10.411373164281736,0.92,0.29873166680336,0.5456194743514061,-0.8171928018309738,-0.04198407176882028,-10.476272431787695,0.2922239013016224,-0.964000004529953,-2.9863232581312715,0.11337579617834395,0.33974358974358976,0.00302734375,0.0,-12.100980509718847,0.7994027579978088,-2.3059902387845796,10.148062979029714,-11.85337610500016,0.78,3.268182853637613,-0.012981535540893674,0.0,0.4217583782970905,0.0,-0.8728052241229307,0.32821568101644516,2800.0,1570.0,-1.116127507679913,700.0,0.03405172294005752
170.0,1734352.0,-0.9952597841620445,28,-2.8596626131518277,0.9428512214331818,0.0,-9.798482340841229,-19.35621390031361,-0.08033461403101683,-0.053369282931089404,-10.228989725875017,0.88,0.30364964380860326,0.5503889814019203,-0.756978680279592,-0.04286534758284688,-10.315265228940481,0.2962283715605736,-0.9634752333164215,-2.948716296254372,0.12419146183699871,0.27058823529411763,0.00263671875,0.0,-13.52998097405297,0.7271619728111289,-2.3161495695039775,9.956709767684227,-11.936551369318154,0.79,2.96319970188861,-0.01291026605758816,0.0,0.4300271198153496,0.0,-0.8728383843361371,0.33236285895109174,2900.0,1546.0,-1.1928263565287456,725.0,0.033642212161794305
