train_0/avg_q,test_0/avg_q,train_1/target_q,train_0/q_grads_std,train_1/current_q,train_1/reward,test_1/n_subgoals,train_1/mu_grads_std,train_1/next_q,train_1/avg_q,train/episodes,train_0/next_q,train_0/mu_grads,test_1/subgoal_succ_rate,train_0/mu_loss,train_1/reward_-27.0_frac,test_1/avg_q,train_0/reward_-1.0_frac,train_1/fw_loss,train_0/mu_grads_std,train_0/q_grads,train_0/reward,epoch,train_0/q_loss,train_0/target_q,train_0/current_q,train_1/q_grads,train_1/q_grads_std,train_1/n_subgoals,test/episodes,test/success_rate,train_1/reward_-0.0_frac,train_0/reward_-0.0_frac,train_1/fw_bonus,train_1/mu_loss,train_1/mu_grads,train_0/fw_loss,train_0/fw_bonus,train/success_rate,policy/steps,train_1/subgoal_succ_rate,train_1/reward_-1.0_frac,train_1/q_loss
-2.2490800431403426,-3.685642189476988,-7.567790865085522,0.14790587238967418,-7.57249816259899,-1.47845242733747,1581.0,0.1323999110609293,-7.619966248588389,-4.730852851826985,100.0,-3.21968420308029,-0.006549196178093552,0.5939278937381404,3.2126503087534446,0.0,-9.77529367788812,4.8828125e-05,0.0013763794850092381,0.1630187064409256,0.015210024104453624,-0.8675429530805558,0,0.8099359657055913,-3.4308635675938404,-3.35083405688351,0.013967933342792093,0.18540380634367465,2700.0,25.0,0.0,0.0,0.0,-0.9981741890311241,7.710649919734513,-0.002384721057023853,0.00022978579836490097,-0.9991799905896187,0.0,84253.0,0.12,0.001904296875,3.715504244904082
-14.437122963576208,-2.355967034041814,-6.225099953393197,0.19035656452178956,-6.232301857591476,-1.4637706205467111,675.0,0.1374832347035408,-6.369125097698314,-8.701941375623651,200.0,-4.829468839615229,-0.003920362616190687,0.0,4.785361577107901,0.0,-7.678152262812859,0.0001220703125,0.0012659162079216913,0.2086580254137516,0.022758836997672914,-0.8650885874885716,1,1.0045178123294325,-5.041001406167337,-4.765829650814661,0.009504661639221012,0.20246944017708302,2700.0,50.0,0.0,0.0,0.0,-0.9985935732722282,6.383725347639611,-0.0013258333085104824,0.0001875842262961669,-0.9993336230516434,0.0,168945.0,0.10333333333333333,0.0017822265625,2.4537703867237775
-11.373020710589936,-18.928792961425575,-5.7465792269788505,0.20614757463335992,-5.7430280251720145,-1.469855268970423,1198.0,0.14681944027543067,-5.9183698485276635,-7.9113490545246234,300.0,-5.24624263979104,-0.0056570933316834274,0.4532554257095159,5.271324941664375,0.0,-11.568082821872691,7.32421875e-05,0.0012575374334119261,0.216995420306921,0.02185619226656854,-0.8626739945539157,2,0.280943818768293,-5.484299399870062,-5.3998409144359245,0.005668153532315046,0.23765551000833512,2700.0,75.0,0.0,0.0,0.0,-0.9986253798007965,5.971967369244541,0.0003036712769244332,0.00016434908429800997,-0.999418193101883,0.0,258076.0,0.03222222222222222,0.0013427734375,1.7775970354114066
-20.67821576644585,-26.99999999979661,-5.425287411578604,0.230851536616683,-5.454008426524366,-1.4672971649211832,675.0,0.15929975993931295,-5.517950174060742,-8.475445716038221,400.0,-12.455475896335304,-0.006391181459184736,0.0,12.519864480135215,0.0,-7.2899803031099255,0.000439453125,0.0012149229092756285,0.2239258587360382,0.02327428525313735,-0.8609780415616115,3,4.602506100681855,-10.904251033253152,-10.770566266187554,0.005443731066770851,0.2725105285644531,2700.0,100.0,0.0,0.0,0.0,-0.998787172138691,5.6277941426028395,0.0003868719119054731,0.0001349839523754781,-0.9995250925421715,0.0,347531.0,0.02666666666666667,0.0015380859375,1.2025708871435585
-26.999747356907356,-27.0,-2.8928431294497052,0.24177101776003837,-2.8515293471057284,-1.4654729719288297,675.0,0.1717354167252779,-2.1463498960869503,-7.221767803375535,500.0,-12.118386980276616,-0.0063914339756593105,0.0,12.23405926747561,0.0,-6.741204296833635,0.0001220703125,0.0012725324952043593,0.22392573952674866,0.024432068411260843,-0.8608938994861092,4,4.015766642784795,-10.9751092654259,-10.789466931227732,-0.003014893422368914,0.29397955983877183,2700.0,125.0,0.0,0.0,0.0,-0.9985684514045715,2.118032072988849,0.0017886374582303688,0.00012556253914226546,-0.9995593741536141,0.0,438656.0,0.0,0.0013671875,0.8139167000855512
-27.0,-27.0,-2.76949685501575,0.24930101670324803,-2.7445069283473833,-1.4652215818859986,675.0,0.17296713925898075,-2.132202698339763,-7.211993019263239,600.0,-11.991526324558887,-0.006391529820393771,0.0,12.088381160596287,0.0,-8.17275274859794,0.0005859375,0.0012686480826232583,0.22392570972442627,0.024669757438823582,-0.8601869544290821,5,3.08043753170123,-11.09590036408807,-10.947971955248066,-0.002857223863247782,0.29674008712172506,2700.0,150.0,0.0,0.0,0.0,-0.9985832199454308,2.066509524468574,0.004084368597250432,0.0001229375793627696,-0.9995689317584038,0.0,529781.0,0.0,0.0011962890625,0.7316487782751175
-26.871992052573052,-27.0,-2.4483329490747856,0.25633206963539124,-2.4509847448288737,-1.5037255773379001,675.0,0.17208097614347934,-1.6311595051386019,-7.056896950061084,700.0,-12.55900713834249,-0.006394851615186781,0.0,12.668525325733706,0.0,-7.438393304730258,0.0004638671875,0.001130400063993875,0.22392495945096016,0.02545848595909774,-0.8650872915575747,6,3.0766057513477985,-11.896209983358299,-11.750237427579936,-0.0049614148796536025,0.303817443549633,2700.0,175.0,0.0,0.0,0.0,-0.999108062684536,1.6183737599825605,-0.0005464777495944872,9.192670440825169e-05,-0.9996818214654922,0.0,620906.0,0.0,0.001171875,0.4946959561508216
-26.82556486432432,-26.99754930227032,-1.9382089239815063,0.26134507432579995,-1.941058033548036,-1.4856401064243983,675.0,0.17636107839643955,-0.7894307752773563,-7.434909690003974,800.0,-12.531161239675086,-0.006415730982553214,0.0,12.650883956301175,0.0,-7.677608133280445,0.0009033203125,0.0010213435787591151,0.22391984537243842,0.025906057702377437,-0.8655127458332572,7,2.5258063603391485,-11.981617695172407,-11.790775183481207,-0.005505421943962574,0.30997535660862924,2700.0,200.0,0.0,0.0,0.0,-0.9995220944285392,0.769253952343049,0.0005380734801292419,7.693351553825778e-05,-0.9997363939881325,0.0,712031.0,0.0,0.0010986328125,0.25520806771498694
-26.996437910919223,-27.0,-1.8414790748990348,0.2754088297486305,-1.8448712365748396,-1.501927332303603,675.0,0.1796799398958683,-0.6499060445542342,-7.455915932142272,900.0,-17.282490990865192,-0.00993290077894926,0.0,17.340792101302657,0.0,-7.424359808480513,0.00419921875,0.0009130960970651358,0.22918112576007843,0.022641569562256336,-0.8637964324909262,8,6.1066960782681425,-11.704276011551224,-11.407728147517156,-0.006658983742818236,0.31502798944711685,2700.0,225.0,0.0,0.0,0.0,-0.9999330714344978,0.6403409332198684,-0.00028706107477773914,7.514671997341794e-05,-0.9997429057955742,0.0,803156.0,0.0,0.00068359375,0.1237690279565847
-26.696500800017976,-26.90571995787286,-4.72433543676779,0.28296399414539336,-4.651394915108317,-1.523075836703356,675.0,0.17935402244329451,-4.90552671248185,-7.290132155192633,1000.0,-15.795400455221676,-0.00993290077894926,0.0,15.913783103465175,0.0,-4.931109796279046,0.004296875,0.000844564642466139,0.22918112576007843,0.022433403041213752,-0.8647987185540842,9,4.520948010648057,-11.8523853767643,-11.543529191308304,-0.009263853868469596,0.33233497217297553,2700.0,250.0,0.0,0.0,0.0,-1.0001932308077812,4.930873744437194,-0.0024887059058528393,7.466708575520897e-05,-0.9997446566820145,0.0,892848.0,0.023703703703703703,0.00068359375,3.4261406522415596
