train_0/target_q,epoch,train_1/mu_loss,train_0/mu_grads_std,train_1/reward_-1.0_frac,train_0/fw_bonus,test_1/avg_q,train_1/target_q,train/episodes,test/success_rate,train_0/q_loss,train_1/reward_-0.0_frac,train_1/n_subgoals,train_1/reward,train_0/current_q,policy/steps,train_1/mu_grads,train_1/avg_q,train_0/mu_grads,train_0/mu_loss,train_0/reward,train_0/reward_-0.0_frac,train_1/subgoal_succ_rate,test_0/avg_q,test/episodes,train_1/reward_-15.0_frac,train_1/mu_grads_std,train/success_rate,train_1/q_grads_std,train_0/next_q,train_1/fw_loss,test_1/n_subgoals,train_1/q_loss,train_0/avg_q,train_0/q_grads,train_1/next_q,train_0/fw_loss,train_0/reward_-1.0_frac,train_1/q_grads,train_1/current_q,train_1/fw_bonus,test_1/subgoal_succ_rate,train_0/q_grads_std
-5.6400769074254615,0,2.1434713692471172,0.17054423540830613,0.0025146484375,-0.9948932930827141,-8.140167319776468,-2.2997761997242834,100.0,0.0,0.20244707568102407,0.0,1500.0,-1.5312159375571355,-5.4074683586162235,28125.0,-0.0009075367022887803,-5.162948046742859,-0.0007036485025309957,5.319307673392157,-0.6970438129610557,0.0,0.0,-14.999999999999998,25.0,0.0,0.2514435715973377,0.0,0.1114209234714508,-5.316604478117093,0.042519119661301376,375.0,0.16885189440491283,-9.918452918979893,0.02827400667592883,-1.1411527454854422,0.02602881332859397,0.011474609375,0.021840674662962557,-2.30866276544715,-0.9954885110259056,0.0,0.10795293357223272
-5.7017634528518695,1,3.509336197905685,0.20971323288977145,0.002734375,-0.9968130558729171,-7.791626729079721,-3.2847492541103924,200.0,0.0,0.21514292924078302,0.0,1500.0,-1.52103875102257,-5.463528977315809,56250.0,-0.013212375389412046,-7.775846613319646,-0.013992789224721492,5.40693241268535,-0.6974543840595289,0.0,0.0,-14.994411113026198,50.0,0.0,0.27272539064288137,0.0,0.1270400106906891,-5.404819196484478,0.05167763167992234,375.0,0.34671997190239684,-14.993429047616372,0.026528106117621065,-2.4966886675790447,0.016703656618483366,0.0133056640625,0.013479434768669307,-3.298172281920157,-0.993615573644638,0.0,0.1197755966335535
-5.661506055104732,2,3.8150735987571722,0.23462543971836566,0.0032470703125,-0.9975409269332886,-8.028596581360027,-3.48165949178278,300.0,0.0,0.21997402698388538,0.0,1500.0,-1.5307405537081649,-5.426185935979855,84375.0,-0.017047977587208153,-7.697671718224493,-0.0176782819442451,5.372558904451556,-0.700308547392342,0.0,0.0,-15.0,75.0,0.0,0.28952764347195625,0.0,0.13552075996994972,-5.3695563947920055,0.050630437396466735,375.0,0.3591426138288956,-14.982166233505092,0.02292471956461668,-2.7988563932856136,0.013168142666108907,0.012744140625,-0.0004885999267571605,-3.4973683228471097,-0.9938297525048256,0.0,0.13377190083265306
-5.714109281435534,3,1.0,0.25135946795344355,0.00341796875,-0.9980290159583092,-5.003185524779155e-10,-1.519089841505047,400.0,0.0,0.21943799023939556,0.0,1500.0,-1.519089841505047,-5.478235580710384,112500.0,-0.01581735722720623,-8.085363010637808,-0.021679577743634583,5.416534037896463,-0.7058382328839798,0.0,0.0,-15.0,100.0,0.0,0.29260489344596863,0.0,0.1613212525844574,-5.4112214123387865,0.05402407292276621,375.0,6.636550833130562,-15.0,0.0216973508708179,-8.62458641592755e-26,0.010797323985025286,0.0114013671875,-0.009829375892877579,-6.922743593448892e-08,-0.993135741353035,0.0,0.1478301677852869
-5.632836842537212,4,1.0,0.264297866076231,0.0025146484375,-0.9982390761375427,-3.941363371590002e-08,-1.5227140048278671,500.0,0.0,0.21628835243137612,0.0,1500.0,-1.5227140048278671,-5.401594155776299,140625.0,-0.01581735722720623,-2.762753518329558e-08,-0.020442737406119703,5.340177695110579,-0.7028671011656116,0.0,0.0,-15.0,125.0,0.0,0.29260489344596863,0.0,0.16132117956876754,-5.335367317063073,0.056902225594967604,375.0,6.683515745557512,-15.0,0.01865834235213697,-2.9342004364645657e-25,0.009776872745715082,0.0127197265625,-0.009829539083875715,-7.407063318669073e-08,-0.9925471484661103,0.0,0.15627568103373052
-5.712630010203393,5,1.0,0.2707085654139519,0.002392578125,-0.998424519598484,-4.0332600484365e-08,-1.5084386167742196,600.0,0.0,0.22344030289345035,0.0,1500.0,-1.5084386167742196,-5.479484277077467,168750.0,-0.01581735722720623,-9.425733943440768e-08,-0.022201573848724364,5.417031699089651,-0.706805030326359,0.0,0.0,-15.0,150.0,0.0,0.29260489344596863,0.0,0.16132039502263068,-5.4110777378194514,0.056954729557037356,375.0,6.544215196340824,-15.0,0.011837824434041976,-1.2902674621184802e-24,0.008876169240102172,0.01064453125,-0.00983102130703628,-1.0511662071570729e-07,-0.9925364062190056,0.0,0.163278328999877
-5.724805758571689,6,1.0,0.2814356401562691,0.0025390625,-0.9985166549682617,-2.7020855211961685e-08,-1.5318314376432682,700.0,0.0,0.22190685798169668,0.0,1500.0,-1.5318314376432682,-5.49045068821823,196875.0,-0.01581735722720623,-7.14567074777206e-08,-0.02199702481739223,5.428052432320472,-0.7092803053332318,0.0,0.0,-15.0,175.0,0.0,0.29260489344596863,0.0,0.16131545044481754,-5.423396261732506,0.05166128892451525,375.0,6.728402761650193,-15.0,0.010984502732753754,-1.577783712943998e-24,0.008428549987729638,0.00908203125,-0.009841154841706157,-1.314549962581636e-07,-0.9936189264059067,0.0,0.17325204983353615
-5.689871817722894,7,1.0,0.29200202971696854,0.0020751953125,-0.9987107366323471,-3.595136326110351e-08,-1.537929613644519,800.0,0.0,0.21503218469721058,0.0,1500.0,-1.537929613644519,-5.455914246428563,225000.0,-0.01581735722720623,-7.858396645144449e-08,-0.02115902677178383,5.3888481621736375,-0.7069725571607706,0.0,0.0,-15.0,200.0,0.0,0.29260489344596863,0.0,0.16128135547041894,-5.385551889139716,0.04562495667487383,375.0,6.8063857470862414,-15.0,0.0079903180943802,-5.593624980322368e-24,0.007485853030811995,0.0083984375,-0.009910895861685276,-3.385231868802638e-07,-0.9948533564805985,0.0,0.18051531948149205
-5.657036611756831,8,16.0,0.3022693946957588,0.0026611328125,-0.998824904859066,-14.999999999995687,-10.979710938735666,900.0,0.0,0.20992330579242938,0.0,1500.0,-1.5194570324856613,-5.423760572184686,253125.0,-0.005974332801997662,-7.83225645927799,-0.02120681283995509,5.356676832617028,-0.7049056156749429,0.0,0.0,-15.0,225.0,0.0,0.3108692765235901,0.0,0.20764229595661163,-5.353745524377944,0.043269979674369095,375.0,7.02183606270106,-15.0,0.0060346178011968735,-15.0,0.00693130730651319,0.004736328125,-0.019982831878587605,-11.09456669441803,-0.9953349605202675,0.0,0.18844777829945086
-5.6351089609933025,9,16.0,0.311699964851141,0.0026611328125,-0.9989113703370094,-15.0,-11.045221525905658,1000.0,0.0,0.2073789653958295,0.0,1500.0,-1.501705900905654,-5.4043041719385645,281250.0,-0.005974354222416878,-14.999999999193705,-0.022123672254383563,5.340062765891105,-0.7024097863293719,0.0,0.0,-15.0,250.0,0.0,0.3108692765235901,0.0,0.22485704980790616,-5.33678501818792,0.04221615232527256,375.0,5.728504275551323,-15.0,0.0034773638937622307,-15.0,0.006511304574087262,0.0035888671875,-0.02051134961657226,-11.107622181507372,-0.9955504789948464,0.0,0.1964170392602682
