train_0/fw_bonus,test_1/avg_q,train_1/reward_-0.0_frac,train_1/reward_-27.0_frac,train_0/fw_loss,train_0/mu_grads_std,test/episodes,train_1/q_grads_std,train_1/current_q,train_1/fw_loss,test_1/subgoal_succ_rate,train_1/q_loss,train/episodes,train_1/mu_grads_std,train_0/mu_loss,train_0/q_loss,train_1/reward_-1.0_frac,train_0/reward_-1.0_frac,test_0/avg_q,train/success_rate,train_0/q_grads,epoch,train_0/avg_q,train_1/reward,train_1/target_q,train_1/mu_loss,train_1/mu_grads,train_1/avg_q,train_0/next_q,train_1/q_grads,train_0/target_q,train_0/current_q,train_1/subgoal_succ_rate,train_0/mu_grads,test/success_rate,train_1/n_subgoals,train_1/fw_bonus,policy/steps,train_0/reward_-0.0_frac,train_0/q_grads_std,train_0/reward,test_1/n_subgoals,train_1/next_q
-0.998837299644947,-19.666165729345725,0.0,0.0,0.0003143712710880209,0.1516219113022089,25.0,0.20655900985002518,-12.007209644377372,0.001462070908746682,0.01171303074670571,18.053811714294092,100.0,0.15995850823819638,1.647255520098982,0.47690396416450653,0.004443359375,0.0009765625,-0.3606307142114593,0.03,0.022922914242371917,0,-1.9228908601826307,-2.6628579792082747,-11.987486481072741,12.440860889015244,0.014960606908425688,-9.629509251660041,-1.6639410055157182,0.016189347254112363,-2.1107610279593656,-1.7772952576204113,0.06629001883239172,-0.013548454130068421,0.0,2655.0,-0.997672164440155,86213.0,0.0,0.1281667347997427,-0.6545005860225501,683.0,-12.4703243781661
-0.9986169651150704,-11.000770486905768,0.0,0.0,0.00037299877512850796,0.19784256257116795,50.0,0.24668190330266954,-12.021342769498792,0.0016662647860357538,0.0,12.683696674830712,200.0,0.20789674967527388,4.348039241213604,0.590472040792673,0.004931640625,0.0007568359375,-2.073105625186831,0.03,0.02491242722608149,1,-5.023501116496849,-2.6162943450082823,-12.100462915062014,12.495448591899969,0.014300839533098042,-18.099620726524677,-4.293174996787288,0.012831989955157042,-4.45982100564208,-4.5518736946949945,0.044511505092417955,-0.01866160295903683,0.0,2651.0,-0.9967936009168625,173744.0,0.0,0.1594510342925787,-0.6692587348734378,675.0,-12.500748684372514
-0.9982869058847428,-15.644036099278654,0.0,0.0,0.00046082667686278,0.21921799406409265,75.0,0.28173142224550246,-12.075813917591821,0.0018026546575129032,0.8023529411764706,9.40792621621783,300.0,0.2338482316583395,2.963805627625445,0.4699251888711897,0.0059326171875,0.0003662109375,-1.1200869491986591,0.41,0.023541080951690673,2,-6.632864502598865,-2.567203544347649,-12.19571842486177,12.436295579763149,0.013782530324533582,-16.682592838292905,-2.8290660573170636,0.007895965117495508,-3.2416445123298177,-3.0185137784621023,0.17630726515502082,-0.023217628011479974,0.0,2161.0,-0.9962067529559135,242818.0,0.0,0.16489666439592837,-0.6846669388625741,2975.0,-12.4131876875705
-0.9983441770076752,-12.042561662797464,0.0,0.0,0.0004455830981896725,0.239157148078084,100.0,0.30949323028326037,-12.858584021882052,0.001889957772800699,0.6526011560693642,9.54887873336722,400.0,0.2539670877158642,4.779161447615654,0.4878131576317058,0.00634765625,0.00126953125,-1.583439957934861,0.4,0.023977128928527235,3,-7.093518165862971,-2.478047137129397,-12.937721702032656,13.364360027171333,0.010901204426772892,-16.671388395447494,-4.694769540245771,0.00470390081172809,-4.909810266143474,-5.010393573969566,0.2222222222222222,-0.028410640452057122,0.08,2241.0,-0.9958311259746552,311615.0,0.0,0.17267600260674953,-0.695777452344555,1730.0,-13.30478619585666
-0.9982573688030243,-10.401591225940052,0.0,0.0,0.00046868395147612316,0.25011244118213655,125.0,0.32948962450027464,-12.5211656953358,0.001763345961808227,0.9360520469692161,10.734666872747647,500.0,0.27741539999842646,4.928406132355116,0.281972178179345,0.006103515625,0.000244140625,-1.0229060663262783,0.58,0.025379515159875153,4,-7.0985525128532,-2.373428687901833,-12.602017779650629,12.860891725283679,0.007549346296582371,-15.450760350254688,-4.793882529876005,0.0015883216896327213,-5.137233910058856,-5.2124730734460005,0.3686274509803922,-0.02900946610607207,0.04,2040.0,-0.996375884115696,370159.0,0.0,0.18135982006788254,-0.7018348495181271,6302.0,-12.836106822097275
-0.9984050005674362,-11.271934170842087,0.0,0.0,0.0004293988255085424,0.26593582779169084,150.0,0.3552885837852955,-13.29096800259731,0.001863342267461121,0.7906386066763426,8.977419265543542,600.0,0.28974617198109626,4.793256677732647,0.5058009037163727,0.00673828125,0.00048828125,-1.0857472691600307,0.52,0.02627790397964418,5,-8.628371260559994,-2.3266109211454022,-13.348627477653702,13.744190422154295,0.005005027400329709,-14.280844933717937,-4.612531694127277,0.00029927357209089676,-4.9112948685073965,-4.877384716571937,0.3421309872922776,-0.034505173470824956,0.04,2046.0,-0.9959456458687782,430161.0,0.0,0.19631904028356076,-0.7078959297155961,2756.0,-13.731733242822083
-0.9984415784478188,-14.679609788715878,0.0,0.0,0.00041966924036387356,0.28156750053167345,175.0,0.3739285208284855,-13.25518069558172,0.0019688550441060216,0.9766683143845774,6.5919650556577665,700.0,0.30355735048651694,5.670996358687553,0.29237589807412856,0.006396484375,0.0009033203125,-1.3020859684373935,0.5,0.026428043050691484,6,-9.219205051037616,-2.300880972064988,-13.29749655205913,13.591590693854425,-0.0009302715741796419,-15.391157319055027,-5.513269942420343,-0.003937286749714985,-5.894368518320879,-5.92571475805482,0.3309178743961353,-0.041330930404365064,0.04,2070.0,-0.9954916536808014,491432.0,0.0,0.20931039452552797,-0.7170054129397613,10115.0,-13.512794583112921
-0.9984641671180725,-16.328312975417727,0.0,0.0,0.00041365585857420226,0.2944451034069061,200.0,0.38796250596642495,-12.205328947694555,0.0020660714770201595,0.822174226061915,6.614806769220332,800.0,0.31403534710407255,4.604502130596144,0.5240024782357724,0.0071044921875,0.001025390625,-0.34804012435759746,0.58,0.0247155059594661,7,-10.586861290335918,-2.2203564802628533,-12.236319361682519,12.26821417743425,-0.0035782629624009133,-15.24912690361813,-4.522624289278118,-0.006563412258401513,-4.917048759666269,-4.871742194077004,0.3427860696517413,-0.04576813718304038,0.12,2010.0,-0.9950733795762062,549872.0,0.0,0.2199176326394081,-0.7279424593561998,2778.0,-12.138828053859491
-0.9985280930995941,-14.570334391613592,0.0,0.0,0.000396645424189046,0.31309539899230004,225.0,0.3975195653736591,-11.808613983721715,0.002029554671025835,0.9578221754877906,6.558556712917449,900.0,0.3235893823206425,5.6959703636032435,0.24236487238874654,0.00625,0.0020751953125,-0.8930184398888222,0.59,0.025150424893945457,8,-8.33460367486132,-2.1293007881096857,-11.806722515889843,11.71121184915317,-0.00491279085399583,-16.2709445122179,-5.547244539282639,-0.009532510372810065,-5.990403314998644,-6.010355080620995,0.32044760935910477,-0.051902530062943694,0.0,1966.0,-0.9952304989099503,609645.0,0.0,0.23387277126312256,-0.7348065861224313,8559.0,-11.539066688091921
-0.9985619276762009,-14.639999827216537,0.0,0.0,0.00038764231649111023,0.3297228701412678,250.0,0.4083789087831974,-12.49249985274172,0.001872708901646547,0.0188953488372093,6.006530612656325,1000.0,0.33595241904258727,5.372342606002282,0.3756573168270938,0.0070068359375,0.00283203125,-0.7525356262148983,0.53,0.023310278449207543,9,-10.149105323235023,-2.1265764326242786,-12.5257114774819,12.497961607817864,-0.006973247020505368,-15.717086185983137,-5.20731358858396,-0.01114028780721128,-5.616741741070529,-5.660575827700646,0.2537917087967644,-0.05756311397999525,0.0,1978.0,-0.9959053337574005,672403.0,0.0,0.24062741212546826,-0.7438421445363929,688.0,-12.358916577799329
