train/episodes,train_0/q_loss,train_1/target_q,train_1/reward_-0.0_frac,train_1/q_grads,train_1/avg_q,train_0/fw_bonus,train_0/fw_loss,test_1/avg_q,train_0/mu_grads_std,train_1/q_grads_std,train_1/reward_-27.0_frac,policy/steps,train_0/reward_-0.0_frac,epoch,train_0/avg_q,train_0/reward_-1.0_frac,train_1/reward_-1.0_frac,test_0/avg_q,test_1/n_subgoals,train_1/fw_loss,test_1/subgoal_succ_rate,train_0/current_q,train_0/mu_grads,train_1/subgoal_succ_rate,train_1/mu_grads_std,train_1/next_q,train_0/target_q,train/success_rate,train_1/reward,train_1/current_q,train_0/mu_loss,test/success_rate,train_0/next_q,train_1/fw_bonus,train_0/q_grads_std,train_1/mu_grads,train_0/reward,train_1/n_subgoals,train_1/q_loss,train_1/mu_loss,train_0/q_grads,test/episodes
100.0,0.5737365049024648,-8.029738629997563,0.0,0.012817362998612225,-7.642833828040369,-0.9941377267241478,0.02815746869891882,-16.383731428245586,0.1696532867848873,0.10929977986961603,0.0,91093.0,0.0,0,-5.525177755755255,0.000341796875,0.00263671875,-22.056841813464622,675.0,0.05924187172204256,0.0,-5.932998392259668,-0.016861795913428068,0.0007407407407407407,0.1483385745435953,-7.732799505223232,-5.922502563097221,0.0,-2.1353133719465403,-8.016666344802035,5.90824454583886,0.0,-5.8119381323578665,-0.9896941319108009,0.10712484139949083,-0.015693963039666414,-0.7160019594761252,2700.0,1.9424584733374128,6.172715384015102,0.004669378616381436,25.0
200.0,0.4925774563105653,-8.34073393767817,0.0,0.003338217391865328,-14.484017084628846,-0.9969336465001106,0.015017704013735056,-10.463900216769856,0.2002023782581091,0.12418392226099968,0.0,182218.0,0.0,1,-20.117892177684425,0.0063720703125,0.001611328125,-10.516356949775377,675.0,0.07331491038203239,0.0,-7.977129704580113,-0.018769179889932274,0.0,0.17990585714578627,-8.10747930940999,-8.0456502983982,0.0,-2.159234942753392,-8.372242566345225,7.8952600146620595,0.0,-7.893113601418714,-0.9866339489817619,0.13285639211535455,-0.03347789561375976,-0.7146899709601712,2700.0,1.4773089929630565,5.894463233890252,0.004421663179527968,50.0
300.0,0.4798412443647274,-8.216955594315374,0.0,-0.005387376609724015,-13.193181944522156,-0.9974951043725013,0.01237911896314472,-14.014529724416196,0.23476673401892184,0.13927853479981422,0.0,273343.0,0.0,2,-18.205092948215007,0.0072998046875,0.0010498046875,-14.727719043945307,675.0,0.08311703782528639,0.0,-7.999729775929348,-0.017499989224597813,0.0,0.1979762066155672,-7.843637377570495,-8.05117688793632,0.0,-2.122646745410748,-7.967633554018311,7.889996354040238,0.0,-7.908422973722895,-0.9845024675130845,0.15103112049400808,-0.037882722541689874,-0.712382805908419,2700.0,2.611061220407975,5.817053575796172,0.002282497924170457,75.0
400.0,0.5099721173220835,-9.238231134159093,0.0,-0.017869357531890274,-14.254612631131426,-0.997816552221775,0.010868443944491445,-14.188064608643035,0.2592454172670841,0.154841136187315,0.0,364454.0,0.0,3,-23.710490690005805,0.01865234375,0.0007080078125,-23.360024151457058,675.0,0.0898244434967637,0.0,-8.681126758796758,-0.014586793119087815,0.00037037037037037035,0.21558163575828077,-8.986356278984687,-8.815319795675371,0.0,-2.1102963888268276,-9.243307694749655,8.577811779195285,0.0,-8.619489502265523,-0.9830439582467079,0.16323696933686732,-0.04214390506967902,-0.7099678469086939,2700.0,1.5354323941383436,6.452568791100873,0.005093478260096163,100.0
500.0,0.26271111897327826,-8.37997895646493,0.0,-0.02506476887501776,-14.099218010037717,-0.998005460202694,0.009980654180981218,-12.73921327775528,0.27580238580703736,0.16811705194413662,0.0,455451.0,0.0,4,-24.46451979176885,0.033447265625,0.000732421875,-26.992084288685483,675.0,0.09812704995274543,0.0,-9.246236036142884,-0.015276420512236655,0.0025925925925925925,0.22946208007633687,-7.900019279765547,-9.390426072594114,0.0,-2.1236881212003937,-8.386053918344086,9.218121697829373,0.0,-9.218297226727248,-0.9812385559082031,0.17582216076552867,-0.042842866480350496,-0.7122839806506818,2700.0,0.7169497718941449,5.816145168203459,0.006495884526520968,125.0
600.0,0.33849503563411143,-7.781178548899424,0.0,-0.035896651446819305,-13.776764713013367,-0.9981007725000381,0.009532748558558523,-12.216530145565258,0.2853360839188099,0.1787487596273422,0.0,546576.0,0.0,5,-26.924063212968722,0.0291259765625,0.000732421875,-26.999999999993932,675.0,0.09920108281075954,0.0,-9.205078074654457,-0.016417495254427195,0.0,0.23887793458998202,-7.359304834363526,-9.333463741411341,0.0,-2.101928281359869,-7.803281268349627,9.205190707814864,0.0,-9.19323614855394,-0.9810049965977669,0.18161002025008202,-0.0445200783200562,-0.7124537048475759,2700.0,1.0552322824435219,5.876381281372156,0.008202831028029323,150.0
700.0,0.5197872926028367,-8.875508588115602,0.0,-0.03935288963839412,-13.769610507994441,-0.9982453927397728,0.008853113930672406,-12.242564918159127,0.29348651096224787,0.19265689812600612,0.0,637255.0,0.0,6,-25.88596320373073,0.0437255859375,0.000927734375,-19.83227571363646,675.0,0.10017468966543674,0.0,-8.836388941323078,-0.018746140552684663,0.006666666666666667,0.24627028293907643,-8.761140959445484,-8.921515883176099,0.0,-2.0373326795182947,-8.920567817944809,8.82215091998361,0.0,-8.819857903677217,-0.9807932868599891,0.18804627209901809,-0.04756300011649728,-0.7084244504090748,2700.0,2.38735051963429,7.090354930066918,0.010444201878271997,175.0
800.0,0.3603946075368961,-8.544985560594828,0.0,-0.039565148670226334,-13.58312096927923,-0.9982329398393631,0.008911613980308175,-12.654354013645271,0.29827279075980184,0.20201372355222702,0.0,727222.0,0.0,7,-22.46011238753094,0.0535888671875,0.0010498046875,-24.111114724290708,675.0,0.09609752129763365,0.0,-8.882259497029159,-0.015819332422688605,0.017777777777777778,0.2631078973412514,-8.19805110001265,-9.033228197059923,0.0,-2.0889356374646013,-8.579807514503193,8.875821306554311,0.0,-8.870397826704757,-0.9816798880696297,0.19852650724351406,-0.04422484943643212,-0.7108596326645056,2700.0,1.3740856552510248,5.519088476997454,0.013291232287883759,200.0
900.0,0.3412048411720129,-8.478024107192118,0.0,-0.04151855260133743,-12.983349771195272,-0.9984070777893066,0.008093248051591218,-13.23386180461487,0.30267841294407843,0.21278554759919643,0.0,818322.0,0.0,8,-25.4808279653442,0.042626953125,0.001513671875,-26.999981449433477,675.0,0.08741790950298309,0.0,-9.513471475169167,-0.01726980130188167,0.00037037037037037035,0.28017881885170937,-8.125943655275691,-9.65981603941039,0.0,-2.0937367506288864,-8.49631771437407,9.510960730633782,0.0,-9.512989786048617,-0.9835672587156296,0.2022306352853775,-0.04262156318873167,-0.70922550911273,2700.0,0.7575353569846841,6.133363128239603,0.017024842742830514,225.0
1000.0,0.3656339360315107,-8.26153979118876,0.0,-0.0428959277458489,-13.908719437736169,-0.998455160856247,0.007867214793805033,-14.058179930140625,0.3077725939452648,0.21859454810619355,0.0,909301.0,0.0,9,-26.12707019832518,0.0477294921875,0.002001953125,-26.51474040942983,675.0,0.0858453031629324,0.0,-9.467141895410197,-0.016816779458895325,0.002962962962962963,0.28533449992537496,-7.834304286072732,-9.607333375931779,0.0,-2.0564565601387583,-8.27360518209754,9.463010361294883,0.0,-9.467645726534002,-0.9839092135429383,0.20780015252530576,-0.04454085025936365,-0.7067837370435882,2700.0,0.5584000963042477,6.253043147883703,0.018973037507385014,250.0
