train_0/mu_grads,train_1/fw_bonus,train_1/avg_q,train/episodes,train_0/q_grads_std,train_1/q_grads,test_1/avg_q,train_0/current_q,train_0/fw_loss,policy/steps,train_0/reward,train_0/q_grads,train_1/reward,train_1/subgoal_succ_rate,train_0/target_q,train_1/reward_-0.0_frac,train_1/q_loss,train_0/avg_q,train_0/mu_grads_std,test_1/subgoal_succ_rate,train_0/reward_-1.0_frac,train_1/mu_loss,test/success_rate,test/episodes,train/success_rate,train_1/mu_grads,train_0/fw_bonus,epoch,test_0/avg_q,train_1/n_subgoals,train_1/next_q,train_1/fw_loss,train_1/current_q,train_1/reward_-1.0_frac,train_0/q_loss,test_1/n_subgoals,train_1/q_grads_std,train_0/mu_loss,train_1/target_q,train_1/mu_grads_std,train_0/reward_-0.0_frac,train_0/next_q,train_1/reward_-27.0_frac
0.0012246189930010588,-0.9967284083366394,-10.287302624768177,100.0,0.1409298688173294,0.013008162681944668,-7.500406202157291,-4.525799982321027,0.00033751430455595253,81203.0,-0.6365735807794408,0.0153423388954252,-2.4193481160520607,0.11059371362048893,-4.46110489335223,0.0,19.184302754167582,-3.115156716814017,0.15641459152102472,0.877521613832853,0.0033447265625,11.5463795082252,0.04,25.0,0.11,0.006519198103342205,-0.9987601444125176,0,-1.4350856738689028,2577.0,-11.617694060747121,0.001610413461457938,-11.022525744479545,0.0058837890625,0.6856156261512625,4164.0,0.20462921187281607,4.397069446581051,-10.991114336483374,0.17897510156035423,0.0,-4.350835205841969,0.0
-0.004487649002112448,-0.9970696344971657,-15.523597506233273,200.0,0.16617544889450073,0.0019333289499627426,-6.738979868173974,-4.970944627452016,0.0003731489661731757,157530.0,-0.6487900555526721,0.01712365630082786,-2.433862136056632,0.10636480136693721,-4.951532751209129,0.0,11.689271091939386,-5.348353436586981,0.18604678474366665,0.5470505617977528,0.00244140625,9.473877310878974,0.0,50.0,0.22,0.004094018251635134,-0.9986270144581795,1,-1.4243395724185948,2341.0,-9.530251393250031,0.0015296413737814873,-9.519862216830782,0.006787109375,0.5780684175378216,1424.0,0.24652039334177972,4.822646083077663,-9.534827194467466,0.24433702565729618,0.0,-4.781883836169314,0.0
-0.004182796081295237,-0.9959197625517845,-13.567558833603846,300.0,0.18406675904989242,-0.00173268195358105,-20.50603550205903,-2.944068312082589,0.000415553185302997,233503.0,-0.6731584107528761,0.018985060276463628,-2.4118766676212546,0.10876132930513595,-3.2478649407722004,0.0,9.180134826175763,-5.511680399571933,0.20992192327976228,0.0029542097488921715,0.00048828125,9.319826403219157,0.0,75.0,0.28,0.003619340236764401,-0.9984685972332954,2,-0.31750808588561386,2317.0,-9.337774794149567,0.0018018257047515362,-9.44745916925479,0.007275390625,1.0726178540494087,677.0,0.2737385414540768,2.82801636011792,-9.473250726333239,0.2601341277360916,0.0,-2.89064887235987,0.0
-0.009696287359111011,-0.9966735184192658,-17.42662657622172,400.0,0.19171004146337509,-0.005253956583328545,-11.921456995169006,-5.502489503158745,0.0003977052620030008,303646.0,-0.6749878240952967,0.01975060091353953,-2.4245712120497047,0.22280017338534894,-5.452492212482194,0.0,16.546825343555813,-4.858697688148687,0.23820214979350568,0.9390048154093098,0.001123046875,11.386846537219611,0.04,100.0,0.31,0.0036472597799729555,-0.9985352858901024,3,-1.8664430344935388,2307.0,-11.37874905835729,0.0016234058508416637,-10.369737491151074,0.007568359375,0.42009536182534896,6853.0,0.30403814986348154,5.30948132238418,-10.40627085889012,0.28133788555860517,0.0,-5.226489831891523,0.0
-0.017539807269349693,-0.9965342864394188,-14.64655928597142,500.0,0.19799690805375575,-0.008219088427722454,-11.578885223243125,-5.585587426138771,0.00042345464244135654,361804.0,-0.681665435355535,0.01949300682172179,-2.3058474389217736,0.4063088512241055,-5.509871224024299,0.0,14.210156220654431,-10.46060808668026,0.2612467683851719,0.9668520335841239,0.001171875,10.799938647127922,0.08,125.0,0.45,0.0026271665119566023,-0.9984390869736671,4,-1.8194705941187581,2124.0,-10.752469145969041,0.0016563615208724514,-10.006401866946153,0.00693359375,0.45920784548374793,9171.0,0.3240496151149273,5.397540795649062,-10.00422465763817,0.3035503178834915,0.0,-5.299163428842418,0.0
-0.028350090608000755,-0.9956272721290589,-14.313149403289424,600.0,0.2057785265147686,-0.010552062909118832,-11.586088583853616,-5.525903812914935,0.00040488546655979005,419429.0,-0.6949396141215403,0.017374811647459864,-2.246770592008397,0.39183276616431695,-5.440241678250389,0.0,12.794144079540512,-10.089570664621146,0.28436858877539634,0.5626702997275205,0.0018310546875,10.554393043953345,0.0,150.0,0.54,0.001838634256273508,-0.9985084518790245,5,-2.8522576086330735,2057.0,-10.520568940600239,0.0018710559903411194,-9.874089870155345,0.006640625,0.767383942540397,1468.0,0.33984398394823073,5.446644701071089,-9.8748913408046,0.3202322870492935,0.0,-5.307314403146519,0.0
-0.03827987564727664,-0.9950811848044395,-14.940434401301601,700.0,0.21572827287018298,-0.01196921314112842,-18.886269916991328,-4.154021900807768,0.0003998432177468203,480786.0,-0.7003459345556621,0.01786605454981327,-2.2176484689862264,0.2948148148148148,-4.2253885951601635,0.0,11.340772834663047,-9.46612251399244,0.3051140375435352,0.0,0.001708984375,10.081721587117482,0.0,175.0,0.48,0.0013924949074862526,-0.9985272884368896,6,-5.554240257110602,2025.0,-9.994173381848245,0.00200032324064523,-9.72381563121086,0.0068115234375,0.6794265388418408,675.0,0.3561352573335171,3.9757924838034255,-9.718629252464675,0.3401954747736454,0.0,-3.891814759689306,0.0
-0.046981983538717034,-0.9951178759336472,-17.231237797493176,800.0,0.22512185834348203,-0.014507906604558229,-10.740727442158864,-5.130229196625484,0.00041540186502970756,550015.0,-0.7128924386084691,0.017422069096937776,-2.1953370852537772,0.15601503759398497,-5.0769807168106045,0.0,9.469474158507087,-8.60338987066365,0.31865141838788985,0.011730205278592375,0.0009033203125,10.337936542925549,0.0,200.0,0.42,-0.0006526403114548885,-0.998469166457653,7,-0.8583547344793747,2128.0,-10.289887649227271,0.001991638130857609,-10.109225737568988,0.0079345703125,0.6509653949660722,682.0,0.37031773179769517,4.946394116104495,-10.127363962051424,0.3682492807507515,0.0,-4.826950849581185,0.0
-0.05410435451194644,-0.9952013358473778,-14.987046902620623,900.0,0.23895905315876007,-0.0174216796644032,-16.41294806671592,-2.589629030440778,0.0003892763998010196,608414.0,-0.7154803153171088,0.01715457309037447,-2.162270794095093,0.24024526198439242,-2.853440744123958,0.0,10.833742703115615,-8.422348959262177,0.333698732405901,0.3535749265426053,0.0020263671875,10.939129663512443,0.04,225.0,0.64,-0.00393686363240704,-0.9985667735338211,8,-0.6599367436918236,1794.0,-10.833708243873783,0.001971880576456897,-10.621283386935952,0.0077392578125,0.6104769105527423,1021.0,0.3850836805999279,2.446141148186797,-10.659745789016807,0.3845771819353104,0.0,-2.3832377238954563,0.0
-0.06208614651113749,-0.9954387694597244,-16.16122666700725,1000.0,0.24981167912483215,-0.02056189253926277,-17.49063320652126,-6.088491143020399,0.00038621411149506455,670344.0,-0.7233567104718531,0.01643668655306101,-2.1497691151016625,0.2637737688932228,-6.0105104578587545,0.0,7.66990401923218,-8.8296695757101,0.3510004296898842,0.9208604697059404,0.0020263671875,11.750492780920842,0.12,250.0,0.46,-0.006702834332827479,-0.9985782027244567,9,-0.9244553907499056,2051.0,-11.56294494467014,0.0019156817201292143,-11.480086109253396,0.0077392578125,0.6454007337121743,5067.0,0.3995587877929211,5.8976835433521355,-11.551947564898857,0.40189523845911024,0.0,-5.771113993286233,0.0
-0.06595198176801205,-0.9957398161292076,-17.363417577021075,1100.0,0.2563228152692318,-0.024971190420910717,-10.902362872650178,-4.741121402421428,0.00035452415104373356,730904.0,-0.7198340613696927,0.014674014504998922,-2.1208587820143294,0.27835562159484895,-4.789896491293954,0.0,7.442182662247667,-12.061524618937426,0.36406695321202276,0.11964549483013294,0.0073974609375,12.296516858913023,0.12,275.0,0.52,-0.008248988958075642,-0.9986966073513031,10,-1.3632618004521586,2019.0,-12.184307189200144,0.0018444190209265798,-12.159627928129563,0.0080810546875,0.43767792864176336,677.0,0.41267216503620147,4.53815399647989,-12.226551045785893,0.4168868213891983,0.0,-4.367985192624166,0.0
-0.07019789144396782,-0.9962350308895112,-15.050476021658197,1200.0,0.26436610966920854,-0.028927203686907887,-17.750594484438462,-4.413089526644391,0.00034646521671675143,788525.0,-0.7273672228540817,0.015487883635796607,-2.148430095965159,0.23391158365976497,-4.371561057794045,0.0,5.854993411563781,-9.605231392916261,0.3787748418748379,0.7971715668031262,0.0166015625,11.941170706310825,0.08,300.0,0.65,-0.01023936492856592,-0.998726698756218,11,-4.535635757944701,1787.0,-11.762257468489532,0.001727197240688838,-11.879957305062508,0.0072021484375,0.7489813943998851,2687.0,0.4247927464544773,4.299452299952227,-11.895202895667978,0.42900445237755774,0.0,-4.134714592033731,0.0
-0.0709245327860117,-0.9961309060454369,-16.305977442551782,1300.0,0.2714165195822716,-0.0317774779163301,-7.906970246868752,-1.7008431260222383,0.0003459404266322963,857169.0,-0.7245845099732833,0.016276559419929983,-2.2802583114189474,0.1557884707003335,-1.970462050899906,0.0,6.794358536651586,-9.202128632628176,0.39294293820858,0.0014792899408284023,0.008837890625,12.470243810931695,0.0,325.0,0.44,-0.011524263536557555,-0.9987286761403084,12,-0.3559886345168863,2099.0,-12.376898088874947,0.001751845912076533,-12.355663671405875,0.0079345703125,1.011330151099238,676.0,0.4355108134448528,1.477497161164208,-12.37656732741578,0.4406124837696552,0.0,-1.5058497292151667,0.0
-0.07568495068699121,-0.995613032579422,-15.697887246090392,1400.0,0.2755571410059929,-0.03271408434957266,-19.01465322986941,-2.9315981737781187,0.00029629361197294204,934591.0,-0.7241364931509452,0.015074592526070773,-2.338154967734954,0.09234715690466011,-3.200856324626521,0.0,6.216680728338416,-4.392725257891612,0.4100606992840767,0.03017241379310345,0.0331298828125,13.1026944393966,0.0,350.0,0.27,-0.012765036849305033,-0.9989141434431076,13,-1.1085121717018156,2339.0,-12.993997506727458,0.0018744308094028384,-12.795416484017219,0.0074462890625,0.8198795957979378,696.0,0.4467887535691261,2.725746185401004,-12.837523180654255,0.45318872928619386,0.0,-2.73074099657085,0.0
-0.08271660078316927,-0.9964292243123054,-17.95155631405426,1500.0,0.28230492025613785,-0.03671984160318971,-14.162223910773337,-5.578776543593328,0.00030030156594875736,1008307.0,-0.7256159042968647,0.016022498114034535,-2.3274093117935992,0.15569123419101613,-5.545897810322088,0.0,6.445390651214629,-5.6117286420835635,0.42401655241847036,0.44293015332197616,0.028271484375,12.934398689096287,0.0,375.0,0.3,-0.015309115638956428,-0.998899158835411,14,-1.0626792886190504,2293.0,-12.868332946026978,0.001681229067617096,-12.822905266635422,0.0087890625,0.5642394751631551,1174.0,0.4572913728654385,5.358001665698859,-12.858174357891565,0.46497486904263496,0.0,-5.259655193260942,0.0
-0.08586382381618023,-0.9966715261340141,-16.79371518259354,1600.0,0.289238753169775,-0.039009549841284755,-14.921239198644633,-4.379150185326683,0.0002817899254296208,1072520.0,-0.7336165918106416,0.014654255332425236,-2.315256745654915,0.24173748819641172,-4.387311130738711,0.0,5.805648556569459,-8.178363453311007,0.4353691816329956,0.7613531047265987,0.0256591796875,13.017714587728118,0.16,400.0,0.44,-0.01654030503705144,-0.9989683210849762,15,-1.6629674463570105,2118.0,-12.886274945053108,0.001623880077386275,-12.814077400772854,0.0078857421875,0.47459843459972023,2158.0,0.46762763410806657,4.191808374326607,-12.853316353140698,0.47587187588214874,0.0,-4.0184987618076065,0.0
-0.09044361859560013,-0.9970729768276214,-18.114266010755045,1700.0,0.2998529329895973,-0.041016850341111424,-14.892404388735342,-5.109683215323123,0.00024820964681566694,1131967.0,-0.7420341847155214,0.016890547098591925,-2.357965751033407,0.29698857736240913,-5.0579144553560225,0.0,6.6789071477686,-8.952738875019627,0.4448616556823254,0.671960569550931,0.052099609375,13.691991237699316,0.08,425.0,0.53,-0.01760015469044447,-0.9990937605500221,16,-2.3383213825065883,1926.0,-13.618438677918126,0.0015288520895410328,-13.417416617064125,0.0078369140625,0.6653888116099346,1826.0,0.4798011861741543,4.924700265357362,-13.466645237540282,0.4864723190665245,0.0,-4.751935523100654,0.0
-0.09785935152322053,-0.997364017367363,-17.44241992489265,1800.0,0.3092569775879383,-0.043472493253648284,-13.252478884958458,-4.910018400906095,0.0002395695853920188,1194783.0,-0.743360613663026,0.01813760371878743,-2.3130128791104654,0.2398597896845268,-4.961551233350984,0.0,5.231595509823364,-10.14825365522445,0.45636831000447275,0.8775261748234722,0.059326171875,14.074020752396176,0.08,450.0,0.52,-0.018073050165548922,-0.9991260409355164,17,-0.5737724194623071,1997.0,-13.959914433539897,0.001459958401392214,-13.84059142300922,0.00751953125,0.6943504148866984,4107.0,0.4943881340324879,4.640255407351084,-13.907076100867522,0.5003389462828636,0.0,-4.602493079580604,0.0
-0.10278162136673927,-0.9976943910121918,-16.02282830703097,1900.0,0.3163738869130611,-0.04599731648340821,-18.965478967555295,-5.35576750483882,0.00022691480480716564,1252351.0,-0.7509896201281663,0.018538308003917335,-2.2753574341753846,0.27666314677930304,-5.370490643163789,0.0,4.231022649428709,-7.908012262198345,0.4673698902130127,0.8921471172962226,0.0603515625,13.382115671242781,0.16,475.0,0.58,-0.01933587868697941,-0.9991733282804489,18,-1.5822002413710734,1894.0,-13.295725258394913,0.0013817586965160444,-13.272500231081697,0.006982421875,0.5342829012293647,4024.0,0.5048422187566757,5.156809425172615,-13.327681378750786,0.50774946808815,0.0,-4.997126800124322,0.0
-0.10788010768592357,-0.9980003505945205,-16.36184511068632,2000.0,0.32195499166846275,-0.05044863913208246,-20.035070333953946,-5.775716714542231,0.00022054335749999154,1308547.0,-0.7591071429862495,0.018457895889878274,-2.2002508160763683,0.3535,-5.681823594417198,0.0,5.522720044715217,-10.569720487568507,0.478019305318594,0.9198264047510278,0.0501220703125,12.815730396852283,0.24,500.0,0.57,-0.021335255727171897,-0.9991971284151078,19,-1.5919512515092038,2000.0,-12.609267265143416,0.0013093361398205162,-12.794706494040826,0.00810546875,0.4850573478858884,4378.0,0.5153210803866386,5.5281131658168094,-12.861222060188396,0.5155008867383003,0.0,-5.353189535284644,0.0
-0.1110477901995182,-0.9980730220675469,-16.34016411531519,2100.0,0.33089593052864075,-0.05401237728074193,-14.979716417365907,-4.66384308939495,0.00023004837676126043,1359506.0,-0.7659830313037673,0.01863784994930029,-2.1623661566471126,0.4089534180278282,-4.714897004854587,0.0,6.3436198983020216,-11.763356758586673,0.48739335834980013,0.1,0.0750244140625,12.313146332148097,0.0,525.0,0.7,-0.024255281453952192,-0.99916160851717,20,-2.2374447888095084,1653.0,-12.131200330976522,0.0012921313813421876,-12.44477552778873,0.007373046875,0.7122118095163292,740.0,0.5255477860569954,4.501631724108243,-12.501517635496949,0.5217637047171593,0.0,-4.338576897111146,0.0
-0.1142238076776266,-0.9982134953141213,-15.02459955654926,2200.0,0.3360175773501396,-0.058914735447615385,-16.184062577800432,-5.291965561849521,0.00022399330555344932,1411502.0,-0.7696507960092276,0.018414929369464518,-2.0770924362339427,0.30655391120507397,-5.309404825790753,0.0,4.8930394858468365,-10.591788847015573,0.4966425642371178,0.939113492450073,0.0565673828125,11.562217238798643,0.44,550.0,0.65,-0.026178493769839405,-0.9991842433810234,21,-1.3206849801567273,1892.0,-11.37053911663045,0.0012588808458531275,-11.698714770780693,0.008154296875,0.5180033907570119,4106.0,0.5361395969986915,5.043064375686896,-11.750760261700737,0.5275748685002327,0.0,-4.910773749523197,0.0
-0.1197882866486907,-0.9984101399779319,-15.242819305691034,2300.0,0.3434323832392693,-0.060783847514539954,-11.006219479329134,-5.499290251974468,0.00021312627104634884,1465286.0,-0.7760696365163312,0.01921665817499161,-2.0712089769673185,0.35722543352601155,-5.4591222677107885,0.0,4.344832340873657,-11.250692507612714,0.5045503720641136,0.043909348441926344,0.0984619140625,11.94763683586876,0.0,575.0,0.71,-0.02837359462864697,-0.9992248475551605,22,-0.7960736672710749,1730.0,-11.808040210161947,0.001212336352909915,-12.035363614597975,0.0080322265625,0.491755911060635,706.0,0.5481025502085686,5.230067040730201,-12.087206715355489,0.5340865328907967,0.0,-5.064119736639431,0.0
-0.1234439354389906,-0.9981645926833153,-12.9924370004008,2400.0,0.3493168972432613,-0.06198130333796144,-18.78084443541464,-6.169933651532803,0.000217240149868303,1527364.0,-0.7682655013155454,0.019082761975005268,-2.1193958861047575,0.20704845814977973,-6.087403228633503,0.0,5.399262806296925,-10.907586909189288,0.514032444357872,0.6113671274961597,0.0855224609375,12.467013304277966,0.24,600.0,0.46,-0.029644459346309306,-0.9992094665765763,23,-2.360513066182541,2043.0,-12.252242048197123,0.001270454269251786,-12.365890542964248,0.00810546875,0.7544781304863848,1302.0,0.5598973110318184,6.052001710963072,-12.448076215659498,0.5408773601055146,0.0,-5.843358131015342,0.0
-0.12467958405613899,-0.9985516726970672,-16.042026988791626,2500.0,0.3561318390071392,-0.06459697932004929,-3.7233453548130626,-6.900901234741869,0.00023269904850167222,1582276.0,-0.7695328019086446,0.019297868106514217,-2.0351359645599585,0.3144690781796966,-6.845110604257627,0.0,13.394598217929007,-13.040880619044028,0.5222485780715942,0.002976190476190476,0.0721923828125,7.823249158751599,0.08,625.0,0.7,-0.03215763168409467,-0.9991517141461372,24,-1.1238068228656894,1714.0,-7.836337801092161,0.0011788332456490024,-8.615381890591626,0.0078369140625,0.5236973523073196,672.0,0.5739853501319885,6.715117296832,-8.7024752462167,0.5475629061460495,0.0,-6.539124986620965,0.0
-0.12907908037304877,-0.9985760599374771,-12.27458070026601,2600.0,0.3607055626809597,-0.0689294222742319,-13.747575572594076,-5.037832203691965,0.0002270780998514965,1639188.0,-0.7713141744581662,0.018949681706726552,-2.0450480661682375,0.28627015008337964,-5.055110200078749,0.0,6.287811149909755,-11.74802801824545,0.5293984562158585,0.007352941176470588,0.05625,10.434647597616195,0.0,650.0,0.59,-0.03258960172533989,-0.9991727188229561,25,-1.686726775919488,1799.0,-10.322020548915628,0.0011730600192095153,-10.751961628113737,0.00791015625,0.5606940496550846,680.0,0.5850586622953415,4.789853588506789,-10.73048912409502,0.5517775431275368,0.0,-4.657047683032566,0.0
-0.13192564472556115,-0.9986127898097038,-14.089126691505388,2700.0,0.36588556692004204,-0.0711376117542386,-17.01924522317873,-4.162211054490697,0.00022592354871449062,1705723.0,-0.7644671082598506,0.01898035886697471,-2.098450806721303,0.19307654802535348,-4.276111175372518,0.0,6.502112630224931,-9.878553446265665,0.536826841533184,0.024566473988439308,0.0804443359375,11.790122745824359,0.0,675.0,0.53,-0.03246857188642025,-0.9991770252585411,26,-1.8648714348365072,2051.0,-11.592381551910552,0.00116436337120831,-11.792535875788795,0.0082763671875,0.7133372752958677,692.0,0.5955084383487701,4.05980189000943,-11.862334119786876,0.5577788800001144,0.0,-3.9194217729269534,0.0
-0.13036864884197713,-0.9985221281647683,-14.80796902412694,2800.0,0.3689069181680679,-0.07310460396111011,-14.36491062356706,-5.52781742585067,0.00023515435023000464,1757644.0,-0.7652458406886581,0.018282687244936823,-2.0592801917202452,0.3466183574879227,-5.436884829163288,0.0,5.934602359429215,-8.967893841058812,0.5437401965260505,0.9580296261462498,0.0698974609375,11.484270314751337,0.04,700.0,0.76,-0.03207057463005185,-0.9991425484418869,27,-1.1653831248464628,1656.0,-11.33564235428664,0.0011858251644298434,-11.446460680638202,0.007080078125,0.5457797117440962,8506.0,0.6086382701992988,5.28659097625629,-11.548341667615949,0.5646579504013062,0.0,-5.103955729135753,0.0
