test/episodes,train_1/current_q,train_0/avg_q,train_1/n_subgoals,train_1/q_grads_std,train_1/reward_-0.0_frac,test_1/avg_q,train_1/mu_grads,train_1/target_q,policy/steps,test_0/avg_q,train_0/mu_grads_std,train_1/mu_loss,train_1/reward_-27.0_frac,train_0/reward_-0.0_frac,train_1/avg_q,train/episodes,train_0/q_grads_std,train_1/reward,train_1/fw_bonus,train_0/fw_loss,train_0/q_grads,train/success_rate,train_0/mu_loss,train_0/fw_bonus,train_0/next_q,train_0/reward_-1.0_frac,train_1/next_q,epoch,train_0/q_loss,train_1/mu_grads_std,train_1/reward_-1.0_frac,test/success_rate,train_1/q_loss,test_1/subgoal_succ_rate,train_1/fw_loss,train_1/q_grads,train_0/target_q,train_0/reward,train_1/subgoal_succ_rate,train_0/current_q,test_1/n_subgoals,train_0/mu_grads
25.0,-5.896654542676606,-10.733893163870741,2700.0,0.10416016262024641,0.0,-12.343893423158075,-0.0005491397416335531,-5.8790577367077885,91125.0,-22.689452564608338,0.16263311803340913,5.025384124719161,0.0,0.0,-7.873281675291087,100.0,0.11193810626864434,-2.1138590617156297,-0.9913655951619148,0.034822491277009246,0.006093323626555502,0.0,8.99047256024779,-0.9955554500222206,-8.990371636815079,0.00048828125,-4.990194748097611,0,0.6408436427074946,0.13560740910470487,0.0025390625,0.0,0.7614077612087223,0.0014792899408284023,0.07300938218832016,0.017546289321035146,-9.212600237508859,-0.7484979437744187,0.0,-9.038095943227475,676.0,-0.006026190076954663
50.0,-6.336388429971652,-25.760706030689576,2700.0,0.111426942050457,0.0,-12.154372951219875,-0.007256405113730579,-6.370326574146868,182198.0,-26.98490620954643,0.19969770833849906,5.671657465551648,0.0,0.0,-13.104707920834922,200.0,0.11824712753295899,-2.103273207181337,-0.9890415325760842,0.019598481012508273,0.006857814488466829,0.0,9.086423964587443,-0.997530260682106,-9.089204473090444,0.002587890625,-5.620240765018866,1,0.29713526536849233,0.15652328468859195,0.0009033203125,0.0,0.8700773881637243,0.0,0.08927984423935413,0.004939111811108887,-9.358881493908509,-0.7444804663056857,0.0011111111111111111,-9.16893024275372,675.0,-0.010693199839442969
75.0,-6.612191099942554,-26.382052354405616,2700.0,0.11800195686519147,0.0,-12.756085318914097,-0.011686875601299107,-6.602401369849661,273299.0,-26.062339660776765,0.23237902894616128,5.896545498600244,0.0,0.0,-13.040804968467626,300.0,0.13256991617381572,-2.0779368308787527,-0.9876119375228882,0.014631047705188393,-0.0015438979695318266,0.0,9.70448118270851,-0.9981746390461922,-9.678696029341191,0.0061279296875,-5.888728160120618,2,0.6687410208399786,0.1733325369656086,0.0003662109375,0.0,0.25354613038801677,0.0,0.09928826596587896,-0.0014196355536114425,-9.83380358700577,-0.7474515721456555,0.00037037037037037035,-9.681369681000877,675.0,-0.01373198707588017
100.0,-6.24296219706723,-26.740095121360472,2700.0,0.12996842935681344,0.0,-10.640379552186278,-0.015250557591207326,-6.266326544652472,364424.0,-21.285115141439814,0.252335437387228,5.476553021442566,0.0,0.0,-13.480693754168136,400.0,0.13591770008206366,-2.1004275189814505,-0.9867681249976158,0.013042955775745213,-0.001683566824067384,0.0,9.553842912936265,-0.9983806505799293,-9.548479672333361,0.0050537109375,-5.458776020369979,3,0.3961771544288018,0.1844604279845953,0.0002197265625,0.0,0.3132266761013654,0.5083207261724659,0.10519578512758017,-0.0070788742392323915,-9.78183156066304,-0.7506429521992686,0.0,-9.617505098704996,1322.0,-0.021595203317701817
