policy/steps,train_0/fw_loss,train_1/subgoal_succ_rate,train_1/reward_-1.0_frac,train/episodes,train_1/reward_-0.0_frac,train_0/q_loss,train_1/reward_-10.0_frac,train_0/q_grads,train_1/fw_loss,train_0/current_q,train_1/next_q,train_1/target_q,train_0/mu_loss,train_0/q_grads_std,test_1/avg_q,test/success_rate,test_1/subgoal_succ_rate,train_0/next_q,train_1/avg_q,test/episodes,train_1/q_grads,train_0/avg_q,train/success_rate,train_1/q_grads_std,train_1/mu_grads_std,test_0/avg_q,test_1/n_subgoals,epoch,train_1/n_subgoals,train_0/mu_grads,train_1/mu_grads,train_1/q_loss,train_1/fw_bonus,train_0/mu_grads_std,train_0/fw_bonus,train_0/reward,train_1/reward,train_0/reward_-1.0_frac,train_1/mu_loss,train_0/reward_-0.0_frac,train_0/target_q,train_1/current_q
29736.0,8.628220639366191e-05,0.076,0.0002197265625,100.0,0.0,0.8142750813688402,0.0,0.038394985254853964,0.000890771254489664,-9.316669948066826,-3.0336023783111132,-3.5205810750453437,7.9846285630745255,0.1997710879892111,-4.087839614238626,0.0,0.0,-9.31521760140329,-2.9672660673695135,25.0,0.01871397364884615,-16.641174361306565,0.0,0.1658079158514738,0.11493037547916174,-25.0,250.0,0,1000.0,0.006506400508806109,0.0037935562781058253,1.413051811691158,-1.0113101959228517,0.11783380433917046,-0.9996154174208641,-0.7417266514494258,-1.3087068541353801,0.0021240234375,4.03995422406892,0.0,-9.49820334797713,-3.534858746517975
60986.0,7.103216094037635e-05,0.0,9.765625e-05,200.0,0.0,0.7038416045519915,0.0,0.04095825357362628,0.000774896341317799,-9.846988342553987,-4.793055878365783,-4.786994899398465,8.427261471157715,0.21968333534896373,-6.052527085183929,0.0,0.0,-9.846196150302724,-5.082949694935949,50.0,0.006293479248415679,-25.0,0.0,0.21810429878532886,0.11786453183740378,-25.0,250.0,1,1000.0,0.008902457566000522,0.0006278965607634746,1.3207248816201758,-1.0118048161268234,0.13165234848856927,-0.9996853351593018,-0.7421888653596398,-1.329193421304808,0.0025390625,5.817196182257029,0.0,-10.011795751020127,-4.8358918516223905
92236.0,6.591377714357805e-05,0.0,0.0001708984375,300.0,0.0,0.7557309232875745,0.0,0.04018859742209315,0.0007372335327090696,-10.022888546595478,-9.99999785140786,-8.406449998190705,8.716315229605476,0.22430177703499793,-9.999995502717528,0.0,0.0,-10.022555932935187,-7.230244196249005,75.0,0.009168167505413294,-25.0,0.0,0.27695552781224253,0.11777990516275168,-25.0,250.0,2,1000.0,0.011316174268722534,1.872660704975715e-05,4.463826148190883,-1.0119656026363373,0.14506289400160313,-0.999708816409111,-0.7430795078413212,-1.3138929450899013,0.0046875,10.999997817098071,0.0,-10.229629631776112,-8.301148734633285
123486.0,6.579705950571224e-05,0.0,4.8828125e-05,400.0,0.0,0.38450845464959726,0.0,0.03566365083679557,0.0007140444562537595,-9.00908370814316,-9.999999999926327,-8.406549858916934,8.32390531227218,0.22500110790133476,-9.999999997279344,0.0,0.0,-9.00704402122978,-9.99958303575676,100.0,0.019456325145438314,-25.0,0.0,0.320906275510788,0.1177799254655838,-25.0,250.0,3,1000.0,0.011643484001979232,1.8710847143665887e-05,3.8831323090380905,-1.012064555287361,0.14437390938401223,-0.9997093468904495,-0.7427257714683947,-1.316383843350195,0.0026611328125,10.999999999930008,0.0,-9.320434232290074,-8.272256185752797
154736.0,6.45229430119798e-05,0.0,0.000146484375,500.0,0.0,0.6008577386494076,0.0,0.03878998178988695,0.0007465467570000328,-10.249562873716688,-10.0,-8.412320333579412,9.00155892676822,0.23049530424177647,-9.999999999945272,0.0,0.0,-10.243272470890275,-9.998092368564672,125.0,0.02599869528785348,-25.0,0.0,0.36205668821930886,0.1177799254655838,-25.0,250.0,4,1000.0,0.007736527291126549,1.8710847143665887e-05,3.3767719349265013,-1.011925819516182,0.13885636813938618,-0.9997151896357537,-0.7445719546587497,-1.3188047085794097,0.0075927734375,11.0,0.0,-10.406356556648223,-8.26030341182533
185872.0,5.436522169475211e-05,0.0,7.32421875e-05,600.0,0.0,0.7789781070319861,0.0,0.038914299197494985,0.0007418074033921585,-10.290399627722502,-10.0,-8.445372440973445,9.151882508193678,0.23228590674698352,-9.999999999735486,0.0,0.0,-10.29178733254452,-9.999869004693506,150.0,0.027390526747331022,-25.0,0.01,0.38456504642963407,0.1177799254655838,-25.0,250.0,5,996.0,0.005154387431684881,1.8710847143665887e-05,2.8944176914905833,-1.011946052312851,0.13477949760854244,-0.999761775135994,-0.7460967106788303,-1.3331947065984422,0.020458984375,11.0,0.0,-10.49574206836235,-8.270345986613652
217122.0,5.3370113437267716e-05,0.0,9.765625e-05,700.0,0.0,0.4972503618131968,0.0,0.03715586392208934,0.0007487369613954798,-9.568392855945714,-10.0,-8.458133529766348,8.60344526313827,0.23421216011047363,-9.99999999999625,0.0,0.0,-9.562124181910653,-9.999972840126796,175.0,0.02894249469973147,-25.0,0.0,0.40324451476335527,0.1177799254655838,-25.0,250.0,6,1000.0,0.002891679498134181,1.8710847143665887e-05,2.7288643957681282,-1.0119164794683457,0.1357129842042923,-0.999766343832016,-0.7414603204349988,-1.3193981782038464,0.0191650390625,11.0,0.0,-9.875002433996336,-8.262316326973783
248372.0,4.342006791375752e-05,0.0,0.0001220703125,800.0,0.0,0.8235273663232883,0.0,0.03847666615620256,0.0006169206768390723,-10.241270847590531,-10.0,-8.492816718200196,9.201897381311513,0.236988914757967,-9.99999999999999,0.0,0.0,-10.23868963184228,-9.997807109160961,200.0,0.032022590097039935,-25.0,0.0,0.42254461869597437,0.1177799254655838,-25.0,250.0,7,1000.0,-0.00024690528007340615,1.8710847143665887e-05,3.054768458687685,-1.012479129433632,0.13982209786772729,-0.9998119667172432,-0.7445471003993589,-1.3189104682001926,0.095849609375,11.0,0.0,-10.412435992806945,-8.304518651608834
279622.0,4.5836600702386934e-05,0.0,0.0001220703125,900.0,0.0,0.5644237013549681,0.0,0.037465921975672244,0.0006354286306304857,-10.229278190536167,-10.0,-8.465213740011244,9.237963046914242,0.23941751308739184,-9.999999999999996,0.0,0.0,-10.222705288468726,-9.995707975209891,225.0,0.033395635150372985,-25.0,0.0,0.43704139441251755,0.1177799254655838,-25.0,250.0,8,1000.0,-0.0028565687709487973,1.8710847143665887e-05,2.8269984044933354,-1.012400135397911,0.142673284932971,-0.9998008862137795,-0.7437114812739309,-1.3104481150112406,0.0767333984375,11.0,0.0,-10.399396765693261,-8.265112783177113
310866.0,4.932503679810907e-05,0.0,0.0,1000.0,0.0,0.6292998632109575,0.0,0.0351933728903532,0.0005972529106657021,-10.361819631693905,-10.0,-8.44592021767836,9.479607532055626,0.2416899487376213,-10.0,0.0,0.0,-10.361295564654245,-9.998589734317193,250.0,0.03375078309327364,-25.0,0.01,0.45555078983306885,0.1177799254655838,-25.0,250.0,9,1000.0,-0.004111914290115237,1.8710847143665887e-05,2.730460620744507,-1.012563082575798,0.14530498832464217,-0.999784903228283,-0.7441551425254147,-1.3299143583033584,0.0508056640625,11.0,0.0,-10.55511239524528,-8.272051412471217
