test_1/avg_q,train/episodes,epoch,test_0/avg_q,policy/steps,test/episodes,test_1/subgoal_succ_rate,test_1/n_subgoals,train/success_rate,test/success_rate
-0.06696321575115051,0.0,0,-0.06707400784201305,18225.0,25.0,0.0,675.0,nan,0.0
-0.0669620992468034,0.0,1,-0.06707084119029591,36450.0,50.0,0.0,675.0,nan,0.0
-0.06696401527810522,0.0,2,-0.06707518469262552,54675.0,75.0,0.0,675.0,nan,0.0
-0.06695150147864896,0.0,3,-0.06706814059709797,72900.0,100.0,0.0,675.0,nan,0.0
-0.06696543097333865,0.0,4,-0.06706864757838304,91125.0,125.0,0.0,675.0,nan,0.0
-0.0669434587240305,0.0,5,-0.06706957513478824,109350.0,150.0,0.0,675.0,nan,0.0
