train/success_rate,train_1/q_grads,train_0/reward,train_1/subgoal_succ_rate,train_0/reward_-0.0_frac,train_0/q_grads_std,test/episodes,train/episodes,train_0/q_loss,train_0/mu_grads_std,train_1/reward_-27.0_frac,test_1/n_subgoals,test_1/subgoal_succ_rate,train_0/mu_loss,test/success_rate,train_1/fw_bonus,train_0/fw_bonus,train_1/mu_loss,epoch,train_0/avg_q,train_1/n_subgoals,train_0/reward_-1.0_frac,train_0/target_q,train_1/avg_q,train_1/mu_grads_std,train_1/target_q,test_1/avg_q,train_0/mu_grads,train_0/q_grads,train_1/mu_grads,train_1/current_q,train_0/next_q,train_1/fw_loss,test_0/avg_q,train_1/reward_-1.0_frac,train_1/q_grads_std,train_1/reward_-0.0_frac,train_0/fw_loss,train_1/reward,train_1/next_q,policy/steps,train_0/current_q,train_1/q_loss
0.0,0.005537255000672303,-0.7947069056797773,0.004074074074074074,0.0,0.12598341852426528,25.0,100.0,0.894766632559079,0.18086812794208526,0.0,675.0,0.0,5.814525677545378,0.0,-0.9995014533400536,-0.9990573689341545,13.108464827689142,0,-6.410832132487639,2700.0,0.0418212890625,-6.065978743782116,-7.2722870760753535,0.15538663044571877,-13.901745175012405,-3.095957511077081,-0.007748097891453654,0.004517839709296823,-0.030770916026085615,-14.396038654105599,-5.825249037260242,0.00306215253949631,-2.924746205430765,0.137353515625,0.12231414075940847,0.0,0.02437945227138698,-2.108906002952426,-13.975547878374703,90954.0,-6.064510646674242,26.03645238097082
0.0,0.008669337490573525,-0.7977006273533334,0.003703703703703704,0.0,0.15433439686894418,50.0,200.0,0.7007862237135735,0.23380909115076065,0.0,675.0,0.0,6.954447814021748,0.0,-0.9995822891592979,-0.9991610080003739,26.999984892604733,1,-15.183376311568123,2700.0,0.0563720703125,-7.230289102606004,-14.020981488034748,0.1786055348813534,-24.982394428704502,-26.9999995841924,-0.01335103779565543,-0.0010732864917372353,-0.036131421104073524,-26.999982101761788,-6.946329412851204,0.002570609134272672,-26.984511504159958,0.0896728515625,0.13836419358849525,0.0,0.02169898678548634,-2.097984502364125,-26.999998065634976,181865.0,-7.182893658439326,49.034086957177195
0.0,0.008147872891277075,-0.7919861273170682,0.0,0.0,0.18552970364689828,75.0,300.0,0.5355889279338918,0.26223369911313055,0.0,675.0,0.0,8.09183062252258,0.0,-0.9997166186571121,-0.9993775233626365,26.999976411713845,2,-26.99213994282616,2700.0,0.0785888671875,-8.352328266669534,-26.999999888886357,0.17858993746340274,-24.97722673515542,-26.999999379333783,-0.02438699584454298,-0.004135590337682515,-0.03616296853870153,-26.999975518915086,-8.07407631218953,0.001753686321899295,-26.999331674341775,0.1248779296875,0.1382256716489792,0.0,0.016100185504183174,-2.1186571381993415,-26.999997492034208,272990.0,-8.275102630522236,48.885650005019805
0.0,-0.027159523405134677,-0.7906188007320452,0.005555555555555556,0.0,0.20944231674075126,100.0,400.0,0.4759640797352815,0.2847841873764992,0.0,678.0,0.004424778761061947,8.78670961048891,0.0,-0.9994409263134003,-0.9994749069213867,26.865522429195458,3,-25.74118829236925,2700.0,0.11396484375,-9.039901066667623,-22.89470589845352,0.19657375365495683,-24.972088538776283,-26.937802804569554,-0.031021880684420466,-0.00264650754397735,-0.043954817950725554,-26.939923463262836,-8.763893563562664,0.003430355415912345,-26.67808168066751,0.107177734375,0.1661909691989422,0.0,0.013582013198174536,-2.133228756619064,-26.983671080866305,363820.0,-8.954793362087843,48.16696109120808
0.0,-0.032600657735019925,-0.7911595427394786,0.0007407407407407407,0.0,0.22784791551530362,125.0,500.0,0.42668943652451086,0.3044775158166885,0.0,675.0,0.0,8.914552658954124,0.0,-0.9995742052793503,-0.9995798245072365,26.99052261854297,4,-26.55104371212815,2700.0,0.2041015625,-9.180151208270654,-23.488745558694042,0.20528527162969112,-24.909385269675447,-26.97552444488042,-0.03886128403246403,-0.004190080403350294,-0.03996690372005105,-26.913773181318938,-8.889048583705232,0.00261971372528933,-26.917162608908605,0.129248046875,0.19231011681258678,0.0,0.010868792422115803,-2.1418769500101917,-26.981127069477157,454923.0,-9.079331280974907,49.54045150202271
0.0,-0.040913584548979996,-0.7922481753274042,0.011111111111111112,0.0,0.23922114148736,150.0,600.0,0.44202579637635464,0.3240478068590164,0.0,737.0,0.10176390773405698,9.365741113456187,0.0,-0.9984907358884811,-0.9994865879416466,3.494022211181554,5,-22.419300398879653,2700.0,0.1564208984375,-9.629214769971105,-19.216611046800224,0.2186031501740217,-5.9963633614451535,-4.187008940952345,-0.04295133901759982,-0.0055608685710467395,-0.04198408760130405,-5.988001344319657,-9.3339699103312,0.009208729153033345,-16.36065235047121,0.091650390625,0.21127315051853657,0.0,0.01328000776702538,-2.1339255394887005,-4.648563971714502,545657.0,-9.515331719797913,1.7893871993015793
0.0,-0.051347536593675615,-0.8053463227683096,0.11407407407407408,0.0,0.2519987761974335,175.0,700.0,0.49048895153151584,0.3391232855618,0.0,677.0,0.0029542097488921715,9.518574719874778,0.0,-0.9982486367225647,-0.9995110124349594,6.812930985278676,6,-15.838584578705962,2700.0,0.207861328125,-9.802834721031662,-9.921576684635099,0.24438794068992137,-11.578858828770878,-16.302029199572043,-0.042835987731814386,-0.006719654297921806,-0.04039910975843668,-11.42885922336571,-9.482006662934875,0.010681037581525743,-26.714633039738352,0.046044921875,0.23132867738604546,0.0,0.0126485109096393,-2.1318391555862037,-11.169413730542638,632187.0,-9.687913445015395,9.342202347898814
0.0,-0.07407875899225473,-0.8181996169303603,0.005185185185185185,0.0,0.2647835619747639,200.0,800.0,0.5578288298322415,0.3523321568965912,0.0,675.0,0.0,9.592063106510318,0.0,-0.9975680515170098,-0.9992654323577881,8.826006701793371,7,-25.88357002448858,2700.0,0.142138671875,-9.900722144175436,-13.874766338552424,0.2483366560190916,-21.967561443213377,-9.12970742033745,-0.04859580649062991,-0.00844087132718414,-0.03845650479197502,-21.916316051508023,-9.56072995713965,0.014819859992712736,-25.87514089230875,0.0206787109375,0.2667634837329388,0.0,0.018998613487929104,-2.1352952524655846,-23.44374292528745,723164.0,-9.763997769312088,20.785522651016407
0.0,-0.09623353891074657,-0.8448164125606127,0.00037037037037037035,0.0,0.27716431468725206,225.0,900.0,0.6285175479015226,0.36018669232726097,0.0,675.0,0.0,9.829763892949321,0.0,-0.9956207022070884,-0.9989834174513816,4.026554601984065,8,-26.2164455755459,2700.0,0.1043701171875,-10.113927497394156,-17.164280990332756,0.2544399291276932,-13.569016690663323,-6.142123943529074,-0.0543587445281446,-0.011229512258432805,-0.03939838390797377,-13.624703772200974,-9.7725792902661,0.026662240037694573,-26.994019825494284,0.005517578125,0.3047619119286537,0.0,0.026291887601837517,-2.1483474630389536,-13.448498597914869,814281.0,-10.008707397864523,1.2444502636581622
0.0,-0.11531989146023988,-0.8719298679498024,0.0007407407407407407,0.0,0.28876556307077406,250.0,1000.0,0.6937451323208969,0.37163903266191484,0.0,675.0,0.0,10.755279912770419,0.0,-0.9964611738920212,-0.999011105298996,1.5883742209584413,9,-25.594289327413385,2700.0,0.07802734375,-11.059345599870218,-13.833359716932124,0.2606963202357292,-15.214907539135428,-2.216982936475161,-0.063600561209023,-0.01137146286200732,-0.0400257308036089,-15.245931452681205,-10.682927187253805,0.021551131852902472,-26.999997230220444,0.0029541015625,0.33995979800820353,0.0,0.025575791113078596,-2.1308111502978138,-15.303763107861817,905378.0,-10.943166451907372,1.9494349113842446
