train_0/current_q,train_1/reward_-1.0_frac,test/success_rate,train_0/fw_loss,train_0/mu_grads,train/episodes,train_1/mu_loss,train_1/reward_-27.0_frac,train_0/next_q,train_0/mu_grads_std,train_0/q_grads,train_1/mu_grads_std,train_0/q_loss,train_1/q_loss,train_0/avg_q,train_1/fw_loss,train_1/q_grads_std,train_1/reward,train/success_rate,train_0/mu_loss,train_1/mu_grads,policy/steps,test_1/avg_q,test_1/subgoal_succ_rate,train_0/q_grads_std,train_1/target_q,test/episodes,train_0/reward_-0.0_frac,train_0/reward_-1.0_frac,train_1/avg_q,train_0/reward,test_0/avg_q,test_1/n_subgoals,train_1/reward_-0.0_frac,epoch,train_1/next_q,train_1/subgoal_succ_rate,train_1/q_grads,train_1/current_q,train_1/fw_bonus,train_0/target_q,train_0/fw_bonus,train_1/n_subgoals
-10.346754853695828,0.0060546875,0.0,0.00011933964469790226,0.026226618653163315,100.0,1.8493454144571604,0.0,-10.342555813676512,0.12576912604272367,0.04266757313162088,0.10390334855765104,0.814381656269164,10.324768639889282,-16.266526867043826,0.0017978642368689179,0.20814345143735408,-2.601282255233309,0.0,7.761899062344591,0.004224109731148928,88116.0,-8.827151293203544,0.0,0.17008761167526246,-3.28990136762408,25.0,0.0,0.0221435546875,-7.125618525681559,-0.6144934459101933,-26.99986805305179,675.0,0.0,0,-0.8552132228204833,0.046296296296296294,0.01817109906114638,-3.173771391071244,-0.996657332777977,-10.510792345144267,-0.9995753526687622,2700.0
-10.696922358086328,0.005810546875,0.0,0.00010168813914788189,0.030114102736115457,200.0,8.05058987003164,0.0,-10.693091166415199,0.1461593933403492,0.040416468773037194,0.13046386726200582,0.7136688222590891,9.596747251573614,-26.99982703247069,0.0014894887572154403,0.23782855719327928,-2.636414644548495,0.01,8.657081687436767,0.006725698127411306,178844.0,-12.808121512558234,0.0,0.1743357177823782,-8.31180671890906,50.0,0.0,0.0261962890625,-15.518600896944248,-0.6188127430148598,-26.999998189507707,675.0,0.0,1,-7.071333285316635,0.0,0.012613054038956762,-8.3539457289101,-0.9977337658405304,-10.864604162773167,-0.9996406257152557,2686.0
-10.99709892843752,0.005810546875,0.0,9.932273478625575e-05,0.029692326672375202,300.0,6.31099486617763,0.0,-11.000109425773644,0.16300347670912743,0.037412984576076266,0.15235000029206275,0.8492863313250115,6.834182707910747,-26.9999972814321,0.0012686553644016385,0.2622547224164009,-2.685697934851851,0.01,8.571307373711928,0.005763579776976257,269761.0,-12.362843988648319,0.0,0.17715383172035218,-6.9189189252683745,75.0,0.0,0.03369140625,-17.218527159191133,-0.6148049198614899,-26.999998620339806,675.0,0.0,2,-5.31196792273324,0.0,0.009891697950661183,-6.9675765288591816,-0.9985046327114105,-11.170112089729496,-0.9996493592858314,2693.0
-10.617007001121937,0.0067626953125,0.0,9.748056208991329e-05,0.0371128985658288,400.0,9.581682278379095,0.0,-10.61362983952974,0.17944265492260456,0.033345524594187735,0.16175030320882797,0.6839606772898608,11.170426108676802,-26.99995091203575,0.0013324558007298038,0.2848217189311981,-2.7229774647839804,0.0,9.188585567840965,0.004706512985285372,360886.0,-11.354892641853828,0.0,0.17995556592941284,-9.634934929604142,100.0,0.0,0.0308349609375,-17.711627695379576,-0.612993878951238,-26.999905083951777,675.0,0.0,3,-8.604633285912968,0.0,0.006649586802814156,-9.672178389677109,-0.9982819214463234,-10.807641250649805,-0.9996561825275421,2700.0
-10.349389756995233,0.00615234375,0.0,8.656241680000676e-05,0.04053420377895236,500.0,17.146230267238053,0.0,-10.346315841144506,0.18044249154627323,0.031910056993365285,0.15755822136998177,0.6647844724790437,12.645808931263542,-25.664495594852884,0.001317947410279885,0.3061861112713814,-2.6426251337325084,0.0,8.459474172379464,0.0032585794338956474,446675.0,-21.374705236863964,0.640865110984633,0.18380389772355557,-15.545941874583852,125.0,0.0,0.0777587890625,-18.857776930006498,-0.6123081717843888,-22.44151660112017,1757.0,0.0,4,-15.888583047693407,0.08481481481481482,0.0006251152612094302,-15.499751455178085,-0.9983325704932213,-10.570839520827759,-0.9996965497732162,2700.0
-10.685444944177359,0.0068115234375,0.0,7.826614892110228e-05,0.03588186902925372,600.0,17.717868826143555,0.0,-10.684638151542533,0.16344534270465375,0.03217481542378664,0.1572639163583517,1.042135477599918,15.248247429676496,-21.893637197493888,0.001356111973291263,0.3206304505467415,-2.6063552564606653,0.01,20.34923435873376,0.0024402058916166425,523011.0,-17.31352933949246,0.784136182542557,0.18875680305063725,-16.105262242884976,150.0,0.0,0.0796630859375,-20.537880423646538,-0.6093312224227703,-11.912008141598411,2761.0,0.0,5,-16.586040702733023,0.23214285714285715,-0.004888704128097743,-16.221265172475263,-0.9981993451714516,-10.844354715019161,-0.9997272387146949,2688.0
-10.930460737286491,0.00625,0.0,7.804036940797232e-05,0.023903383733704688,700.0,13.197969131216075,0.0,-10.928102290292419,0.14945338293910027,0.03183247707784176,0.16152295283973217,0.9119837443602823,7.789311672447488,-23.01174453711529,0.0013380335731199011,0.3360156737267971,-2.493047058463344,0.03,9.676499170527915,0.0023546658863779157,595749.0,-20.849251206373857,0.0,0.19350028708577155,-12.117804172523645,175.0,0.0,0.103076171875,-18.55818359010965,-0.617040171318149,-27.0,675.0,0.0,6,-12.106144278472422,0.2632369508073601,-0.01210740495007485,-12.135262147667097,-0.9982624545693397,-11.082345964020487,-0.9997280746698379,2663.0
-9.93348411693504,0.00654296875,0.0,6.413642176994472e-05,0.023003554670140147,800.0,14.821702645394103,0.0,-9.92695289509865,0.14973524995148182,0.029143014922738075,0.1680947754532099,0.4462767317327961,7.945380774764891,-26.07431915791804,0.0013167346216505394,0.35620324313640594,-2.534886933059897,0.0,8.746563339414488,0.0025607577117625624,686108.0,-19.697180865239112,0.013157894736842105,0.19752733111381532,-13.522725420999137,200.0,0.0,0.1845703125,-19.942772667430155,-0.6108091288751893,-26.83986972488701,684.0,0.0,7,-13.858830966186687,0.014814814814814815,-0.018782772356644273,-13.565419751590559,-0.9983368009328842,-10.147725541551818,-0.9997794881463051,2700.0
-10.203732532299783,0.0061279296875,0.0,6.619098921873956e-05,0.023230467876419424,900.0,18.116684393737795,0.0,-10.199177780823693,0.15240515023469925,0.028788375156000256,0.17522215358912946,0.5932334588863976,28.541153295896503,-26.30694792367627,0.001231567101785913,0.36913811713457106,-2.5681216580222097,0.01,8.994352747133444,0.003909695951733738,776902.0,-3.112774018063116,0.0,0.20197902917861937,-16.1729336222144,225.0,0.0,0.21171875,-19.473012184909607,-0.6149454130692902,-27.0,675.0,0.0,8,-17.608446549493,0.004451038575667656,-0.02779417815618217,-16.735573346261244,-0.9986340954899788,-10.409417160830268,-0.9997718840837478,2696.0
-10.323634507333669,0.0062744140625,0.0,6.010166489431867e-05,0.023489361489191653,1000.0,13.245778666714411,0.0,-10.325098105025393,0.1565144095569849,0.028081427700817584,0.18381713442504405,0.737555690193279,4.002645584090097,-26.68254436030535,0.0011408274018322117,0.3797092571854591,-2.565033119013242,0.01,9.262749614337928,0.004351503273937851,867470.0,-20.7318851269998,0.0,0.2061372756958008,-12.110590706409374,250.0,0.0,0.19580078125,-14.602161401837456,-0.6111790697988908,-26.9930225557627,675.0,0.0,9,-12.267447177749924,0.00037313432835820896,-0.031238720566034318,-12.118772181064923,-0.9989508166909218,-10.5028430211488,-0.9997943952679634,2680.0
